TABLE 2.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Incidence (I), Victims(V) & Rate (R) of Cognizable Crimes (IPC) under Different Crime Heads During 2014",,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Murder,,,Attempt To Commit Murder,,,C.H. Not Amounting To Murder,,,Attempt to commit C.H. Not Amounting To Murder,,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15)
CITIES:,,,,,,,,,,,,,
1,Agra,78,78,4.5,88,88,5.0,17,17,1.0,71,71,4.1
2,Ahmedabad,82,86,1.3,61,65,1.0,6,6,0.1,0,0,0.0
3,Allahabad,33,33,2.7,59,59,4.8,8,8,0.7,0,0,0.0
4,Amritsar,29,32,2.4,75,79,6.3,2,2,0.2,3,3,0.3
5,Asansol,48,51,3.9,164,165,13.2,10,13,0.8,0,0,0.0
6,Aurangabad,35,38,2.9,54,56,4.5,0,0,0.0,0,0,0.0
7,Bengaluru,241,246,2.8,489,504,5.8,21,21,0.2,0,0,0.0
8,Bhopal,52,52,2.8,96,96,5.1,2,2,0.1,3,3,0.2
9,Chandigarh City,21,21,2.0,30,32,2.9,6,6,0.6,4,4,0.4
10,Chennai,161,162,1.9,225,225,2.6,0,0,0.0,0,0,0.0
11,Coimbatore,21,22,1.0,43,43,2.0,1,1,0.0,0,0,0.0
12,Delhi (City),472,496,2.9,675,695,4.1,49,52,0.3,886,1003,5.4
13,Dhanbad,17,17,1.4,10,10,0.8,4,4,0.3,0,0,0.0
14,Durg-Bhilainagar,40,40,3.8,34,34,3.2,0,0,0.0,0,0,0.0
IB,Faridabad,64,64,4.6,41,41,2.9,3,3,0.2,0,0,0.0
16,Ghaziabad,73,73,3.1,61,61,2.6,20,20,0.8,0,0,0.0
17,Gwalior,41,42,3.7,81,86,7.4,12,12,1.1,4,4,0.4
18,Flyderabad,118,118,1.5,163,163,2.1,6,6,0.1,0,0,0.0
19,Indore,88,88,4.1,183,183,8.4,0,0,0.0,3,3,0.1
20,Jabalpur,57,57,4.5,93,93,7.3,1,1,0.1,1,1,0.1
21,Jaipur,108,110,3.5,107,110,3.5,6,6,0.2,0,0,0.0
22,Jamshedpur,51,51,3.8,33,33,2.5,3,3,0.2,0,0,0.0
23,Jodhpur,41,41,3.6,86,100,7.6,5,5,0.4,5,7,0.4
24,Kannur,2,2,0.1,8,12,0.5,4,6,0.2,19,24,1.2
25,Kanpur,56,56,1.9,47,47,1.6,11,11,0.4,16,16,0.5
26,Kochi,13,18,0.6,29,29,1.4,2,2,0.1,2,2,0.1
27,Kolkata,74,75,0.5,101,101,0.7,26,27,0.2,0,0,0.0
28,Kollam,10,10,0.9,34,34,3.1,4,4,0.4,54,54,4.9
29,Kota,19,19,1.9,93,93,9.3,1,1,0.1,19,19,1.9
30,Kozhikode,8,8,0.4,13,14,0.6,2,2,0.1,34,34,1.7
31,Lucknow,107,109,3.7,67,69,2.3,17,19,0.6,17,18,0.6
32,Ludhiana,73,76,4.5,68,76,4.2,8,10,0.5,0,0,0.0
33,Madurai,33,35,2.3,51,51,3.5,1,1,0.1,0,0,0.0
34,Malappuram,3,3,0.2,11,11,0.6,2,2,0.1,1,1,0.1
35,Meerut,93,98,6.5,129,129,9.1,11,11,0.8,12,12,0.8
36,Mumbai,183,187,1.0,181,194,1.0,4,10,0.0,1,2,0.0
37,Nagpur,103,106,4.1,92,92,3.7,5,5,0.2,0,0,0.0
38,Nasik,26,26,1.7,30,31,1.9,0,0,0.0,0,0,0.0
39,Patna,205,206,10.0,16,16,0.8,2,2,0.1,0,0,0.0
40,Pune,138,141,2.7,181,187,3.6,9,12,0.2,0,0,0.0
41,Raipur,29,33,2.6,71,74,6.3,2,2,0.2,0,0,0.0
42,Rajkot,43,46,3.1,43,44,3.1,2,2,0.1,0,0,0.0
43,Ranchi,61,61,5.4,75,75,6.7,0,0,0.0,0,0,0.0
44,Srinagar,5,5,0.4,34,34,2.7,4,4,0.3,0,0,0.0
45,Surat,85,88,1.9,41,44,0.9,8,28,0.2,0,0,0.0
46,Thiruvananthapuram,13,IB,0.8,23,23,1.4,2,2,0.1,131,131,7.8
47,Thrissur,17,18,0.9,17,17,0.9,2,2,0.1,31,32,1.7
48,Tiruch irapalli,24,24,2.3,9,9,0.9,0,0,0.0,0,0,0.0
49,Vadodara,23,24,1.3,37,38,2.0,0,0,0.0,3,3,0.2
50,Varanasi,24,25,1.7,32,32,2.2,12,12,0.8,0,0,0.0
51,Vasai Virar,36,37,2.9,17,23,1.4,6,6,0.5,0,0,0.0
52,Vijayawada,23,25,1.5,45,45,3.0,1,1,0.1,1,1,0.1
53,Vishakhapatnam,38,38,2.2,57,57,3.3,0,0,0.0,0,0,0.0
,TOTAL CITIES,3538,3632,2.2,4603,4722,2.9,330,372,0.2,1321,1448,0.8
,,,,,,,,,,,,,
Note: 1. Crime Rate is incidence of crime per one lakh Population,,,,,,,,,,,,,
,,,,,,,,,,,,,
"2. For women related crimes, the crime rate has been calculated using female population",,,,,,,,,,,,,
,,,,,,,,,,,,,
TABLE 2.2- Page: 1 of 22,,,,,,,,,,,,,
