TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Rape *,,,,,,,,,Attempt To Commit Rape*,,
,,Rape Other than Custodial,,,,,,,,,,,
,,Total Rape other than Custodial,,,Gang Rape,,,Other Rape,,,,,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39)
CITIES:,,,,,,,,,,,,,
1,Agra,38,38,4.7,2,2,0.2,36,36,4.5,9,9,1.1
2,Ahmedabad,100,100,3.3,0,0,0.0,100,100,3.3,0,0,0.0
3,Allahabad,20,20,3.6,2,2,0.4,18,18,3.2,0,0,0.0
4,Amritsar,34,34,6.1,2,2,0.4,32,32,5.8,8,8,1.4
5,Asansol,16,16,2.7,0,0,0.0,16,16,2.7,20,23,3.4
6,Aurangabad,27,29,4.7,2,3,0.4,25,26,4.4,0,0,0.0
7,Bengaluru,104,104,2.6,8,8,0.2,96,96,2.4,4,4,0.1
8,Bhopal,178,178,19.8,24,24,2.7,154,154,17.1,0,0,0.0
9,Chandigarh City,51,51,11.0,0,0,0.0,51,51,11.0,5,5,1.1
10,Chennai,65,65,1.5,0,0,0.0,65,65,1.5,1,1,0.0
11,Coimbatore,5,5,0.5,0,0,0.0,5,5,0.5,0,0,0.0
12,Delhi (City),1813,1815,23.9,127,127,1.7,1686,1688,22.3,59,59,0.8
13,Dhanbad,13,13,2.3,1,1,0.2,12,12,2.1,5,5,0.9
14,Durg-Bhilainagar,53,53,10.2,0,0,0.0,53,53,10.2,4,4,0.8
15,Faridabad,101,101,15.4,13,13,2.0,88,88,13.5,4,4,0.6
16,Ghaziabad,75,75,6.8,4,4,0.4,71,71,6.4,0,0,0.0
17,Gwalior,106,107,20.7,10,11,1.9,96,96,18.7,1,1,0.2
18,Flyderabad,126,126,3.3,1,1,0.0,125,125,3.3,2,2,0.1
19,Indore,185,185,17.8,11,11,1.1,174,174,16.8,3,3,0.3
20,Jabalpur,113,113,18.7,2,2,0.3,111,111,18.4,7,7,1.2
21,Jaipur,263,263,18.1,10,10,0.7,253,253,17.4,6,6,0.4
22,Jamshedpur,36,36,5.6,0,0,0.0,36,36,5.6,12,12,1.9
23,Jodhpur,68,68,12.6,1,1,0.2,67,67,12.5,2,2,0.4
24,Kannur,17,17,1.9,0,0,0.0,17,17,1.9,0,0,0.0
25,Kanpur,19,19,1.4,2,2,0.1,17,17,1.3,6,6,0.4
26,Kochi,64,64,6.0,0,0,0.0,64,64,6.0,2,2,0.2
27,Kolkata,36,36,0.5,6,6,0.1,30,30,0.4,1,1,0.0
28,Kollam,78,78,13.4,0,0,0.0,78,78,13.4,0,0,0.0
29,Kota,100,100,21.2,3,3,0.6,97,97,20.6,2,2,0.4
30,Kozhikode,35,35,3.3,0,0,0.0,35,35,3.3,2,2,0.2
31,Lucknow,52,52,3.8,2,2,0.1,50,50,3.6,2,2,0.1
32,Ludhiana,111,111,15.0,2,2,0.3,109,109,14.7,21,21,2.8
33,Madurai,6,6,0.8,0,0,0.0,6,6,0.8,0,0,0.0
34,Malappuram,10,10,1.1,0,0,0.0,10,10,1.1,0,0,0.0
35,Meerut,40,40,6.0,15,15,2.2,25,25,3.7,2,2,0.3
36,Mumbai,607,616,7.1,16,16,0.2,591,600,6.9,2,2,0.0
37,Nagpur,113,114,9.2,4,4,0.3,109,110,8.9,2,2,0.2
38,Nasik,28,28,3.8,2,2,0.3,26,26,3.5,0,0,0.0
39,Patna,54,54,5.6,1,1,0.1,53,53,5.5,21,21,2.2
40,Pune,189,189,7.9,3,3,0.1,186,186,7.8,0,0,0.0
41,Raipur,88,88,16.2,4,4,0.7,84,84,15.4,4,4,0.7
42,Rajkot,17,17,2.6,1,1,0.2,16,16,2.4,0,0,0.0
43,Ranchi,46,46,8.5,5,5,0.9,41,41,7.6,10,10,1.9
44,Srinagar,12,12,2.0,0,0,0.0,12,12,2.0,5,5,0.8
45,Surat,94,94,4.8,4,4,0.2,90,90,4.6,0,0,0.0
46,Thiruvananthapuram,56,56,6.4,1,1,0.1,55,55,6.3,2,2,0.2
47,Thrissur,38,38,3.9,0,0,0.0,38,38,3.9,0,0,0.0
48,Tiruch irapalli,3,3,0.6,0,0,0.0,3,3,0.6,0,0,0.0
49,Vadodara,23,24,2.6,0,0,0.0,23,24,2.6,0,0,0.0
50,Varanasi,27,27,4.0,0,0,0.0,27,27,4.0,0,0,0.0
51,Vasai Virar,60,60,10.5,1,1,0.2,59,59,10.3,0,0,0.0
52,Vijayawada,64,64,8.6,0,0,0.0,64,64,8.6,4,4,0.5
53,Vishakhapatnam,84,84,9.8,0,0,0.0,84,84,9.8,0,0,0.0
,TOTAL CITIES,5761,5777,7.5,292,294,0.4,5469,5483,7.1,240,243,0.3
,,,,,,,,,,,,,
"For women related crimes, the crime rate has been calculated using female population    TABLE    2.2-    Page:    3    of    22",,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 28 = Col. 31+ Col. 34,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 29 = Col. 32+ Col. 35,,,,,,,,,,,,,
