TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Riots,,,,,,,,,,,
,,Riots (Total),,,Communal,,,Industrial,,,Political,,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105)
CITIES:,,,,,,,,,,,,,
1,Agra,242,242,13.9,0,0,0.0,0,0,0.0,0,0,0.0
2,Ahmedabad,87,198,1.4,18,29,0.3,2,2,0.0,2,2,0.0
3,Allahabad,23,42,1.9,0,0,0.0,0,0,0.0,0,0,0.0
4,Amritsar,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
5,Asansol,181,284,14.6,0,0,0.0,0,0,0.0,0,0,0.0
6,Aurangabad,134,134,11.3,0,0,0.0,0,0,0.0,0,0,0.0
7,Bengaluru,388,465,4.6,0,0,0.0,0,0,0.0,3,3,0.0
8,Bhopal,41,41,2.2,0,0,0.0,0,0,0.0,0,0,0.0
9,Chandigarh City,31,50,3.0,0,0,0.0,0,0,0.0,0,0,0.0
10,Chennai,118,118,1.4,0,0,0.0,0,0,0.0,0,0,0.0
11,Coimbatore,25,25,1.2,0,0,0.0,0,0,0.0,0,0,0.0
12,Delhi (City),144,300,0.9,1,5,0.0,0,0,0.0,5,5,0.0
13,Dhanbad,57,57,4.8,0,0,0.0,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,34,34,3.2,0,0,0.0,0,0,0.0,0,0,0.0
15,Faridabad,207,207,14.7,207,207,14.7,0,0,0.0,0,0,0.0
16,Ghaziabad,37,37,1.6,0,0,0.0,0,0,0.0,0,0,0.0
17,Gwalior,68,148,6.2,0,0,0.0,0,0,0.0,0,0,0.0
18,Flyderabad,57,57,0.7,4,4,0.1,0,0,0.0,0,0,0.0
19,Indore,50,50,2.3,2,2,0.1,0,0,0.0,1,1,0.0
20,Jabalpur,43,56,3.4,0,0,0.0,0,0,0.0,6,6,0.5
21,Jaipur,75,91,2.4,1,1,0.0,0,0,0.0,0,0,0.0
22,Jamshedpur,82,236,6.1,0,0,0.0,0,0,0.0,0,0,0.0
23,Jodhpur,3,4,0.3,0,0,0.0,0,0,0.0,0,0,0.0
24,Kannur,227,251,13.8,0,0,0.0,0,0,0.0,57,66,3.5
25,Kanpur,97,97,3.3,0,0,0.0,0,0,0.0,0,0,0.0
26,Kochi,57,127,2.7,0,0,0.0,0,0,0.0,0,0,0.0
27,Kolkata,315,315,2.2,0,0,0.0,0,0,0.0,0,0,0.0
28,Kollam,301,309,27.1,0,0,0.0,0,0,0.0,23,28,2.1
29,Kota,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
30,Kozhikode,220,220,10.8,0,0,0.0,0,0,0.0,17,17,0.8
31,Lucknow,73,94,2.5,8,8,0.3,0,0,0.0,0,0,0.0
32,Ludhiana,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
33,Madurai,23,23,1.6,0,0,0.0,0,0,0.0,0,0,0.0
34,Malappuram,154,174,9.1,0,0,0.0,0,0,0.0,0,0,0.0
35,Meerut,161,161,11.3,8,8,0.6,0,0,0.0,0,0,0.0
36,Mumbai,409,486,2.2,0,0,0.0,0,0,0.0,7,8,0.0
37,Nagpur,147,147,5.9,0,0,0.0,0,0,0.0,0,0,0.0
38,Nasik,64,70,4.1,0,0,0.0,0,0,0.0,1,1,0.1
39,Patna,470,558,23.0,0,0,0.0,0,0,0.0,0,0,0.0
40,Pune,259,259,5.1,8,8,0.2,0,0,0.0,13,13,0.3
41,Raipur,45,45,4.0,0,0,0.0,0,0,0.0,2,2,0.2
42,Rajkot,61,63,4.4,0,0,0.0,0,0,0.0,0,0,0.0
43,Ranchi,51,51,4.5,0,0,0.0,0,0,0.0,4,4,0.4
44,Srinagar,130,130,10.2,0,0,0.0,0,0,0.0,0,0,0.0
45,Surat,40,66,0.9,1,1,0.0,0,0,0.0,0,0,0.0
46,Thiruvananthapuram,226,226,13.4,0,0,0.0,0,0,0.0,0,0,0.0
47,Thrissur,98,103,5.3,0,0,0.0,0,0,0.0,4,4,0.2
48,Tiruch irapalli,10,10,1.0,0,0,0.0,0,0,0.0,0,0,0.0
49,Vadodara,60,69,3.3,19,20,1.0,0,0,0.0,0,0,0.0
50,Varanasi,34,34,2.4,0,0,0.0,0,0,0.0,0,0,0.0
51,Vasai Virar,99,135,8.1,0,0,0.0,0,0,0.0,2,2,0.2
52,Vijayawada,2,2,0.1,0,0,0.0,0,0,0.0,0,0,0.0
53,Vishakhapatnam,3,18,0.2,0,0,0.0,0,0,0.0,3,18,0.2
,TOTAL CITIES,5963,7119,3.7,277,293,0.2,2,2,0.0,150,180,0.1
,,,,,,,,,,,,,
TABLE 2.2- Page: 8 of 22,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 94 = Col. 97+Col.lOO+Col. 103+ Col. 106+ Col. 115+ Col. 118+ Col. 121+ Col. 123+ Col. 124,,,,,,,,,,,,,
Col. 95 = Col. 98+Col.lOl+Col. 104+ Col. 107+ Col. 116+ Col. 119+ Col. 122+ Col. 124+ Col. 125,,,,,,,,,,,,,
