TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Arson,,,Grievous Hurt,,,,,,,,,,,
,,,,,Grievous Hurt (Total),,,Grievous Hurt (Section 325 & 326 IPC),,,Acid Attack (Section 326A IPC),,,Attempt To Acid Attack (Section 326B IPC),,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(163),(164),(165),(166),(167),(168),(169),(170),(171),(172),(173),(174),(175),(176),(177)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,5,5,0.3,164,164,9.4,163,163,9.3,1,1,0.1,0,0,0.0
2,Ahmedabad,4,4,0.1,245,247,3.9,241,243,3.8,3,3,0.0,1,1,0.0
3,Allahabad,0,0,0.0,21,21,1.7,19,19,1.6,2,2,0.2,0,0,0.0
4,Amritsar,2,2,0.2,143,143,12.1,142,142,12.0,1,1,0.1,0,0,0.0
5,Asansol,10,10,0.8,2,2,0.2,0,0,0.0,2,2,0.2,0,0,0.0
6,Aurangabad,35,35,2.9,71,71,6.0,71,71,6.0,0,0,0.0,0,0,0.0
7,Bengaluru,100,100,1.2,217,218,2.6,216,217,2.5,0,0,0.0,1,1,0.0
8,Bhopal,12,12,0.6,298,298,15.8,298,298,15.8,0,0,0.0,0,0,0.0
9,Chandigarh City,12,12,1.2,19,19,1.9,19,19,1.9,0,0,0.0,0,0,0.0
10,Chennai,17,17,0.2,46,46,0.5,44,44,0.5,2,2,0.0,0,0,0.0
11,Coimbatore,14,14,0.7,17,17,0.8,17,17,0.8,0,0,0.0,0,0,0.0
12,Delhi (City),166,165,1.0,606,656,3.7,575,625,3.5,20,20,0.1,11,11,0.1
13,Dhanbad,0,0,0.0,12,12,1.0,12,12,1.0,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,36,36,3.4,42,42,3.9,42,42,3.9,0,0,0.0,0,0,0.0
15,Faridabad,7,7,0.5,111,112,7.9,110,110,7.8,1,2,0.1,0,0,0.0
