TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Dowry Deaths *,,,,,Assault on Women with Intent to Outrage Her Modesty,,,,,*,
,,,,,Assault,,,Sexual Harassment,,,Use of Criminal Force with intent to Disrobe,,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(178),(179),(180),(181),(182),(183),(184),(185),(186),(187),(188),(189)
CITIES:,,,,,,,,,,,,,
1,Agra,36,36,4.5,207,207,25.7,158,158,19.7,8,8,1.0
2,Ahmedabad,11,11,0.4,162,163,5.4,68,69,2.3,1,1,0.0
3,Allahabad,14,14,2.5,96,96,17.1,50,50,8.9,4,4,0.7
4,Amritsar,3,3,0.5,45,45,8.1,45,45,8.1,0,0,0.0
5,Asansol,28,28,4.7,158,160,26.6,31,32,5.2,38,39,6.4
6,Aurangabad,2,2,0.4,227,227,39.9,110,110,19.3,17,17,3.0
7,Bengaluru,57,57,1.4,680,680,16.8,53,53,1.3,8,8,0.2
8,Bhopal,16,16,1.8,289,289,32.2,289,289,32.2,0,0,0.0
9,Chandigarh City,2,2,0.4,78,78,16.8,30,30,6.5,3,3,0.6
10,Chennai,10,10,0.2,59,59,1.4,0,0,0.0,0,0,0.0
11,Coimbatore,0,0,0.0,8,8,0.7,0,0,0.0,0,0,0.0
12,Delhi (City),127,127,1.7,3810,3817,50.3,1066,1066,14.1,316,316,4.2
13,Dhanbad,9,9,1.6,18,18,3.2,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,9,9,1.7,194,194,37.5,0,0,0.0,0,0,0.0
15,Faridabad,20,20,3.1,94,94,14.4,35,35,5.4,21,21,3.2
16,Ghaziabad,17,17,1.5,168,168,15.2,83,83,7.5,19,19,1.7
17,Gwalior,28,28,5.5,272,272,53.0,47,47,9.2,10,10,1.9
18,Flyderabad,22,22,0.6,393,393,10.4,115,115,3.1,18,18,0.5
19,Indore,23,23,2.2,301,301,29.0,80,80,7.7,4,4,0.4
20,Jabalpur,17,17,2.8,221,221,36.6,0,0,0.0,0,0,0.0
21,Jaipur,33,33,2.3,455,455,31.3,52,52,3.6,44,44,3.0
22,Jamshedpur,8,8,1.3,30,30,4.7,8,8,1.3,6,6,0.9
23,Jodhpur,8,8,1.5,212,214,39.4,23,23,4.3,16,18,3.0
24,Kannur,1,1,0.1,47,47,5.3,3,3,0.3,0,0,0.0
25,Kanpur,27,27,2.0,129,129,9.7,38,38,2.8,30,30,2.2
26,Kochi,0,0,0.0,158,175,14.7,158,175,14.7,0,0,0.0
27,Kolkata,12,12,0.2,577,577,8.5,133,133,2.0,38,38,0.6
28,Kollam,1,1,0.2,287,287,49.5,287,287,49.5,0,0,0.0
29,Kota,3,3,0.6,102,102,21.6,30,30,6.4,0,0,0.0
30,Kozhikode,1,1,0.1,107,107,10.1,6,6,0.6,0,0,0.0
31,Lucknow,31,31,2.2,229,230,16.6,134,135,9.7,19,19,1.4
32,Ludhiana,5,5,0.7,98,98,13.3,10,10,1.4,2,2,0.3
33,Madurai,1,1,0.1,22,22,3.0,22,22,3.0,0,0,0.0
34,Malappuram,0,0,0.0,75,75,8.4,3,3,0.3,0,0,0.0
35,Meerut,20,20,3.0,217,217,32.4,91,91,13.6,10,10,1.5
36,Mumbai,22,22,0.3,1626,1637,19.1,650,650,7.6,49,50,0.6
37,Nagpur,10,10,0.8,279,279,22.8,197,197,16.1,11,11,0.9
38,Nasik,3,3,0.4,101,102,13.7,47,47,6.4,15,15,2.0
39,Patna,41,41,4.3,0,0,0.0,0,0,0.0,0,0,0.0
40,Pune,20,20,0.8,454,459,19.0,110,112,4.6,6,6,0.3
41,Raipur,2,2,0.4,120,120,22.1,42,42,7.7,5,5,0.9
42,Rajkot,0,0,0.0,31,31,4.7,5,5,0.8,0,0,0.0
43,Ranchi,10,10,1.9,16,16,3.0,5,5,0.9,0,0,0.0
44,Srinagar,0,0,0.0,218,218,36.6,1,1,0.2,0,0,0.0
45,Surat,2,2,0.1,70,70,3.5,45,45,2.3,0,0,0.0
46,Thiruvananthapuram,2,2,0.2,254,254,29.1,52,52,6.0,18,18,2.1
47,Thrissur,0,0,0.0,109,109,11.1,22,22,2.2,5,5,0.5
48,Tiruch irapalli,0,0,0.0,10,10,1.9,4,4,0.8,0,0,0.0
49,Vadodara,1,1,0.1,109,109,12.5,46,46,5.3,3,3,0.3
50,Varanasi,11,11,1.6,116,116,17.2,67,67,9.9,25,25,3.7
51,Vasai Virar,0,0,0.0,113,118,19.8,14,15,2.4,5,5,0.9
52,Vijayawada,10,10,1.4,279,279,37.7,40,40,5.4,15,15,2.0
53,Vishakhapatnam,13,13,1.5,147,147,17.2,50,50,5.8,0,0,0.0
,TOTAL CITIES,749,749,1.0,14277,14329,18.6,4655,4678,6.1,789,793,1.0
,,,,,,,,,,,,,
"For women related crimes, the crime rate has been calculated using female population    TABLE    2.2-    Page:    16    of    22",,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 181 = Col 184+ Col. 187+ Col. 190 + Col. 193+ Col. 196,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 182 = Col 185+ Col. 188+ Col. 191 + Col. 194+ Col. 197,,,,,,,,,,,,,
