TABLE 2.2(Continued),,,,,,,,,,
,,,,,,,,,,
S.No.,Cities,Assault on Women with Intent to Outrage Her Modesty *,,,,,,,,
,,Voyeurism(Section 354C IPC),,,Stalking (Section 354D IPC),,,Others,,
,,1,V,R,1,V,R,1,V,R
(i),(2),(190),(191),(192),(193),(194),(195),(196),(197),(198)
CITIES:,,,,,,,,,,
1,Agra,2,2,0.2,18,18,2.2,21,21,2.6
2,Ahmedabad,2,2,0.1,12,12,0.4,79,79,2.6
3,Allahabad,2,2,0.4,40,40,7.1,0,0,0.0
4,Amritsar,0,0,0.0,0,0,0.0,0,0,0.0
5,Asansol,3,3,0.5,8,8,1.3,78,78,13.1
6,Aurangabad,2,2,0.4,65,65,11.4,33,33,5.8
7,Bengaluru,4,4,0.1,19,19,0.5,596,596,14.7
8,Bhopal,0,0,0.0,0,0,0.0,0,0,0.0
9,Chandigarh City,2,2,0.4,8,8,1.7,35,35,7.6
10,Chennai,0,0,0.0,0,0,0.0,59,59,1.4
11,Coimbatore,0,0,0.0,0,0,0.0,8,8,0.7
12,Delhi (City),28,28,0.4,489,489,6.5,1911,1918,25.2
13,Dhanbad,0,0,0.0,0,0,0.0,18,18,3.2
14,Durg-Bhilainagar,0,0,0.0,0,0,0.0,194,194,37.5
IB,Faridabad,1,1,0.2,17,17,2.6,20,20,3.1
16,Ghaziabad,1,1,0.1,46,46,4.2,19,19,1.7
17,Gwalior,0,0,0.0,27,27,5.3,188,188,36.6
18,Flyderabad,12,12,0.3,35,35,0.9,213,213,5.7
19,Indore,1,1,0.1,31,31,3.0,185,185,17.8
20,Jabalpur,0,0,0.0,0,0,0.0,221,221,36.6
21,Jaipur,1,1,0.1,34,34,2.3,324,324,22.3
22,Jamshedpur,0,0,0.0,0,0,0.0,16,16,2.5
23,Jodhpur,3,3,0.6,IB,IB,2.8,IBB,IBB,28.8
24,Kannur,0,0,0.0,0,0,0.0,44,44,5.0
25,Kanpur,0,0,0.0,61,61,4.6,0,0,0.0
26,Kochi,0,0,0.0,0,0,0.0,0,0,0.0
27,Kolkata,25,25,0.4,118,118,1.7,263,263,3.9
28,Kollam,0,0,0.0,0,0,0.0,0,0,0.0
29,Kota,0,0,0.0,5,5,1.1,67,67,14.2
30,Kozhikode,0,0,0.0,1,1,0.1,100,100,9.4
31,Lucknow,0,0,0.0,37,37,2.7,39,39,2.8
32,Ludhiana,1,1,0.1,2,2,0.3,83,83,11.2
33,Madurai,0,0,0.0,0,0,0.0,0,0,0.0
34,Malappuram,0,0,0.0,0,0,0.0,72,72,8.1
35,Meerut,0,0,0.0,43,43,6.4,73,73,10.9
36,Mumbai,14,14,0.2,129,129,1.5,784,794,9.2
37,Nagpur,4,4,0.3,53,53,4.3,14,14,1.1
38,Nasik,0,0,0.0,7,7,0.9,32,33,4.3
39,Patna,0,0,0.0,0,0,0.0,0,0,0.0
40,Pune,2,2,0.1,38,38,1.6,298,301,12.5
41,Raipur,0,0,0.0,11,11,2.0,62,62,11.4
42,Rajkot,0,0,0.0,0,0,0.0,26,26,3.9
43,Ranchi,0,0,0.0,0,0,0.0,11,11,2.0
44,Srinagar,0,0,0.0,0,0,0.0,217,217,36.4
45,Surat,0,0,0.0,1,1,0.1,24,24,1.2
46,Thiruvananthapuram,0,0,0.0,5,5,0.6,179,179,20.5
47,Thrissur,3,3,0.3,7,7,0.7,72,72,7.4
48,Tiruch irapalli,0,0,0.0,1,1,0.2,5,5,1.0
49,Vadodara,1,1,0.1,21,21,2.4,38,38,4.4
50,Varanasi,0,0,0.0,24,24,3.6,0,0,0.0
51,Vasai Virar,1,1,0.2,8,8,1.4,85,89,14.9
52,Vijayawada,9,9,1.2,91,91,12.3,124,124,16.8
53,Vishakhapatnam,0,0,0.0,27,27,3.2,70,70,8.2
,TOTAL CITIES,124,124,0.2,1554,1554,2.0,7155,7180,9.3
,,,,,,,,,,
"For women related crimes, the crime rate has been calculated using Female Population",,,,,,,,,,
,,,,,,,,,,
TABLE 2.2- Page: 17 of 22,,,,,,,,,,
