TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Insult to The Modesty of Women *,,,,,,,,,,,,,,
,,Insult To The Modesty of Women (Total),,,At Office Premises,,,Other Places Related To Work,,,In Public Transport System,,,Places Other Than (Previous Columns),,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(199),(200),(201),(202),(203),(204),(205),(206),(207),(208),(209),(210),(211),(212),(213)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2,Ahmedabad,3,3,0.1,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.1
3,Allahabad,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2
4,Amritsar,2,2,0.4,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.4
5,Asansol,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2
6,Aurangabad,5,5,0.9,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.9
7,Bengaluru,57,57,1.4,1,1,0.0,2,2,0.0,1,1,0.0,53,53,1.3
8,Bhopal,13,13,1.4,0,0,0.0,13,13,1.4,0,0,0.0,0,0,0.0
9,Chandigarh City,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2
10,Chennai,157,157,3.6,0,0,0.0,157,157,3.6,0,0,0.0,0,0,0.0
11,Coimbatore,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
12,Delhi (City),1111,1114,14.7,11,11,0.1,21,21,0.3,8,8,0.1,1071,1074,14.1
13,Dhanbad,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,9,9,1.7,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.7
15,Faridabad,16,16,2.4,0,0,0.0,0,0,0.0,0,0,0.0,16,16,2.4
16,Ghaziabad,8,8,0.7,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.7
17,Gwalior,19,19,3.7,0,0,0.0,0,0,0.0,0,0,0.0,19,19,3.7
18,Flyderabad,87,87,2.3,4,4,0.1,23,23,0.6,0,0,0.0,60,60,1.6
19,Indore,31,31,3.0,1,1,0.1,0,0,0.0,1,1,0.1,29,29,2.8
20,Jabalpur,31,31,5.1,0,0,0.0,0,0,0.0,0,0,0.0,31,31,5.1
21,Jaipur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
22,Jamshedpur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
23,Jodhpur,3,3,0.6,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.6
24,Kannur,5,5,0.6,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.6
25,Kanpur,1,1,0.1,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
26,Kochi,18,18,1.7,0,0,0.0,0,0,0.0,0,0,0.0,18,18,1.7
27,Kolkata,286,287,4.2,2,2,0.0,2,2,0.0,7,7,0.1,275,276,4.0
28,Kollam,13,13,2.2,0,0,0.0,0,0,0.0,0,0,0.0,13,13,2.2
