TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Offences Promoting Enmity Between Different Groups,,,,,,,,,,,,,,
S.No.,Cities,Offences Promoting Enmity Between Different Groups (Total),,,"Promoting Enmity Between Different Groups on Ground of Religion, Race, Place of Birth, etc. (Section 153A IPC)",,,"Imputation, Assertions Prejudicial to National Integration (Section 153B IPC)",,,,Extortion,,Disclosure of Identity of Victims,,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(238),(239),(240),(241),(242),(243),(244),(245),(246),(247),(248),(249),(250),(251),(252)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,3,3,0.2,2,2,0.1,1,1,0.1,42,42,2.4,0,0,0.0
2,Ahmedabad,0,0,0.0,0,0,0.0,0,0,0.0,28,29,0.4,0,0,0.0
3,Allahabad,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
4,Amritsar,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3,0,0,0.0
5,Asansol,1,2,0.1,1,2,0.1,0,0,0.0,0,0,0.0,0,0,0.0
6,Aurangabad,0,0,0.0,0,0,0.0,0,0,0.0,13,15,1.1,0,0,0.0
7,Bengaluru,3,3,0.0,3,3,0.0,0,0,0.0,152,162,1.8,0,0,0.0
8,Bhopal,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
9,Chandigarh City,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.6,0,0,0.0
10,Chennai,4,4,0.0,4,4,0.0,0,0,0.0,56,56,0.6,1,1,0.0
11,Coimbatore,5,5,0.2,5,5,0.2,0,0,0.0,26,26,1.2,0,0,0.0
12,Delhi (City),13,13,0.1,13,13,0.1,0,0,0.0,211,211,1.3,1,1,0.0
13,Dhanbad,0,0,0.0,0,0,0.0,0,0,0.0,11,11,0.9,0,0,0.0
14,Durg-Bhilainagar,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,0,0,0.0
15,Faridabad,0,0,0.0,0,0,0.0,0,0,0.0,16,16,1.1,0,0,0.0
16,Ghaziabad,3,3,0.1,3,3,0.1,0,0,0.0,23,23,1.0,0,0,0.0
17,Gwalior,1,1,0.1,1,1,0.1,0,0,0.0,24,24,2.2,0,0,0.0
18,Hyderabad,0,0,0.0,0,0,0.0,0,0,0.0,47,47,0.6,0,0,0.0
19,Indore,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,0,0.0
20,Jabalpur,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.6,0,0,0.0
21,Jaipur,0,0,0.0,0,0,0.0,0,0,0.0,13,13,0.4,0,0,0.0
22,Jamshedpur,0,0,0.0,0,0,0.0,0,0,0.0,25,32,1.9,0,0,0.0
23,Jodhpur,2,2,0.2,2,2,0.2,0,0,0.0,2,2,0.2,0,0,0.0
24,Kannur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
25,Kanpur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
26,Kochi,3,6,0.1,3,6,0.1,0,0,0.0,3,3,0.1,0,0,0.0
27,Kolkata,0,0,0.0,0,0,0.0,0,0,0.0,168,168,1.2,0,0,0.0
28,Kollam,6,6,0.5,6,6,0.5,0,0,0.0,0,0,0.0,0,0,0.0
29,Kota,4,4,0.4,4,4,0.4,0,0,0.0,21,21,2.1,0,0,0.0
30,Kozhikode,1,1,0.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,Lucknow,2,2,0.1,2,2,0.1,0,0,0.0,42,47,1.4,0,0,0.0
32,Ludhiana,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.2,0,0,0.0
33,Madurai,0,0,0.0,0,0,0.0,0,0,0.0,32,32,2.2,0,0,0.0
34,Malappuram,1,1,0.1,1,1,0.1,0,0,0.0,1,1,0.1,0,0,0.0
35,Meerut,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Mumbai,2,2,0.0,2,2,0.0,0,0,0.0,247,247,1.3,0,0,0.0
37,Nagpur,0,0,0.0,0,0,0.0,0,0,0.0,41,41,1.6,0,0,0.0
38,Nasik,1,1,0.1,0,0,0.0,1,1,0.1,15,15,1.0,0,0,0.0
39,Patna,0,0,0.0,0,0,0.0,0,0,0.0,75,75,3.7,0,0,0.0
40,Pune,2,2,0.0,2,2,0.0,0,0,0.0,62,62,1.2,0,0,0.0
41,Raipur,3,3,0.3,3,3,0.3,0,0,0.0,11,11,1.0,0,0,0.0
42,Rajkot,1,1,0.1,1,1,0.1,0,0,0.0,17,17,1.2,0,0,0.0
43,Ranchi,0,0,0.0,0,0,0.0,0,0,0.0,46,46,4.1,0,0,0.0
44,Srinagar,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
45,Surat,0,0,0.0,0,0,0.0,0,0,0.0,9,9,0.2,0,0,0.0
46,Thiruvananthapuram,8,8,0.5,8,8,0.5,0,0,0.0,13,13,0.8,0,0,0.0
47,Thrissur,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
48,Tiruchirapalli,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
49,Vadodara,3,3,0.2,3,3,0.2,0,0,0.0,14,14,0.8,0,0,0.0
50,Varanasi,0,0,0.0,0,0,0.0,0,0,0.0,31,31,2.2,0,0,0.0
51,Vasai Virar,1,1,0.1,1,1,0.1,0,0,0.0,3,3,0.2,0,0,0.0
52,Vijayawada,2,2,0.1,2,2,0.1,0,0,0.0,34,34,2.3,0,0,0.0
53,Vishakhapatnam,0,0,0.0,0,0,0.0,0,0,0.0,8,8,0.5,0,0,0.0
,TOTAL CITIES,75,79,0.0,73,77,0.0,2,2,0.0,1604,1629,1.0,2,2,0.0
,,,,,,,,,,,,,,,,
TABLE 2.2- Page: 21 of 22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Col. 238 = Col. 241+ Col. 244,,,,,,,,,,,,,,,,
Col. 239 = Col. 242+ Col. 245,,,,,,,,,,,,,,,,
