TABLE-1.8,,,,,,,
,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,
Different Crime Heads In States & UTs During 2010,,,,,,,
,,,,,,,
SI. No.,State/UT,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",
,,I,R,I,R,I,R
(1),(2),(3),(4),(5),(6),(7),(8)
STATES.,,,,,,,
1,ANDHRA PRADESH,2538,3.0,1953,2.3,155,0.2
2,ARUNACHALPRADESH,75,6.1,34,2.8,3,0.2
3,ASSAM,1223,3.9,431,1.4,46,0.1
4,BIHAR,3362,3.5,2915,3.0,344,0.4
5,CHHATTISGARH,1065,4.3,756,3.1,30,0.1
6,GOA,35,2.0,27,1.5,3,0.2
7,GUJARAT,1048,1.8,462,0.8,44,0.1
8,HARYANA,1005,4.1,836,3.4,63,0.3
9,HIMACHAL PRADESH,132,2.0,74,1.1,12,0.2
10,JAMMU & KASHMIR,217,1.6,711,5.3,26,0.2
11,JHARKHAND,1689,5.5,1028,3.3,82,0.3
12,KARNATAKA,1805,3.1,1850,3.1,94,0.2
13,KERALA,363,1.0,361,1.0,86,0.2
14,MADHYA PRADESH,2423,3.4,2277,3.2,123,0.2
15,MAHARASHTRA,2744,2.5,1926,1.8,152,0.1
16,MANIPUR,92,3.4,258,9.5,1,0.0
17,MEGHALAYA,134,5.1,60,2.3,8,0.3
18,MIZORAM,48,4.8,27,2.7,7,0.7
19,NAGALAND,45,2.0,35,1.6,13,0.6
20,ODISHA,1308,3.2,1436,3.5,31,0.1
21,PUNJAB,907,3.3,994,3.6,120,0.4
22,RAJASTHAN,1421,2.1,1557,2.3,104,0.2
23,SIKKIM,17,2.8,6,1.0,2,0.3
24,TAMIL NADU,1875,2.8,2641,3.9,32,0.0
25,TRIPURA,150,4.2,63,1.7,8,0.2
26,UTTAR PRADESH,4401,2.2,4004,2.0,1401,0.7
27,UTTARAKHAND,176,1.8,219,2.2,60,0.6
28,WEST BENGAL,2398,2.7,2111,2.3,630,0.7
,TOTAL (STATES),32696,2.8,29052,2.5,3680,0.3
UNION TERRITORIES,,,,,,,
29,A & N ISLANDS,9,2.1,7,1.6,4,0.9
30,CHANDIGARH,21,1.9,30,2.7,9,0.8
31,D & N HAVELI,6,2.1,0,0.0,1,0.4
32,DAMAN & DILI,5,2.5,2,1.0,1,0.5
33,DELHI,565,3.1,311,1.7,71,0.4
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,33,3.0,19,1.7,16,1.4
,TOTAL (UTs),639,3.0,369,1.7,102,0.5
,TOTAL (ALL-INDIA),33335,2.8,29421,2.5,3782,0.3
,,,,,,,
204,,,,,,,
