TABLE-1.8 (Continued),,,,,,,
,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,
Different Crime Heads In Cities During 2010,,,,,,,
,,,,,,,
SI. No.,City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",
,,I,R,I,R,I,R
(1),(2),(3),(4),(5),(6),(7),(8)
CITIES:,,,,,,,
36,AGRA,58,4.4,61,4.6,26,2.0
37,AHMEDABAD,82,1.8,66,1.5,4,0.1
38,ALLAHABAD,44,4.2,47,4.5,4,0.4
39,AMRITSAR,53,5.2,71,7.0,7,0.7
40,ASANSOL,34,3.1,8,0.7,14,1.3
41,BENGALURU,266,4.7,445,7.8,5,0.1
42,BHOPAL,49,3.4,59,4.1,3,0.2
43,CHENNAI,103,1.6,158,2.5,2,0.0
44,COIMBATORE,22,1.5,27,1.9,0,0.0
45,DELHI (CITY),453,3.5,260,2.0,63,0.5
46,DHANBAD,17,1.6,10,0.9,7,0.7
47,FARIDABAD,70,6.6,49,4.6,5,0.5
48,HYDERABAD,134,2.4,143,2.6,8,0.1
49,INDORE,80,4.9,129,7.9,2,0.1
50,JABALPUR,48,4.3,71,6.4,0,0.0
51,JAIPUR,65,2.8,68,2.9,7,0.3
52,JAMSHEDPUR,52,4.7,27,2.5,8,0.7
53,KANPUR,150,5.6,109,4.1,41,1.5
54,KOCHI,4,0.3,11,0.8,3,0.2
55,KOLKATA,49,0.4,55,0.4,43,0.3
56,LUCKNOW,83,3.7,67,3.0,19,0.8
57,LUDHIANA,81,5.8,81,5.8,12,0.9
58,MADURAI,34,2.8,50,4.2,0,0.0
59,MEERUT,34,2.9,55,4.7,5,0.4
60,MUMBAI,228,1.4,170,1.0,7,0.0
61,NAGPUR,88,4.1,69,3.3,5,0.2
62,NAS IK,37,3.2,32,2.8,1,0.1
63,PATNA,130,7.6,20,1.2,4,0.2
64,PUNE,129,3.4,94,2.5,6,0.2
65,RAJKOT,38,3.8,22,2.2,1,0.1
66,SURAT,87,3.1,19,0.7,1,0.0
67,VADODARA,23,1.5,25,1.7,1,0.1
68,VARANASI,15,1.2,34,2.8,15,1.2
69,VIJAYAWADA,33,3.3,49,4.8,1,0.1
70,VISHAKHAPATNAM,24,1.8,25,1.9,4,0.3
,TOTAL (CITIES),2897,2.7,2686,2.5,334,0.3
,,,,,,,
205,,,,,,,
