TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,State/UT,,,Rape (Sec. 376 IPQ,,,
,,Total,,Custodial,,Others,
,,I,R,I,R,I,R
(1),(2),(9),(10),(ID,(12),(13),(14)
STATES.,,,,,,,
1,ANDHRA PRADESH,1362,1.6,0,0.0,1362,1.6
2,ARUNACHALPRADESH,47,3.8,0,0.0,47,3.8
3,ASSAM,1721,5.6,5,0.0,1716,5.5
4,BIHAR,795,0.8,0,0.0,795,0.8
5,CHHATTISGARH,1012,4.1,0,0.0,1012,4.1
6,GOA,36,2.1,0,0.0,36,2.1
7,GUJARAT,408,0.7,0,0.0,408,0.7
8,HARYANA,720,2.9,0,0.0,720,2.9
9,HIMACHAL PRADESH,160,2.4,0,0.0,160,2.4
10,JAMMU & KASHMIR,245,1.8,0,0.0,245,1.8
11,JHARKHAND,773,2.5,0,0.0,773,2.5
12,KARNATAKA,586,1.0,0,0.0,586,1.0
13,KERALA,634,1.8,0,0.0,634,1.8
14,MADHYA PRADESH,3135,4.3,0,0.0,3135,4.3
15,MAHARASHTRA,1599,1.5,0,0.0,1599,1.5
16,MANIPUR,34,1.3,0,0.0,34,1.3
17,MEGHALAYA,149,5.7,0,0.0,149,5.7
18,MIZORAM,92,9.1,0,0.0,92,9.1
19,NAGALAND,16,0.7,0,0.0,16,0.7
20,ODISHA,1025,2.5,0,0.0,1025,2.5
21,PUNJAB,546,2.0,0,0.0,546,2.0
22,RAJASTHAN,1571,2.3,0,0.0,1571,2.3
23,SIKKIM,18,3.0,0,0.0,18,3.0
24,TAMIL NADU,686,1.0,0,0.0,686,1.0
25,TRIPURA,238,6.6,0,0.0,238,6.6
26,UTTAR PRADESH,1563,0.8,1,0.0,1562,0.8
27,UTTARAKHAND,121,1.2,0,0.0,121,1.2
28,WEST BENGAL,2311,2.6,0,0.0,2311,2.6
,TOTAL (STATES),21603,1.9,6,0.0,21597,1.9
UNION TERRITORIES:,,,,,,,
29,A & N ISLANDS,24,5.6,0,0.0,24,5.6
30,CHANDIGARH,31,2.8,0,0.0,31,2.8
31,D & N HAVELI,3,1.1,0,0.0,3,1.1
32,DAMAN & DILI,1,0.5,0,0.0,1,0.5
33,DELHI,507,2.8,0,0.0,507,2.8
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,3,0.3,0,0.0,3,0.3
,TOTAL (UTs),569,2.6,0,0.0,569,2.6
,TOTAL (ALL-INDIA),22172,1.9,6,0.0,22166,1.9
,,,,,,,
206,,,,,,,
