TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,City,,,Rape (Sec. 376 IPQ,,,
,,Total I,R,Custodial I,R,Others I,R
(1),(2),(9),(10),(ID,(12),(13),(14)
CITIES:,,,,,,,
36,AGRA,13,1.0,0,0.0,13,1.0
37,AHMEDABAD,49,1.1,0,0.0,49,1.1
38,ALLAHABAD,7,0.7,0,0.0,7,0.7
39,AMRITSAR,24,2.4,0,0.0,24,2.4
40,ASANSOL,18,1.6,0,0.0,18,1.6
41,BENGALURU,65,1.1,0,0.0,65,1.1
42,BHOPAL,73,5.0,0,0.0,73,5.0
43,CHENNAI,47,0.7,0,0.0,47,0.7
44,COIMBATORE,15,1.0,0,0.0,15,1.0
45,DELHI (CITY),414,3.2,0,0.0,414,3.2
46,DHANBAD,5,0.5,0,0.0,5,0.5
47,FARIDABAD,51,4.8,0,0.0,51,4.8
48,HYDERABAD,45,0.8,0,0.0,45,0.8
49,INDORE,69,4.2,0,0.0,69,4.2
50,JABALPUR,81,7.3,0,0.0,81,7.3
51,JAIPUR,71,3.1,0,0.0,71,3.1
52,JAMSHEDPUR,16,1.5,0,0.0,16,1.5
53,KANPUR,42,1.6,0,0.0,42,1.6
54,KOCHI,20,1.5,0,0.0,20,1.5
55,KOLKATA,32,0.2,0,0.0,32,0.2
56,LUCKNOW,52,2.3,0,0.0,52,2.3
57,LUDHIANA,52,3.7,0,0.0,52,3.7
58,MADURAI,3,0.3,0,0.0,3,0.3
59,MEERUT,19,1.6,0,0.0,19,1.6
60,MUMBAI,194,1.2,0,0.0,194,1.2
61,NAGPUR,58,2.7,0,0.0,58,2.7
62,NAS IK,30,2.6,0,0.0,30,2.6
63,PATNA,25,1.5,0,0.0,25,1.5
64,PUNE,91,2.4,0,0.0,91,2.4
65,RAJKOT,12,1.2,0,0.0,12,1.2
66,SURAT,23,0.8,0,0.0,23,0.8
67,VADODARA,7,0.5,0,0.0,7,0.5
68,VARANASI,2,0.2,0,0.0,2,0.2
69,VIJAYAWADA,25,2.5,0,0.0,25,2.5
70,VISHAKHAPATNAM,53,4.0,0,0.0,53,4.0
,TOTAL (CITIES),1803,1.7,0,0.0,1803,1.7
,,,,,,,
207,,,,,,,
