TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI. State/UT No.,,,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",,,,Dacoity (Sec. 395-398 IPC),
,Total,,of Women & Girls,,of Others,,,
,I,R,I,R,I,R,I,R
(1) (2),(15),(16),(17),(18),(19),(20),(21),(22)
STATES:,,,,,,,,
1 ANDHRA PRADESH,2053,2.4,1531,1.8,522,0.6,134,0.2
2 ARUNACHALPRADESH,67,5.4,46,3.7,21,1.7,15,1.2
3 ASSAM,3250,10.5,2767,8.9,483,1.6,248,0.8
4 BIHAR,3674,3.8,2569,2.6,1105,1.1,644,0.7
5 CHHATTISGARH,359,1.5,279,1.1,80,0.3,122,0.5
6 GOA,25,1.4,18,1.0,7,0.4,2,0.1
7 GUJARAT,1447,2.5,1290,2.2,157,0.3,186,0.3
8 HARYANA,963,3.9,714,2.9,249,1.0,147,0.6
9 HIMACHAL PRADESH,194,2.9,162,2.4,32,0.5,2,0.0
10 JAMMU & KASHMIR,896,6.7,840,6.3,56,0.4,6,0.0
11 JHARKHAND,978,3.2,696,2.2,282,0.9,335,1.1
12 KARNATAKA,1374,2.3,586,1.0,788,1.3,272,0.5
13 KERALA,261,0.7,184,0.5,77,0.2,74,0.2
14 MADHYA PRADESH,1187,1.6,1030,1.4,157,0.2,110,0.2
15 MAHARASHTRA,1508,1.4,1124,1.0,384,0.3,778,0.7
16 MANIPUR,199,7.4,107,4.0,92,3.4,0,0.0
17 MEGHALAYA,71,2.7,37,1.4,34,1.3,42,1.6
18 MIZORAM,9,0.9,0,0.0,9,0.9,3,0.3
19 NAGALAND,50,2.2,6,0.3,44,2.0,3,0.1
20 ODISHA,1016,2.5,912,2.2,104,0.3,346,0.8
21 PUNJAB,789,2.9,576,2.1,213,0.8,65,0.2
22 RAJASTHAN,2985,4.4,2477,3.7,508,0.8,37,0.1
23 SIKKIM,6,1.0,6,1.0,0,0.0,1,0.2
24 TAMIL NADU,1720,2.5,1464,2.2,256,0.4,85,0.1
25 TRIPURA,114,3.2,91,2.5,23,0.6,16,0.4
26 UTTAR PRADESH,6321,3.2,5468,2.7,853,0.4,337,0.2
27 UTTARAKHAND,286,2.9,249,2.5,37,0.4,12,0.1
28 WEST BENGAL,3345,3.7,2764,3.1,581,0.6,288,0.3
TOTAL (STATES),35147,3.0,27993,2.4,7154,0.6,4310,0.4
UNION TERRITORIES,,,,,,,,
29 A & N ISLANDS,10,2.3,8,1.9,2,0.5,1,0.2
30 CHANDIGARH,38,3.4,28,2.5,10,0.9,5,0.4
31 D&NHAVELI,18,6.4,10,3.5,8,2.8,2,0.7
32 DAMAN & DIU,2,1.0,2,1.0,0,0.0,6,3.0
33 DELHI,3208,17.5,1740,9.5,1468,8.0,32,0.2
34 LAKSHADWEEP,0,0.0,0,0.0,0,0.0,0,0.0
35 PUDUCHERRY,17,1.5,14,1.3,3,0.3,2,0.2
TOTAL (UTs),3293,15.3,1802,8.4,1491,6.9,48,0.2
TOTAL (ALL-INDIA),38440,3.2,29795,2.5,8645,0.7,4358,0.4
,,,,,,,,
208,,,,,,,,
