TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,State/UT,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,,"Robbeiy (Sec. 392-394,397,398 IPC) I R",,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",
(1),_(?)_,(23),(24),(25),(26),_m_(?8)_,
STATES:,,,,,,,
1,ANDHRA PRADESH,2,0.0,550,0.7,8200,9.7
2,ARUNACHALPRADESH,0,0.0,69,5.6,211,17.1
3,ASSAM,12,0.0,662,2.1,3458,11.2
4,BIHAR,46,0.0,1538,1.6,3437,3.5
5,CHHATTISGARH,15,0.1,552,2.2,3711,15.1
6,GOA,0,0.0,39,2.2,368,21.1
7,GUJARAT,18,0.0,1384,2.4,4071,7.0
8,HARYANA,248,1.0,734,3.0,4445,18.1
9,HIMACHAL PRADESH,0,0.0,11,0.2,743,11.1
10,JAMMU & KASHMIR,0,0.0,61,0.5,1406,10.5
11,JHARKHAND,19,0.1,709,2.3,1357,4.4
12,KARNATAKA,300,0.5,1949,3.3,6059,10.3
13,KERALA,221,0.6,636,1.8,2682,7.7
14,MADHYA PRADESH,110,0.2,1919,2.7,9897,13.7
15,MAHARASHTRA,285,0.3,3721,3.4,16617,15.1
16,MANIPUR,196,7.3,2,0.1,66,2.4
17,MEGHALAYA,1,0.0,67,2.6,166,6.4
18,MIZORAM,0,0.0,16,1.6,425,42.2
19,NAGALAND,0,0.0,63,2.8,62,2.8
20,ODISHA,117,0.3,1491,3.7,2855,7.0
21,PUNJAB,143,0.5,241,0.9,2661,9.8
22,RAJASTHAN,84,0.1,872,1.3,4714,7.0
23,SIKKIM,0,0.0,7,1.1,72,11.8
24,TAMIL NADU,12,0.0,1817,2.7,4715,7.0
25,TRIPURA,2,0.1,65,1.8,221,6.1
26,UTTAR PRADESH,48,0.0,2577,1.3,4915,2.5
27,UTTARAKHAND,2,0.0,162,1.7,310,3.2
28,WEST BENGAL,687,0.8,798,0.9,388,0.4
,TOTAL (STATES),2568,0.2,22712,2.0,88232,7.6
UNION TERRITORIES,,,,,,,
29,A & N ISLANDS,0,0.0,7,1.6,80,18.5
30,CHANDIGARH,6,0.5,67,6.0,236,21.0
31,D & N HAVELI,0,0.0,3,1.1,25,8.8
32,DAMAN & DILI,0,0.0,0,0.0,27,13.5
33,DELHI,31,0.2,599,3.3,1502,8.2
34,LAKSHADWEEP,0,0.0,0,0.0,5,6.9
35,PUDUCHERRY,10,0.9,5,0.4,72,6.4
,TOTAL (UTs),47,0.2,681,3.2,1947,9.0
,TOTAL (ALL-INDIA),2615,0.2,23393,2.0,90179,7.6
,,,,,,,
210,,,,,,,
