TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,Hurt,,Dowiy Deaths,,Molestation,,Sexual Harassment,
No.,,"(Sec.323-333,335-338 IPC)",,(Sec.304B IPC),,(Sec.354 IPC),,(Sec.509 IPC),
,,I,R,I,R,I,R,I,R
(1),(2),(45),(46),(47),(48),(49),(50),(51),(52)
STATES:,,,,,,,,,
1,ANDHRA PRADESH,46777,55.6,588,0.7,4634,5.5,4562,5.4
2,ARUNACHALPRADESH,439,35.5,0,0.0,84,6.8,1,0.1
3,ASSAM,5744,18.5,175,0.6,1400,4.5,20,0.1
4,BIHAR,15328,15.8,1257,1.3,534,0.5,16,0.0
5,CHHATTISGARH,10188,41.5,115,0.5,1706,7.0,182,0.7
6,GOA,177,10.2,1,0.1,36,2.1,16,0.9
7,GUJARAT,10131,17.4,19,0.0,668,1.1,110,0.2
8,HARYANA,3733,15.2,284,1.2,476,1.9,580,2.4
9,HIMACHAL PRADESH,1374,20.5,2,0.0,350,5.2,78,1.2
10,JAMMU & KASHMIR,278,2.1,9,0.1,1038,7.8,262,2.0
11,JHARKHAND,4271,13.8,276,0.9,245,0.8,16,0.1
12,KARNATAKA,21835,37.1,248,0.4,2544,4.3,83,0.1
13,KERALA,18532,53.0,22,0.1,2936,8.4,537,1.5
14,MADHYA PRADESH,39193,54.4,892,1.2,6646,9.2,918,1.3
15,MAHARASHTRA,29696,27.0,393,0.4,3661,3.3,1180,1.1
16,MANIPUR,227,8.4,0,0.0,31,1.1,0,0.0
17,MEGHALAYA,154,5.9,0,0.0,48,1.8,0,0.0
18,MIZORAM,116,11.5,0,0.0,75,7.4,0,0.0
19,NAGALAND,36,1.6,0,0.0,13,0.6,3,0.1
20,ODISHA,7181,17.6,388,1.0,2905,7.1,232,0.6
21,PUNJAB,4873,17.9,121,0.4,349,1.3,38,0.1
22,RAJASTHAN,19247,28.7,462,0.7,2339,3.5,23,0.0
23,SIKKIM,73,12.0,1,0.2,11,1.8,0,0.0
24,TAMIL NADU,21309,31.5,165,0.2,1405,2.1,638,0.9
25,TRIPURA,1136,31.5,25,0.7,376,10.4,9,0.2
26,UTTAR PRADESH *,10336,5.2,2217,1.1,2793,1.4,11,0.0
27,UTTARAKHAND,974,9.9,75,0.8,125,1.3,165,1.7
28,WEST BENGAL,12764,14.1,507,0.6,2465,2.7,163,0.2
,TOTAL (STATES),286122,24.6,8242,0.7,39893,3.4,9843,0.8
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,80,18.5,0,0.0,31,7.2,10,2.3
30,CHANDIGARH,65,5.8,5,0.4,29,2.6,4,0.4
31,D & N HAVELI,11,3.9,0,0.0,11,3.9,2,0.7
32,DAMAN & DILI,12,6.0,0,0.0,2,1.0,0,0.0
33,DELHI,1925,10.5,143,0.8,601,3.3,80,0.4
34,LAKSHADWEEP,1,1.4,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,806,72.2,1,0.1,46,4.1,22,2.0
,TOTAL (UTs),2900,13.4,149,0.7,720,3.3,118,0.5
,TOTAL (ALL-INDIA),289022,24.4,8391,0.7,40613,3.4,9961,0.8
,,,,,,,,,
"* As clarified by Uttar Pradesh, specifically the figures of Sexual Harassment (u/s 509 IPC) have been given from 2010 excluding figures u/s",,,,,,,,,
"294 IPC which were until 2009 being added up with section 509 IPC and furnished to NCRB, therefore variation is there in Uttar Pradesh and",,,,,,,,,
its Cities (Except Agra City) in the data of Sexual Harassment (u/s 509 IPC).,,,,,,,,,
,,,,,,,,,
216,,,,,,,,,
