TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. No.,City,"Hurt (Sec.323-333,335 I",338IPC) R,Dowry Deaths (Sec.304B IPC) I R,,Molestation (Sec.354 IPC) I R,,Sexual Harassment (Sec.509 IPC) I R,
(1),(2),(45),(46),(47),(48),(49),(50),(51),(52)
CITIES:,,,,,,,,,
36,AGRA,268,20.3,39,3.0,54,4.1,61,4.6
37,AHMEDABAD,1365,30.2,12,0.3,73,1.6,9,0.2
38,ALLAHABAD,255,24.3,14,1.3,9,0.9,0,0.0
39,AMRITSAR,152,15.0,10,1.0,10,1.0,4,0.4
40,ASANSOL,69,6.3,19,1.7,13,1.2,0,0.0
41,BENGALURU,3153,55.4,52,0.9,308,5.4,50,0.9
42,BHOPAL,1286,88.4,25,1.7,21,1.4,139,9.6
43,CHENNAI,773,12.0,16,0.2,45,0.7,23,0.4
44,COIMBATORE,357,24.7,1,0.1,35,2.4,1,0.1
45,DELHI (CITY),1700,13.3,112,0.9,550,4.3,73,0.6
46,DHANBAD,71,6.7,12,1.1,6,0.6,0,0.0
47,FARIDABAD,191,18.1,23,2.2,27,2.6,78,7.4
48,HYDERABAD,3425,61.9,44,0.8,171,3.1,60,1.1
49,INDORE,2800,170.8,26,1.6,211,12.9,47,2.9
50,JABALPUR,875,78.3,25,2.2,114,10.2,49,4.4
51,JAIPUR,597,25.7,30,1.3,115,4.9,0,0.0
52,JAMSHEDPUR,578,52.5,13,1.2,6,0.5,1,0.1
53,KANPUR,407,15.1,92,3.4,118,4.4,7,0.3
54,KOCHI,282,20.8,2,0.1,67,4.9,23,1.7
55,KOLKATA,2007,15.2,12,0.1,226,1.7,133,1.0
56,LUCKNOW,35,1.5,50,2.2,97,4.3,0,0.0
57,LUDHIANA,217,15.6,7,0.5,27,1.9,11,0.8
58,MADURAI,130,10.9,11,0.9,12,1.0,20,1.7
59,MEERUT,12,1.0,14,1.2,34,2.9,0,0.0
60,MUMBAI,4487,27.4,21,0.1,475,2.9,138,0.8
61,NAGPUR,842,39.7,8,0.4,87,4.1,48,2.3
62,NAS IK,268,23.3,2,0.2,46,4.0,18,1.6
63,PATNA,34,2.0,30,1.8,4,0.2,3,0.2
64,PUNE,1169,31.1,4,0.1,78,2.1,91,2.4
65,RAJKOT,393,39.2,0,0.0,14,1.4,7,0.7
66,SURAT,556,19.8,3,0.1,24,0.9,1,0.0
67,VADODARA,276,18.5,0,0.0,18,1.2,0,0.0
68,VARANASI,94,7.8,11,0.9,3,0.2,0,0.0
69,VIJAYAWADA,1565,154.8,17,1.7,172,17.0,219,21.7
70,VISHAKHAPATNAM,2443,183.8,11,0.8,59,4.4,52,3.9
,TOTAL (CITIES),33132,30.7,768,0.7,3329,3.1,1366,1.3
,,,,,,,,,
217,,,,,,,,,
