TABLE-1.8 (Concluded),,,,,,,,,,,
,,,,,,,,,,,
SI. No.,State/UT,Cruelty by Husband and Relatives (Sec. 498A IPC),,Importation of Gil ls (Sec. 366B IPC),,Causing Death by Negligence (Sec. 304A IPC),,Other IPC Climes,,Total Cognizable Climes Under IPC,
,,I,R,I,R,I,R,I,R,I,R
(1),(2),(53),(54),(55),(56),(57),(58),(59),S' V.©,(61),(62)
STATES:,,,,,,,,,,,
1,ANDHRA PRADESH,12080,14.4,0,0.0,14085,16.7,41373,49.2,181438,215.7
2,ARUNACHALPRADESH,12,1.0,0,0.0,106,8.6,622,50.4,2439,197.5
3,ASSAM,5410,17.5,0,0.0,2847,9.2,22110,71.4,61668,199.1
4,BIHAR,2271,2.3,8,0.0,5615,5.8,56508,58.1,127453,131.1
5,CHHATTISGARH,861,3.5,2,0.0,2907,11.8,23091,94.1,54958,224.0
6,GOA,17,1.0,0,0.0,256,14.7,927,53.2,3293,188.9
7,GUJARAT,5600,9.6,0,0.0,5907,10.2,63788,109.6,116439,200.1
8,HARYANA,2720,11.1,0,0.0,1595,6.5,20060,81.6,59120,240.4
9,HIMACHAL PRADESH,275,4.1,0,0.0,610,9.1,7020,105.0,13049,195.1
10,JAMMU & KASHMIR,211,1.6,0,0.0,494,3.7,11869,88.8,23223,173.8
11,JHARKHAND,650,2.1,8,0.0,1745,5.6,13477,43.6,38889,125.7
12,KARNATAKA,3441,5.9,0,0.0,471,0.8,65123,110.8,142322,242.0
13,KERALA,4797,13.7,0,0.0,47,0.1,98668,282.1,148313,424.1
14,MADHYA PRADESH,3756,5.2,5,0.0,7038,9.8,107390,148.9,214269,297.2
15,MAHARASHTRA,7434,6.8,0,0.0,13508,12.3,49739,45.2,208168,189.2
16,MANIPUR,18,0.7,0,0.0,1,0.0,932,34.5,2715,100.5
17,MEGHALAYA,24,0.9,0,0.0,53,2.0,666,25.5,2505,96.0
18,MIZORAM,3,0.3,0,0.0,44,4.4,355,35.2,2174,215.7
19,NAGALAND,1,0.0,0,0.0,22,1.0,242,10.8,1059,47.1
20,ODISHA,2067,5.1,5,0.0,3450,8.5,19366,47.4,56459,138.3
21,PUNJAB,1163,4.3,0,0.0,3350,12.3,10896,40.0,36648,134.4
22,RAJASTHAN,11145,16.6,0,0.0,7978,11.9,67221,100.2,162957,242.8
23,SIKKIM,3,0.5,0,0.0,47,7.7,200,32.8,552,90.5
24,TAMIL NADU,1570,2.3,0,0.0,14644,21.7,110733,163.7,185678,274.5
25,TRIPURA,937,26.0,0,0.0,237,6.6,1356,37.6,5805,160.8
26,UTTAR PRADESH,7978,4.0,0,0.0,14472,7.3,61500,30.9,174179,87.5
27,UTTARAKHAND,334,3.4,0,0.0,738,7.5,2101,21.4,9240,94.1
28,WEST BENGAL,17796,19.7,8,0.0,2847,3.2,49096,54.4,129616,143.7
,TOTAL (STATES),92574,8.0,36,0.0,105114,9.0,906429,77.9,2164628,185.9
UNION TERRITORIES,,,,,,,,,,,
29,A & N ISLANDS,9,2.1,0,0.0,9,2.1,489,113.2,980,226.9
30,CHANDIGARH,41,3.6,0,0.0,6,0.5,1036,92.1,3373,299.8
31,D & N HAVELI,3,1.1,0,0.0,20,7.1,133,47.0,378,133.6
32,DAMAN & DILI,3,1.5,0,0.0,38,19.0,37,18.5,203,101.5
33,DELHI,1404,7.7,0,0.0,914,5.0,14055,76.7,51292,279.8
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0,26,36.1,42,58.3
35,PUDUCHERRY,7,0.6,0,0.0,242,21.7,1867,167.1,3935,352.3
,TOTAL (UTs),1467,6.8,0,0.0,1229,5.7,17643,81.8,60203,279.2
,TOTAL (ALL-INDIA),94041,7.9,36,0.0,106343,9.0,924072,77.9,2224831,187.6
,,,,,,,,,,,
218,,,,,,,,,,,
