TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,State/UT,,,Rape (Sec. 376 IPC),,,
,,Total,,Custodial,,Others,
,,i,R,i,R,I,R
(1),(2),(9),(10),(ii),(12),(13),(14)
STATES.,,,,,,,
1,ANDHRA PRADESH,1442,1.7,0,0.0,1442,1.7
2,ARUNACHAL PRADESH,42,3.0,0,0.0,42,3.0
3,ASSAM,1700,5.5,0,0.0,1700,5.5
4,BIHAR,934,0.9,1,0.0,933,0.9
5,CHHATTISGARH,1053,4.1,0,0.0,1053,4.1
6,GOA,29,2.0,0,0.0,29,2.0
7,GUJARAT,439,0.7,0,0.0,439,0.7
8,HARYANA,733,2.9,0,0.0,733,2.9
9,HIMACHAL PRADESH,168,2.5,0,0.0,168,2.5
10,JAMMU & KASHMIR,277,2.2,0,0.0,277,2.2
11,JHARKHAND,784,2.4,0,0.0,784,2.4
12,KARNATAKA,636,1.0,0,0.0,636,1.0
13,KERALA,1132,3.4,0,0.0,1132,3.4
14,MADHYA PRADESH,3406,4.7,0,0.0,3406,4.7
15,MAHARASHTRA,1701,1.5,0,0.0,1701,1.5
16,MANIPUR,53,1.9,0,0.0,53,1.9
17,MEGHALAYA,130,4.4,0,0.0,130,4.4
18,MIZORAM,77,7.1,0,0.0,77,7.1
19,NAGALAND,23,1.2,0,0.0,23,1.2
20,ODISHA,1112,2.7,0,0.0,1112,2.7
21,PUNJAB,479,1.7,0,0.0,479,1.7
22,RAJASTHAN,1800,2.6,0,0.0,1800,2.6
23,SIKKIM,16,2.6,0,0.0,16,2.6
24,TAMIL NADU,677,0.9,0,0.0,677,0.9
25,TRIPURA,205,5.6,0,0.0,205,5.6
26,UTTAR PRADESH,2042,1.0,0,0.0,2042,1.0
27,UTTARAKHAND,129,1.3,0,0.0,129,1.3
28,WEST BENGAL,2363,2.6,0,0.0,2363,2.6
,TOTAL (STATES),23582,2.0,1,0.0,23581,2.0
UNION TERRITORIES:,,,,,,,
29,A & N ISLANDS,13,3.4,0,0.0,13,3.4
30,CHANDIGARH,27,2.6,0,0.0,27,2.6
31,D & N HAVELI,4,1.2,0,0.0,4,1.2
32,DAMAN & DILI,1,0.4,0,0.0,1,0.4
33,DELHI,572,3.4,0,0.0,572,3.4
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,7,0.6,0,0.0,7,0.6
,TOTAL (UTs),624,3.1,0,0.0,624,3.1
,TOTAL (ALL-INDIA),24206,2.0,1,0.0,24205,2.0
,,,,,,,
206,,,,,,,
