TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,City,,,Rape (Sec. 376 IPC),,,
,,,Total,Custodial,,,Others
,,I,R,i,R,i,R
_iii_,_ill_,_12J_,_112)_,_nn_,_mi_,_niL,_Hi)_
,,,,,,,
CITIES:,,,,,,,
,,,,,,,
36,AGRA,61,,,,,
37,AHMEDABAD,60,,,,,
38,ALLAHABAD,10,,,,,
39,AMRITSAR,20,,,,,
40,ASANSOL,31,,,,,
41,AURANGABAD,16,,,,,
42,BENGALURU,97,,,,,
43,BHOPAL,100,,,,,
44,CHANDIGARH(C),21,,,,,
45,CHENNAI,76,,,,,
46,COIMBATORE,9,,,,,
47,DELHI (CITY),453,,,,,
48,DHANBAD,10,,,,,
49,DURG- BHIL AIN AGAR,61,,,,,
50,FARID AB AD,54,,,,,
51,GHAZIABAD,5,,,,,
52,GWALIOR,48,,,,,
53,HYDERABAD,59,,,,,
54,INDORE,91,,,,,
55,JABALPUR,64,,,,,
56,JAIPUR,92,,,,,
57,JAMSHEDPUR,18,,,,,
58,JODHPUR,33,,,,,
59,KANNUR,12,,,,,
60,KANPUR,71,,,,,
61,KOCHI,30,,,,,
62,KOLKATA,46,,,,,
63,KOLLAM,50,,,,,
64,KOTA,24,,,,,
65,KOZHIKODE,14,,,,,
66,LUCKNOW,38,,,,,
67,LUDHIANA,42,,,,,
68,MADURAI,7,,,,,
69,MALAPPURAM,16,,,,,
70,MEERUT,23,,,,,
71,MUMBAI,221,,,,,
72,NAGPUR,45,,,,,
73,NASIK,25,,,,,
74,PATNA,27,,,,,
75,PUNE,79,,,,,
76,RAIPUR,24,,,,,
77,RAJKOT,10,,,,,
78,RANCHI,34,,,,,
79,SRINAGAR,14,,,,,
80,SURAT,36,,,,,
81,THIRUVANANTHAPURAM,39,,,,,
82,THRISSUR,28,,,,,
83,TIRUCHIRAPALLI,6,,,,,
84,VADODARA,9,,,,,
85,VARANASI,5,,,,,
86,VASAI VIRAR,21,,,,,
87,VIJAYAWADA,37,,,,,
88,VISHAKHAPATNAM TOTAL (CITIES),57 2579,,,,,
,,,,,,,
3.5,0,0.0,61,3.5,,,
0.9,0,0.0,60,0.9,,,
0.8,0,0.0,10,0.8,,,
1.7,0,0.0,20,1.7,,,
2.5,0,0.0,31,2.5,,,
1.3,0,0.0,16,1.3,,,
1.1,0,0.0,97,1.1,,,
5.3,0,0.0,100,5.3,,,
2.0,0,0.0,21,2.0,,,
0.9,0,0.0,76,0.9,,,
0.4,0,0.0,9,0.4,,,
2.8,0,0.0,453,2.8,,,
0.8,0,0.0,10,0.8,,,
5.7,0,0.0,61,5.7,,,
3.8,0,0.0,54,3.8,,,
0.2,0,0.0,5,0.2,,,
4.4,0,0.0,48,4.4,,,
0.8,0,0.0,59,0.8,,,
4.2,0,0.0,91,4.2,,,
5.0,0,0.0,64,5.0,,,
3.0,0,0.0,92,3.0,,,
1.3,0,0.0,18,1.3,,,
2.9,0,0.0,33,2.9,,,
0.7,0,0.0,12,0.7,,,
2.4,0,0.0,71,2.4,,,
1.4,0,0.0,30,1.4,,,
0.3,0,0.0,46,0.3,,,
4.5,0,0.0,50,4.5,,,
2.4,0,0.0,24,2.4,,,
0.7,0,0.0,14,0.7,,,
1.3,0,0.0,38,1.3,,,
2.6,0,0.0,42,2.6,,,
0.5,0,0.0,7,0.5,,,
0.9,0,0.0,16,0.9,,,
1.6,0,0.0,23,1.6,,,
1.2,0,0.0,221,1.2,,,
1.8,0,0.0,45,1.8,,,
1.6,0,0.0,25,1.6,,,
1.3,0,0.0,27,1.3,,,
1.6,0,0.0,79,1.6,,,
2.1,0,0.0,24,2.1,,,
0.7,0,0.0,10,0.7,,,
3.0,0,0.0,34,3.0,,,
1.1,0,0.0,14,1.1,,,
0.8,0,0.0,36,0.8,,,
2.3,0,0.0,39,2.3,,,
1.5,0,0.0,28,1.5,,,
0.4,0,0.0,6,0.4,,,
0.5,0,0.0,9,0.5,,,
0.3,0,0.0,5,0.3,,,
1.7,0,0.0,21,1.7,,,
2.5,0,0.0,37,2.5,,,
3.3,0,0.0,57,3.3,,,
1.6,0,0.0,2579,1.6,,,
,,,,,,,
207,,,,,,,
