TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. No.,City,,,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC)",,,,Dacoity (Sec. 395-398 IPC),
,,I,Total R,of Women & Girls I R,,of Others I R,,i,R
(1),(2),(15),(16),(17),(18),(19),(20),(21),(22)
CITIES: 36,AGRA,286,16.4,241,13.8,45,2.6,5,0.3
37,AHMEDABAD,230,3.6,184,2.9,46,0.7,31,0.5
38,ALLAHABAD,68,5.6,56,4.6,12,1.0,3,0.2
39,AMRITSAR,43,3.6,34,2.9,9,0.8,0,0.0
40,ASANSOL,64,5.1,50,4.0,14,1.1,8,0.6
41,AURANGABAD,35,2.9,24,2.0,11,0.9,23,1.9
42,BENGALURU,573,6.7,206,2.4,367,4.3,43,0.5
43,BHOPAL,32,1.7,26,1.4,6,0.3,0,0.0
44,CHANDIGARH(C),49,4.8,40,3.9,9,0.9,6,0.6
45,CHENNAI,56,0.6,41,0.5,15,0.2,3,0.0
46,COIMBATORE,27,1.3,10,0.5,17,0.8,0,0.0
47,DELHI (CITY),3007,18.4,1681,10.3,1326,8.1,28,0.2
48,DHANBAD,36,3.0,30,2.5,6,0.5,10,0.8
49,DURG-BHILAINAGAR,72,6.8,58,5.5,14,1.3,4,0.4
50,FARID AB AD,105,7.5,82,5.8,23,1.6,10,0.7
51,GHAZIABAD,129,5.5,103,4.4,26,1.1,2,0.1
52,GWALIOR,71,6.4,65,5.9,6,0.5,7,0.6
53,HYDERABAD,95,1.2,39,0.5,56,0.7,8,0.1
54,INDORE,59,2.7,47,2.2,12,0.6,1,0.0
55,JABALPUR,24,1.9,17,1.3,7,0.6,0,0.0
56,JAIPUR,262,8.5,226,7.4,36,1.2,8,0.3
57,JAMSHEDPUR,52,3.9,40,3.0,12,0.9,3,0.2
58,JODHPUR,58,5.1,45,4.0,13,1.1,0,0.0
59,KANNUR,2,0.1,2,0.1,0,0.0,2,0.1
60,KANPUR,343,11.7,303,10.4,40,1.4,11,0.4
61,KOCHI,11,0.5,10,0.5,1,0.0,6,0.3
62,KOLKATA,148,1.0,116,0.8,32,0.2,1,0.0
63,KOLLAM,21,1.9,20,1.8,1,0.1,4,0.4
64,KOTA,91,9.1,74,7.4,17,1.7,0,0.0
65,KOZHIKODE,11,0.5,10,0.5,1,0.0,0,0.0
66,LUCKNOW,219,7.5,210,7.2,9,0.3,9,0.3
67,LUDHIANA,76,4.7,64,4.0,12,0.7,1,0.1
68,MADURAI,25,1.7,18,1.2,7,0.5,1,0.1
69,MALAPPURAM,7,0.4,4,0.2,3,0.2,0,0.0
70,MEERUT,157,11.0,139,9.8,18,1.3,6,0.4
71,MUMBAI,221,1.2,166,0.9,55,0.3,28,0.2
72,NAGPUR,40,1.6,24,1.0,16,0.6,12,0.5
73,NASIK,16,1.0,11,0.7,5,0.3,28,1.8
74,PATNA,246,12.0,125,6.1,121,5.9,33,1.6
75,PUNE,104,2.1,72,1.4,32,0.6,19,0.4
76,RAIPUR,16,1.4,9,0.8,7,0.6,3,0.3
77,RAJKOT,40,2.9,34,2.4,6,0.4,3,0.2
78,RANCHI,100,8.9,92,8.2,8,0.7,13,1.2
79,SRINAGAR,118,9.3,110,8.6,8,0.6,2,0.2
80,SURAT,112,2.4,83,1.8,29,0.6,12,0.3
81,THIRUVANANTHAPURAM,25,1.5,13,0.8,12,0.7,2,0.1
82,THRISSUR,12,0.6,10,0.5,2,0.1,6,0.3
83,TIRUCHIRAPALLI,28,2.0,21,1.5,7,0.5,0,0.0
84,VADODARA,50,2.8,44,2.4,6,0.3,13,0.7
85,VARANASI,57,4.0,53,3.7,4,0.3,1,0.1
86,VASAI VIRAR,16,1.3,6,0.5,10,0.8,0,0.0
87,VIJAYAWADA,70,4.7,50,3.4,20,1.3,2,0.1
88,VISHAKHAPATNAM,50,2.9,48,2.8,2,0.1,13,0.8
,TOTAL (CITIES),7865,4.9,5286,3.3,2579,1.6,434,0.3
,,,,,,,,,
209,,,,,,,,,
