TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,State/UT,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,,"Robbery (Sec. 392-394,397,398 IPC) I R",,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",
(1)_,_(2)_,(23),(24),(25),(26),_07)_(28)_,
STATES:,,,,,,,
1,ANDHRA PRADESH,7,0.0,600,0.7,8300,9.8
2,ARUNACHAL PRADESH,0,0.0,64,4.6,183,13.2
3,ASSAM,4,0.0,837,2.7,3327,10.7
4,BIHAR,105,0.1,1381,1.3,3629,3.5
5,CHHATTISGARH,7,0.0,470,1.8,3548,13.9
6,GOA,0,0.0,26,1.8,318,21.8
7,GUJARAT,24,0.0,1368,2.3,4509,7.5
8,HARYANA,176,0.7,638,2.5,5011,19.8
9,HIMACHAL PRADESH,0,0.0,10,0.1,995,14.5
10,JAMMU & KASHMIR,0,0.0,88,0.7,1516,12.1
11,JHARKHAND,40,0.1,614,1.9,1235,3.7
12,KARNATAKA,399,0.7,2123,3.5,6136,10.0
13,KERALA,245,0.7,741,2.2,3001,9.0
14,MADHYA PRADESH,117,0.2,1952,2.7,10230,14.1
15,MAHARASHTRA,291,0.3,4249,3.8,16313,14.5
16,MANIPUR,154,5.7,7,0.3,52,1.9
17,MEGHALAYA,0,0.0,63,2.1,145,4.9
18,MIZORAM,0,0.0,6,0.5,336,30.8
19,NAGALAND,0,0.0,59,3.0,73,3.7
20,ODISHA,84,0.2,1583,3.8,3031,7.2
21,PUNJAB,143,0.5,236,0.9,2488,9.0
22,RAJASTHAN,72,0.1,727,1.1,4510,6.6
23,SIKKIM,0,0.0,5,0.8,60,9.9
24,TAMIL NADU,11,0.0,2066,2.9,4848,6.7
25,TRIPURA,0,0.0,50,1.4,227,6.2
26,UTTAR PRADESH,39,0.0,3148,1.6,5765,2.9
27,UTTARAKHAND,1,0.0,179,1.8,342,3.4
28,WEST BENGAL,939,1.0,760,0.8,455,0.5
,"TOTAL (STATES) """,2858,0.2,24050,2.0,90583,7.6
UNION TERRITORIES,,,,,,,
29,A & N ISLANDS,0,0.0,1,0.3,99,26.1
30,CHANDIGARH,2,0.2,68,6.4,285,27.0
31,D & N HAVELI,0,0.0,2,0.6,22,6.4
32,DAMAN & DILI,0,0.0,6,2.5,31,12.8
33,DELHI,25,0.1,562,3.4,1419,8.5
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,10,0.8,11,0.9,65,5.2
,TOTAL (UTs),37,0.2,650,3.2,1921,9.6
,TOTAL (ALL-INDIA),2895,0.2,24700,2.0,92504,7.6
,,,,,,,
210,,,,,,,
