TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,City,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,,"Robbery (Sec. 392-394,397,398 IPC) I R",,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",
(1),(2),(23),(24),(25),(26),(27),(28)
CITIES:,,,,,,,
36,AGRA,0,0.0,134,7.7,240,13.7
37,AHMEDABAD,0,0.0,720,11.3,831,13.1
38,ALLAHABAD,1,0.1,54,4.4,134,11.0
39,AMRITSAR,16,1.4,12,1.0,117,9.9
40,ASANSOL,71,5.7,23,1.9,9,0.7
41,AURANGABAD,5,0.4,152,12.8,380,32.0
42,BENGALURU,342,4.0,783,9.2,1313,15.4
43,BHOPAL,2,0.1,149,7.9,850,45.1
44,CHANDIGARH(C),0,0.0,62,6.0,265,25.8
45,CHENNAI,0,0.0,219,2.5,766,00 00
46,COIMBATORE,0,0.0,48,2.2,105,4.9
47,DELHI (CITY),23,0.1,473,2.9,1226,7.5
48,DHANBAD,2,0.2,9,0.8,63,5.3
49,DURG- BHILAIN AGAR,2,0.2,59,5.5,441,41.4
50,FARID AB AD,40,2.8,37,2.6,356,25.3
51,GHAZIABAD,1,0.0,75,3.2,171,7.2
52,GWALIOR,7,0.6,155,14.1,678,61.5
53,HYDERABAD,0,0.0,40,0.5,693,8.9
54,INDORE,6,0.3,194,9.0,862,39.8
55,JABALPUR,9,0.7,61,4.8,348,27.4
56,JAIPUR,12,0.4,179,5.8,889,28.9
57,JAMSHEDPUR,0,0.0,20,1.5,134,10.0
58,JODHPUR,1,0.1,17,1.5,173,15.2
59,KANNUR,1,0.1,57,3.5,71,4.3
60,KANPUR,0,0.0,133,4.6,319,10.9
61,KOCHI,34,1.6,38,1.8,76,3.6
62,KOLKATA,44,0.3,34,0.2,63,0.4
63,KOLLAM,21,1.9,16,1.4,105,9.5
64,KOTA,9,0.9,15,1.5,120,12.0
65,KOZHIKODE,30,1.5,48,2.4,136,6.7
66,LUCKNOW,0,0.0,52,1.8,410,14.1
67,LUDHIANA,11,0.7,10,0.6,183,11.3
68,MADURAI,0,0.0,85,5.8,106,7.3
69,MALAPPURAM,0,0.0,11,0.6,61,3.6
70,MEERUT,1,0.1,131,9.2,154,10.8
71,MUMBAI,46,0.2,467,2.5,2745,14.9
72,NAGPUR,11,0.4,198,7.9,734,29.4
73,NASIK,6,0.4,154,9.9,516,33.0
74,PATNA,0,0.0,121,5.9,425,20.8
75,PUNE,34,0.7,546,10.8,1192,23.6
76,RAIPUR,0,0.0,47,4.2,466,41.5
77,RAJKOT,0,0.0,36,2.6,187,13.4
78,RANCHI,2,0.2,66,5.9,157,13.9
79,SRINAGAR,0,0.0,33,2.6,280,22.0
80,SURAT,4,0.1,78,1.7,356,7.8
81,THIRUVANANTHAPURAM,57,3.4,79,4.7,175,10.4
82,THRISSUR,10,0.5,28,1.5,75,4.0
83,TIRUCHIRAPALLI,0,0.0,30,2.1,55,3.9
84,VADODARA,1,0.1,83,4.6,295,16.2
85,VARANASI,2,0.1,18,1.3,46,3.2
86,VASAI VIRAR,3,0.2,127,10.4,311,25.5
87,VIJAYAWADA,0,0.0,35,2.3,232,15.6
88,VISHAKHAPATNAM,0,0.0,28,1.6,283,16.4
,TOTAL (CITIES),867,0.5,6479,4.0,21378,13.3
,,,,,,,
211,,,,,,,
