TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. No.,State/UT,Criminal Breach of Trust (Sec. 406-409 IPC) I R,,"Cheating (Sec. 419,420 IPC) I R",,"Counterfeiting (Sec. 231-254,489A-489D IPC) I R",,"Arson (Sec. 435,436,438 IPC) I R",
(1),(2),(37),(38),(39),(40),(41),(42),_fc>3)_(44)_,
STATES:,,,,,,,,,
1,ANDHRA PRADESH,1174,1.4,9748,11.5,224,0.3,1021,1.2
2,ARUNACHAL PRADESH,54,3.9,74,5.4,2,0.1,34,2.5
3,ASSAM,920,3.0,1495,4.8,60,0.2,506,1.6
4,BIHAR,1741,1.7,3776,3.6,64,0.1,705,0.7
5,CHHATTISGARH,180,0.7,980,3.8,65,0.3,289,1.1
6,GOA,45,3.1,142,9.7,31,2.1,24,1.6
7,GUJARAT,1339,2.2,1399,2.3,256,0.4,263,0.4
8,HARYANA,812,3.2,1761,6.9,18,0.1,166,0.7
9,HIMACHAL PRADESH,143,2.1,359,5.2,4,0.1,110,1.6
10,JAMMU & KASHMIR,195,1.6,612,4.9,39,0.3,205,1.6
11,JHARKHAND,447,1.4,907,2.8,22,0.1,138,0.4
12,KARNATAKA,440,0.7,5850,9.6,105,0.2,231,0.4
13,KERALA,340,1.0,5155,15.4,56,0.2,450,1.3
14,MADHYA PRADESH,557,0.8,1860,2.6,12,0.0,784,1.1
15,MAHARASHTRA,1883,1.7,9098,8.1,351,0.3,1255,1.1
16,MANIPUR,42,1.5,126,4.6,12,0.4,99,3.6
17,MEGHALAYA,52,1.8,166,5.6,13,0.4,34,1.1
18,MIZORAM,21,1.9,66,6.0,2,0.2,19,1.7
19,NAGALAND,16,0.8,31,1.6,5,0.3,2,0.1
20,ODISHA,250,0.6,1391,3.3,10,0.0,423,1.0
21,PUNJAB,281,1.0,3571,12.9,58,0.2,83,0.3
22,RAJASTHAN,741,1.1,17497,25.5,56,0.1,473,0.7
23,SIKKIM,4,0.7,31,5.1,3,0.5,4,0.7
24,TAMIL NADU,238,0.3,3872,5.4,275,0.4,706,1.0
25,TRIPURA,54,1.5,99,2.7,9,0.2,58,1.6
26,UTTAR PRADESH,3721,1.9,9941,5.0,270,0.1,477,0.2
27,UTTARAKHAND,115,1.1,519,5.1,26,0.3,17,0.2
28,WEST BENGAL,1264,1.4,4171,4.6,207,0.2,413,0.5
,TOTAL (STATES),17069,1.4,84697,7.1,2255,0.2,8989,0.8
UNION TERRITORIES:,,,,,,,,,
29,A & N ISLANDS,3,0.8,32,8.4,0,0.0,6,1.6
30,CHANDIGARH,25,2.4,255,24.2,0,0.0,9,0.9
31,D & N HAVELI,10,2.9,18,5.2,2,0.6,5,1.5
32,DAMAN & DILI,3,1.2,10,4.1,2,0.8,0,0.0
33,DELHI,337,2.0,2590,15.5,44,0.3,42,0.3
34,LAKSHADWEEP,1,1.6,0,0.0,0,0.0,3,4.7
35,PUDUCHERRY,9,0.7,54,4.3,4,0.3,10,0.8
,TOTAL (UTs),388,1.9,2959,14.7,52,0.3,75,0.4
,TOTAL (ALL-INDIA),17457,1.4,87656,7.2,2307,0.2,9064,0.7
,,,,,,,,,
214,,,,,,,,,
