TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI.,City,Criminal Breach of Trust,,Cheating,,Counterfeitin g,,Arson
No.,,(Sec. 406-409 IPC),,"(Sec. 419,420 IPC)",,"(Sec. 231-254,489A-",,"(Sec. 435,436,438"
,,,,,,489D IPC),,IPC)
,,I,R,I,R,I,R,I R
(1),(2),(37),(38),(39),(40),(41),(42),(43) (44)
CITIES:,,,,,,,,
36,AGRA,139,8.0,330,18.9,35,2.0,1 0.1
37,AHMEDABAD,312,4.9,288,4.5,10,0.2,6 0.1
38,ALLAHABAD,67,5.5,155,12.7,11,0.9,2 0.2
39,AMRITSAR,16,1.4,261,22.0,3,0.3,4 0.3
40,ASANSOL,10,0.8,76,6.1,0,0.0,0 0.0
41,AURANGABAD,21,1.8,194,16.3,5,0.4,26 2.2
42,BENGALURU,152,1.8,3155,37.1,60,0.7,4 0.0
43,BHOPAL,17,0.9,75,4.0,0,0.0,15 0.8
44,CHANDIGARH(C),24,2.3,246,24.0,0,0.0,7 0.7
45,CHENNAI,22,0.3,767,8.8,99,1.1,7 0.1
46,COIMBATORE,6,0.3,171,7.9,19,0.9,23 1.1
47,DELHI (CITY),287,1.8,2403,14.7,44,0.3,33 0.2
48,DHANBAD,46,3.8,27,2.3,2,0.2,0 0.0
49,DURG-BHILAINAGAR,14,1.3,137,12.9,9,0.8,22 2.1
50,FARID AB AD,160,11.4,42,3.0,1,0.1,9 0.6
51,GHAZIABAD,112,4.7,304,12.9,2,0.1,0 0.0
52,GWALIOR,34,3.1,129,11.7,2,0.2,11 1.0
53,HYDERABAD,75,1.0,1864,24.1,44,0.6,50 0.6
54,INDORE,36,1.7,205,9.5,3,0.1,37 1.7
55,JABALPUR,11,0.9,81,6.4,0,0.0,13 1.0
56,JAIPUR,271,8.8,2756,89.7,3,0.1,24 0.8
57,JAMSHEDPUR,70,5.2,53,4.0,0,0.0,15 1.1
58,JODHPUR,18,1.6,684,60.1,4,0.4,12 1.1
59,KANNUR,2,0.1,41,2.5,0,0.0,18 1.1
60,KANPUR,208,7.1,510,17.5,35,1.2,3 0.1
61,KOCHI,9,0.4,618,29.2,0,0.0,5 0.2
62,KOLKATA,333,2.4,1625,11.5,63,0.4,0 0.0
63,KOLLAM,14,1.3,83,7.5,0,0.0,17 1.5
64,KOTA,16,1.6,499,49.9,1,0.1,2 0.2
65,KOZHIKODE,30,1.5,188,9.3,1,0.0,10 0.5
66,LUCKNOW,374,12.9,703,24.2,19,0.7,4 0.1
67,LUDHIANA,32,2.0,361,22.4,2,0.1,7 0.4
68,MADURAI,10,0.7,183,12.5,20,1.4,2 0.1
69,MALAPPURAM,1,0.1,76,4.5,0,0.0,1 0.1
70,MEERUT,64,4.5,298,20.9,7,0.5,4 0.3
71,MUMBAI,553,3.0,1946,10.6,81,0.4,46 0.2
72,NAGPUR,68,2.7,294,11.8,22,0.9,22 0.9
73,NASIK,31,2.0,197,12.6,14,0.9,21 1.3
74,PATNA,12,0.6,598,29.2,19,0.9,1 0.0
75,PUNE,93,1.8,769,15.2,34,0.7,27 0.5
76,RAIPUR,41,3.7,204,18.2,3,0.3,33 2.9
77,RAJKOT,67,4.8,42,3.0,7,0.5,12 0.9
78,RANCHI,46,4.1,179,15.9,1,0.1,5 0.4
79,SRINAGAR,17,1.3,126,9.9,4,0.3,23 1.8
80,SURAT,34,0.7,191,4.2,42,0.9,4 0.1
81,THIRUVANANTHAPURAM,30,1.8,397,23.5,0,0.0,14 0.8
82,THRISSUR,7,0.4,636,34.3,0,0.0,10 0.5
83,TIRUCHIRAPALLI,0,0.0,57,4.1,8,0.6,2 0.1
84,VADODARA,31,1.7,170,9.4,10,0.6,5 0.3
85,VARANASI,97,6.8,220,15.3,25,1.7,2 0.1
86,VASAI VIRAR,9,0.7,91,7.5,2,0.2,6 0.5
87,VIJAYAWADA,101,6.8,430,28.8,6,0.4,24 1.6
88,VISHAKHAPATNAM,57,3.3,244,14.1,4,0.2,11 0.6
,TOTAL (CITIES),4307,2.7,26379,16.4,786,0.5,662 0.4
,,,,,,,,
215,,,,,,,,
