TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,Hurt,,Dowry Deaths,Molestation,Sexual Harassment,,,
No.,,"(Sec.323-333,335-338 IPC)",,(Sec.304B IPC),(Sec.354 IPC),(Sec.509 IPC),,,
,,I,R,I R,I R,I R,,,
_Ci)_,_(2)_,_(45)_,(111_,(47)_(48)_,_(42)_(50)_,_(51)_(52)_,,,
,,,,,,,,,
STATES:,,,,,,,,,
,,,,,,,,,
1,ANDHRA PRADESH,54452,64.3,599,0.7,4849,5.7,3658,4.3
2,ARUNACHAL PRADESH,379,27.4,0,0.0,51,3.7,0,0.0
3,ASSAM,6306,20.2,121,0.4,1193,3.8,8,0.0
4,BIHAR,19391,18.7,1413,1.4,790,0.8,11,0.0
5,CHHATTISGARH,11105,43.5,104,0.4,1654,6.5,174,0.7
6,GOA,215,14.7,1,0.1,29,2.0,12,0.8
7,GUJARAT,10159,16.8,30,0.0,685,1.1,93,0.2
8,HARYANA,3423,13.5,255,1.0,474,1.9,490,1.9
9,HIMACHAL PRADESH,1251,18.2,4,0.1,331,4.8,62,0.9
10,JAMMU & KASHMIR,246,2.0,11,0.1,1194,9.5,350,2.8
11,JHARKHAND,4403,13.4,282,0.9,317,1.0,7,0.0
12,KARNATAKA,21295,34.8,267,0.4,2608,4.3,81,0.1
13,KERALA,21747,65.1,15,0.0,3756,11.2,573,1.7
14,MADHYA PRADESH,35711,49.2,811,1.1,6665,9.2,762,1.0
15,MAHARASHTRA,29769,26.5,339,0.3,3794,3.4,1071,1.0
16,MANIPUR,292,10.7,1,0.0,38,1.4,0,0.0
17,MEGHALAYA,197,6.6,1,0.0,74,2.5,1,0.0
18,MIZORAM,97,8.9,0,0.0,72,6.6,1,0.1
19,NAGALAND,55,2.8,0,0.0,9,0.5,0,0.0
20,ODISHA,7894,18.8,465,1.1,3207,7.6,235,0.6
21,PUNJAB,4757,17.2,143,0.5,282,1.0,31,0.1
22,RAJASTHAN,17977,26.2,514,0.7,2447,3.6,9,0.0
23,SIKKIM,75,12.3,0,0.0,24,3.9,0,0.0
24,TAMIL NADU,21167,29.3,152,0.2,1467,2.0,464,0.6
25,TRIPURA,1340,36.5,30,0.8,294,8.0,9,0.2
26,UTTAR PRADESH,12234,6.1,2322,1.2,3455,1.7,3,0.0
27,UTTARAKHAND,852,8.4,83,0.8,116,1.1,72,0.7
28,WEST BENGAL,13094,14.3,510,0.6,2363,2.6,200,0.2
,TOTAL (STATES),299883,25.2,8473,0.7,42238,3.5,8377,0.7
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,81,21.3,0,0.0,15,3.9,3,0.8
30,CHANDIGARH,45,4.3,2,0.2,21,2.0,12,1.1
31,D & N HAVELI,25,7.3,0,0.0,2,0.6,0,0.0
32,DAMAN & DILI,11,4.5,0,0.0,0,0.0,0,0.0
33,DELHI,1946,11.6,142,0.8,657,3.9,162,1.0
34,LAKSHADWEEP,3,4.7,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,853,68.6,1,0.1,35,2.8,16,1.3
,TOTAL (UTs),2964,14.8,145,0.7,730,3.6,193,1.0
,TOTAL (ALL-INDIA),302847,25.0,8618,0.7,42968,3.6,8570,0.7
,,,,,,,,,
"* As clarified by Uttar Pradesh, specifically the figures of Sexual Harassment (u/s 509 IPC) have been given from 2010 excluding figures u/s",,,,,,,,,
"294 IPC which w ere until 2009 being added up w ith section 509 IPC and furnished to NCRB, therefore variation is there in Uttar Pradesh and",,,,,,,,,
its Cities (Except Agra City) in the data of Sexual Harassment (u/s 509 IPC).,,,,,,,,,
,,,,,,,,,
216,,,,,,,,,
