TABLE-1.8 (Concluded),,,,,,,,,,,
,,,,,,,,,,,
SI. No.,State/UT,Cruelty by Husband and Relatives (Sec. 498A IPC),,Importation of Girls (Sec. 366B IPC),,Causing Death by Negligence (Sec. 304A IPC),,Other IPC Crimes,,Total Cognizable Climes Under IPC,
,,i,R,I,R,I,R,i,R,i,R
,_O)_,(53),(54),(55),(56),(57),(58),(59),(60),(61),(62)
STATES:,,,,,,,,,,,
1,ANDHRA PRADESH,13376,15.8,0,0.0,13973,16.5,38392,45.3,189780,224.2
2,ARUNACHAL PRADESH,18,1.3,0,0.0,98,7.1,622,45.0,2286,165.3
3,ASSAM,5246,16.8,2,0.0,2915,9.4,25513,81.9,66714,214.0
4,BIHAR,2607,2.5,10,0.0,5877,5.7,55705,53.7,135896,130.9
5,CHHATTISGARH,834,3.3,2,0.0,2856,11.2,25223,98.8,57218,224.0
6,GOA,18,1.2,0,0.0,263,18.0,1001,68.7,3449,236.6
7,GUJARAT,6052,10.0,0,0.0,5827,9.7,69788,115.6,123371,204.3
8,HARYANA,2740,10.8,0,0.0,1505,5.9,20549,81.1,60741,239.6
9,HIMACHAL PRADESH,239,3.5,0,0.0,563,8.2,8102,118.2,14312,208.7
10,JAMMU & KASHMIR,286,2.3,0,0.0,385,3.1,13257,105.6,24504,195.3
11,JHARKHAND,659,2.0,6,0.0,1728,5.2,11940,36.2,35838,108.7
12,KARNATAKA,3712,6.1,12,0.0,750,1.2,60505,99.0,137600,225.1
13,KERALA,5377,16.1,0,0.0,65,0.2,112665,337.4,172137,515.6
14,MADHYA PRADESH,3732,5.1,45,0.1,7478,10.3,112082,154.4,217094,299.0
15,MAHARASHTRA,7136,6.4,0,0.0,13024,11.6,45114,40.1,204902,182.3
16,MANIPUR,39,1.4,0,0.0,2,0.1,1015,37.3,3218,118.2
17,MEGHALAYA,21,0.7,3,0.1,90,3.0,701,23.7,2755,92.9
18,MIZORAM,9,0.8,0,0.0,37,3.4,279,25.6,1821,166.9
19,NAGALAND,1,0.1,0,0.0,15,0.8,292,14.7,1083,54.7
20,ODISHA,2320,5.5,0,0.0,3778,9.0,20509,48.9,61277,146.1
21,PUNJAB,1136,4.1,0,0.0,3576,12.9,10175,36.7,34883,125.9
22,RAJASTHAN,12218,17.8,0,0.0,8122,11.8,70250,102.4,165622,241.4
23,SIKKIM,4,0.7,0,0.0,57,9.4,177,29.1,596,98.0
24,TAMIL NADU,1812,2.5,0,0.0,16076,22.3,115163,159.6,192879,267.4
25,TRIPURA,702,19.1,0,0.0,14,0.4,1640,44.7,5803,158.1
26,UTTAR PRADESH,7121,3.6,0,0.0,14380,7.2,68575,34.4,195135,97.8
27,UTTARAKHAND,307,3.0,0,0.0,696,6.9,2078,20.5,8774,86.7
28,WEST BENGAL,19772,21.6,0,0.0,3249,3.6,56614,62.0,143197,156.8
,TOTAL (STATES),97494,8.2,80,0.0,107399,9.0,947926,79.7,2262885,190.1
UNION TERRITORIES,,,,,,,,,,,
29,A & N ISLANDS,5,1.3,0,0.0,6,1.6,392,103.2,793,208.7
30,CHANDIGARH,46,4.4,0,0.0,7,0.7,1036,98.2,3542,335.7
31,D & N HAVELI,3,0.9,0,0.0,24,7.0,134,39.1,372,108.5
32,DAMAN & DILI,2,0.8,0,0.0,43,17.7,35,14.4,224,92.2
33,DELHI,1575,9.4,0,0.0,1168,7.0,14363,85.7,53353,318.5
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0,27,42.2,44,68.8
35,PUDUCHERRY,10,0.8,0,0.0,243,19.5,2119,170.3,4362,350.6
,TOTAL (UTs),1641,8.2,0,0.0,1491,7.4,18106,90.2,62690,312.2
,TOTAL (ALL-INDIA),99135,8.2,80,0.0,108890,9.0,966032,79.8,2325575,192.2
,,,,,,,,,,,
218,,,,,,,,,,,
