TABLE-1.8 (Concluded),,,,,,,,,,,
,,,,,,,,,,,
SI.,City,Cruelty by,,Importation,,Causing Death,,Other IPC,,Total Cognizable,
No.,,Husband and,,of Girls,,by Negligence,,Crimes,,Crimes Under IPC,
,,Relatives,,(Sec. 366B IPC),,(Sec. 304A IPC),,,,,
,,(Sec. 498A IPC),,,,,,,,,
,,I,R,I,R,I,R,i,R,i,R
,_O)_,(53),(54),(55),(56),(57),(58),(59),(60),(61),(62)
CITIES:,,,,,,,,,,,
36,AGRA,282,16.2,0,0.0,468,26.8,1942,111.2,8380,480.0
37,AHMEDABAD,1390,21.9,0,0.0,187,2.9,10397,163.7,20203,318.1
38,ALLAHABAD,92,7.6,0,0.0,178,14.6,487,40.0,2702,222.0
39,AMRITSAR,101,8.5,0,0.0,66,5.6,485,41.0,1807,152.6
40,ASANSOL,461,37.1,0,0.0,169,13.6,1427,114.8,3381,272.0
41,AURANGABAD,122,10.3,0,0.0,168,14.1,897,75.4,3781,318.0
42,BENGALURU,458,5.4,0,0.0,108,1.3,8297,97.6,30283,356.3
43,BHOPAL,272,14.4,1,0.1,164,8.7,7421,394.1,12570,667.6
44,CHANDIGARH(C),42,12.1,0,0.0,7,0.7,976,95.1,3299,321.1
45,CHENNAI,229,2.6,0,0.0,1431,16.5,12464,143.3,21346,245.5
46,COIMBATORE,83,3.9,0,0.0,283,13.2,1898,88.2,4030,187.4
47,DELHI (CITY),1498,9.2,0,0.0,1098,6.7,12182,74.7,47212,289.4
48,DHANBAD,8,0.7,0,0.0,2,0.2,662,55.4,1482,124.0
49,DURG-BHILAIN AGAR,96,9.0,0,0.0,225,21.1,4899,460.4,7267,683.0
50,FARID AB AD,218,15.5,0,0.0,229,16.3,1569,111.7,5357,381.3
51,GHAZIABAD,135,5.7,0,0.0,241,10.2,1359,57.6,5488,232.6
52,GWALIOR,133,12.1,0,0.0,135,12.3,3390,307.6,7816,709.3
53,HYDERABAD,1355,17.5,0,0.0,505,6.5,2353,30.4,15657,202.1
54,INDORE,306,14.1,3,0.1,244,11.3,6348,292.9,14504,669.3
55,JABALPUR,129,10.2,2,0.2,111,00 00,2294,180.9,6560,517.4
56,JAIPUR,936,30.5,0,0.0,755,24.6,6594,214.6,18897,614.9
57,JAMSHEDPUR,61,4.6,0,0.0,120,9.0,458,34.3,2362,176.7
58,JODHPUR,338,29.7,0,0.0,241,21.2,941,82.7,4270,375.2
59,KANNUR,107,6.5,0,0.0,2,0.1,1236,75.2,2389,145.4
60,KANPUR,284,9.7,0,0.0,453,15.5,2516,86.2,7661,262.4
61,KOCHI,136,6.4,0,0.0,2,0.1,32501,1534.5,34658,1636.4
62,KOLKATA,557,3.9,0,0.0,414,2.9,7109,50.4,17152,121.5
63,KOLLAM,319,28.7,0,0.0,1,0.1,3547,319.5,6440,580.2
64,KOTA,413,41.3,0,0.0,108,10.8,1665,166.3,4176,417.2
65,KOZHIKODE,171,8.4,0,0.0,0,0.0,1771,87.2,4026,198.2
66,LUCKNOW,454,15.6,0,0.0,408,14.1,3746,129.1,8891,306.5
67,LUDHIANA,102,6.3,0,0.0,200,12.4,917,56.8,2792,173.0
68,MADURAI,71,4.9,0,0.0,123,8.4,1467,100.3,2873,196.5
69,MALAPPURAM,126,7.4,0,0.0,2,0.1,1658,97.6,2429,143.0
70,MEERUT,99,6.9,0,0.0,146,10.2,1123,78.8,4353,305.5
71,MUMBAI,393,2.1,0,0.0,656,3.6,6464,35.1,32647,177.3
72,NAGPUR,174,7.0,0,0.0,243,9.7,2563,102.6,8063,322.8
73,NASIK,115,7.4,0,0.0,177,11.3,623,39.9,4512,288.7
74,PATNA,199,9.7,0,0.0,282,13.8,4047,197.7,9292,453.9
75,PUNE,251,5.0,0,0.0,538,10.7,2318,45.9,12622,249.9
76,RAIPUR,59,5.3,0,0.0,212,18.9,1941,172.8,6222,554.1
77,RAJKOT,246,17.7,0,0.0,161,11.6,1692,121.6,3939,283.2
78,RANCHI,43,3.8,0,0.0,170,15.1,911,80.8,3761,333.7
79,SRINAGAR,54,4.2,0,0.0,71,5.6,1051,82.6,2756,216.5
80,SURAT,276,6.0,0,0.0,241,5.3,4534,98.9,8446,184.2
81,THIRUVANANTHAPURAM,156,9.2,0,0.0,4,0.2,3452,204.6,6670,395.4
82,THRISSUR,131,7.1,0,0.0,3,0.2,2913,157.0,4864,262.2
83,TIRUCHIRAPALLI,28,2.0,0,0.0,174,12.4,2425,172.6,3496,248.8
84,VADODARA,240,13.2,0,0.0,156,8.6,2697,148.4,5727,315.2
85,VARANASI,53,3.7,0,0.0,73,5.1,719,50.1,2020,140.8
86,VASAI VIRAR,12,1.0,0,0.0,163,13.3,190,15.6,1727,141.4
87,VIJAYAWADA,1066,71.5,0,0.0,313,21.0,808,54.2,7225,484.6
88,VISHAKHAPATNAM,386,22.3,0,0.0,410,23.7,577,33.4,4886,282.4
,TOTAL (CITIES),15466,9.6,6,0.0,13041,8.1,188921,117.3,475369,295.1
,,,,,,,,,,,
219,,,,,,,,,,,
