TABLE-1.8,,,,,,,,,
,,,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,,,
Different Crime Heads In States & UTs During 2012,,,,,,,,,
,,,,,,,,,
SI. No.,State/UT,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",,
,,I R,,I,R,,I,R,
(1),_(?)_,_0)_(4),,_(§_,(6),,_m_,,
STATES:,,,,,,,,,
1,ANDHRA PRADESH,2717,3.2,2183,,2.5,158,,0.2
2,ARUNACHALPRADESH,73,5.8,29,,2.3,1,,0.1
3,ASSAM,1368,4.4,670,,2.2,54,,0.2
4,BIHAR,3566,3.6,5452,,5.5,285,,0.3
5,CHHATTISGARH,998,4.0,593,,2.4,26,,0.1
6,GOA,45,2.5,35,,1.9,3,,0.2
7,GUJARAT,1126,1.9,557,,0.9,43,,0.1
8,HARYANA,991,3.8,910,,3.5,68,,0.3
9,HIMACHAL PRADESH,113,1.6,53,,0.8,9,,0.1
10,JAMMU & KASHMIR,124,1.0,511,,4.3,16,,0.1
11,JHARKHAND,1694,5.3,842,,2.6,92,,0.3
12,KARNATAKA,1860,3.1,1923,,3.2,71,,0.1
13,KERALA,374,1.1,497,,1.4,107,,0.3
14,MADHYA PRADESH,2373,3.2,2332,,3.2,114,,0.2
15,MAHARASHTRA,2712,2.4,2168,,1.9,171,,0.1
16,MANIPUR,83,3.3,409,,16.4,4,,0.2
17,MEGHALAYA,137,5.1,63,,2.4,8,,0.3
18,MIZORAM,30,2.9,21,,2.1,7,,0.7
19,NAGALAND,75,3.3,42,,1.8,6,,0.3
20,ODISHA,1548,3.8,1879,,4.6,54,,0.1
21,PUNJAB,855,3.0,1045,,3.7,104,,0.4
22,RAJASTHAN,1461,2.1,1538,,2.2,98,,0.1
23,SIKKIM,7,1.1,7,,1.1,0,,0.0
24,TAMIL NADU,1949,2.9,2954,,4.3,44,,0.1
25,TRIPURA,124,3.4,79,,2.2,2,,0.1
26,UTTAR PRADESH,4966,2.4,4811,,2.3,1410,,0.7
27,UTTARAKHAND,217,2.1,161,,1.6,44,,0.4
28,WEST BENGAL,2252,2.5,2854,,3.2,522,,0.6
,TOTAL (STATES),33838,2.8,34618,,2.9,3521,,0.3
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,15,2.9,3,,0.6,0,,0.0
30,CHANDIGARH,21,1.4,44,,2.9,5,,0.3
31,D & N HAVELI,7,1.9,2,,0.5,0,,0.0
32,DAMAN & DILI,3,1.1,5,,1.8,0,,0.0
33,DELHI,521,2.7,439,,2.3,82,,0.4
34,LAKSHADWEEP,0,0.0,0,,0.0,0,,0.0
35,PUDUCHERRY,29,2.0,27,,1.8,12,,0.8
,TOTAL (UTs),596,2.5,520,,2.2,99,,0.4
,TOTAL (ALL-INDIA),34434,2.8,35138,,2.9,3620,,0.3
,,,,,,,,,
"Due to technical limitations, crime rate of crimes committed against women and children has been calculated on the basis of total population",,,,,,,,,
instead of women population and children population respectively._,,,,,,,,,
,,,,,,,,,
204,,,,,,,,,
