TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under Different Crime Heads In Cities During 2012,,,,,,,,
si. No.,City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",,
,,I R,,I R,,I,R,
(1),_(?)_,_0)_,,(5)_(6),,(2)_,(8),
CITIES:,,,,,,,,
36,AGRA,77,4.4,81,4.6,23,,1.3
37,AHMEDABAD,90,1.4,49,0.8,7,,0.1
38,ALLAHABAD,32,2.6,60,4.9,7,,0.6
39,AMRITSAR,42,3.5,80,6.8,2,,0.2
40,ASANSOL,60,4.8,25,2.0,9,,0.7
41,AURANGABAD,46,3.9,55,4.6,5,,0.4
42,BENGALURU,266,3.1,454,5.3,6,,0.1
43,BHOPAL,52,2.8,72,3.8,0,,0.0
44,CHANDIGARH (CITY),18,1.8,42,4.1,3,,0.3
45,CHENNAI,180,2.1,219,2.5,4,,0.0
46,COIMBATORE,29,1.3,37,1.7,0,,0.0
47,DELHI (CITY),408,2.5,369,2.3,69,,0.4
48,DHANBAD,17,1.4,10,0.8,4,,0.3
49,DURG-BHILAINAGAR,40,3.8,39,3.7,1,,0.1
50,FARIDABAD,72,5.1,50,3.6,6,,0.4
51,GHAZIABAD,63,2.7,61,2.6,19,,0.8
52,GWALIOR,51,4.6,116,10.5,17,,1.5
53,HYDERABAD,102,1.3,166,2.1,6,,0.1
54,INDORE,83,3.8,133,6.1,2,,0.1
55,JABALPUR,48,3.8,101,8.0,1,,0.1
56,JAIPUR,81,2.6,84,2.7,6,,0.2
57,JAMSHEDPUR,27,2.0,16,1.2,3,,0.2
58,JODHPUR,27,2.4,69,6.1,6,,0.5
59,KANNUR,14,0.9,4,0.2,3,,0.2
60,KANPUR,69,2.4,66,2.3,17,,0.6
61,KOCHI,9,0.4,10,0.5,0,,0.0
62,KOLKATA,85,0.6,154,1.1,29,,0.2
63,KOLLAM,21,1.9,41,3.7,6,,0.5
64,KOTA,28,2.8,68,6.8,1,,0.1
65,KOZHIKODE,7,0.3,7,0.3,0,,0.0
66,LUCKNOW,98,3.4,69,2.4,14,,0.5
67,LUDHIANA,79,4.9,78,4.8,11,,0.7
68,MADURAI,31,2.1,74,5.1,0,,0.0
69,MALAPPURAM,0,0.0,5,0.3,1,,0.1
70,MEERUT,61,4.3,97,6.8,12,,0.8
71,MUMBAI,215,1.2,170,0.9,9,,0.0
72,NAGPUR,88,3.5,85,3.4,15,,0.6
73,NASIK,32,2.0,26,1.7,0,,0.0
74,PATNA,224,10.9,45,2.2,5,,0.2
75,PUNE,110,2.2,124,2.5,3,,0.1
76,RAIPUR,37,3.3,37,3.3,1,,0.1
77,RAJKOT,41,2.9,28,2.0,3,,0.2
78,RANCHI,58,5.1,13,1.2,0,,0.0
79,SRINAGAR,13,1.0,45,3.5,2,,0.2
80,SURAT,98,2.1,26,0.6,1,,0.0
81,THIRUVANANTHAPURAM,14,0.8,12,0.7,1,,0.1
82,THRISSUR,9,0.5,14,0.8,11,,0.6
83,TIRUCHIRAPALLI,26,2.5,22,2.2,0,,0.0
84,VADODARA,29,1.6,34,1.9,0,,0.0
85,VARANASI,31,2.2,33,2.3,6,,0.4
86,VASAI VIRAR,31,2.5,17,1.4,2,,0.2
87,VIJAYAWADA,42,2.8,56,3.8,6,,0.4
88,VISHAKHAPATNAM,44,2.5,27,1.6,1,,0.1
,TOTAL (CITIES),3555,2.2,3875,2.4,366,,0.2
,,,,,,,,
205,,,,,,,,
