TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,,,,Rape (Sec. 376 IPQ,,,,
No.,,Total,,,Custodial,,Others,,
,,I,R,,I R,,I,R,
(1),_(?)_,_(?)_,(10),,(ID_(12),,(13)_,(14),
STATES:,,,,,,,,,
1,ANDHRA PRADESH,1341,,1.6,0,0.0,1341,,1.6
2,ARUNACHALPRADESH,46,,3.7,0,0.0,46,,3.7
3,ASSAM,1716,,5.5,0,0.0,1716,,5.5
4,BIHAR,927,,0.9,0,0.0,927,,0.9
5,CHHATTISGARH,1034,,4.2,0,0.0,1034,,4.2
6,GOA,55,,3.0,0,0.0,55,,3.0
7,GUJARAT,473,,0.8,0,0.0,473,,0.8
8,HARYANA,668,,2.6,0,0.0,668,,2.6
9,HIMACHAL PRADESH,183,,2.7,0,0.0,183,,2.7
10,JAMMU & KASHMIR,303,,2.5,0,0.0,303,,2.5
11,JHARKHAND,812,,2.5,0,0.0,812,,2.5
12,KARNATAKA,621,,1.0,0,0.0,621,,1.0
13,KERALA,1019,,2.9,0,0.0,1019,,2.9
14,MADHYA PRADESH,3425,,4.6,0,0.0,3425,,4.6
15,MAHARASHTRA,1839,,1.6,0,0.0,1839,,1.6
16,MANIPUR,63,,2.5,0,0.0,63,,2.5
17,MEGHALAYA,164,,6.2,0,0.0,164,,6.2
18,MIZORAM,103,,10.1,0,0.0,103,,10.1
19,NAGALAND,21,,0.9,0,0.0,21,,0.9
20,ODISHA,1458,,3.5,0,0.0,1458,,3.5
21,PUNJAB,680,,2.4,1,0.0,679,,2.4
22,RAJASTHAN,2049,,3.0,0,0.0,2049,,3.0
23,SIKKIM,34,,5.5,0,0.0,34,,5.5
24,TAMIL NADU,737,,1.1,0,0.0,737,,1.1
25,TRIPURA,229,,6.2,0,0.0,229,,6.2
26,UTTAR PRADESH,1963,,1.0,0,0.0,1963,,1.0
27,UTTARAKHAND,148,,1.5,0,0.0,148,,1.5
28,WEST BENGAL,2046,,2.3,0,0.0,2046,,2.3
,TOTAL (STATES),24157,,2.0,1,0.0,24156,,2.0
UNION TERRITORIES:,,,,,,,,,
29,A & N ISLANDS,12,,2.3,0,0.0,12,,2.3
30,CHANDIGARH,27,,1.8,0,0.0,27,,1.8
31,D & N HAVELI,3,,0.8,0,0.0,3,,0.8
32,DAMAN & DILI,5,,1.8,0,0.0,5,,1.8
33,DELHI,706,,3.7,0,0.0,706,,3.7
34,LAKSHADWEEP,0,,0.0,0,0.0,0,,0.0
35,PUDUCHERRY,13,,0.9,0,0.0,13,,0.9
,TOTAL (UTs),766,,3.3,0,0.0,766,,3.3
,TOTAL (ALL-INDIA),24923,,2.1,1,0.0,24922,,2.1
,,,,,,,,,
206,,,,,,,,,
