TABLE-1.8 (Continued),,,,,,,,,,,
,,,,,,,,,,,
SI.    City    Rape,,,,,,,,,,,
,,,,,,,,,,,
No.     (Sec.    376    IPC),,,,,,,,,,,
,,,,,,,,,,,
,,Total I,R,,I,Custodial,R,,Others I,R,
(1),_(?)_,_(?)_,(10),,(ID,,(12),,(13)_,(14),
CITIES:,,,,,,,,,,,
36,AGRA,33,,1.9,,0,,0.0,33,,1.9
37,AHMEDABAD,63,,1.0,,0,,0.0,63,,1.0
38,ALLAHABAD,11,,0.9,,0,,0.0,11,,0.9
39,AMRITSAR,27,,2.3,,0,,0.0,27,,2.3
40,ASANSOL,36,,2.9,,0,,0.0,36,,2.9
41,AURANGABAD,23,,1.9,,0,,0.0,23,,1.9
42,BENGALURU,90,,1.1,,0,,0.0,90,,1.1
43,BHOPAL,114,,6.1,,0,,0.0,114,,6.1
44,CHANDIGARH (CITY),24,,2.3,,0,,0.0,24,,2.3
45,CHENNAI,94,,1.1,,0,,0.0,94,,1.1
46,COIMBATORE,20,,0.9,,0,,0.0,20,,0.9
47,DELHI (CITY),585,,3.6,,0,,0.0,585,,3.6
48,DHANBAD,13,,1.1,,0,,0.0,13,,1.1
49,DURG-BHILAINAGAR,70,,6.6,,0,,0.0,70,,6.6
50,FARIDABAD,47,,3.3,,0,,0.0,47,,3.3
51,GHAZIABAD,15,,0.6,,0,,0.0,15,,0.6
52,GWALIOR,60,,5.4,,0,,0.0,60,,5.4
53,HYDERABAD,74,,1.0,,0,,0.0,74,,1.0
54,INDORE,125,,5.8,,0,,0.0,125,,5.8
55,JABALPUR,87,,6.9,,0,,0.0,87,,6.9
56,JAIPUR,134,,4.4,,0,,0.0,134,,4.4
57,JAMSHEDPUR,26,,1.9,,0,,0.0,26,,1.9
58,JODHPUR,40,,3.5,,0,,0.0,40,,3.5
59,KANNUR,14,,0.9,,0,,0.0,14,,0.9
60,KANPUR,21,,0.7,,0,,0.0,21,,0.7
61,KOCHI,28,,1.3,,0,,0.0,28,,1.3
62,KOLKATA,68,,0.5,,0,,0.0,68,,0.5
63,KOLLAM,46,,4.1,,0,,0.0,46,,4.1
64,KOTA,45,,4.5,,0,,0.0,45,,4.5
65,KOZHIKODE,36,,1.8,,0,,0.0,36,,1.8
66,LUCKNOW,24,,0.8,,0,,0.0,24,,0.8
67,LUDHIANA,69,,4.3,,0,,0.0,69,,4.3
68,MADURAI,11,,0.8,,0,,0.0,11,,0.8
69,MALAPPURAM,11,,0.6,,0,,0.0,11,,0.6
70,MEERUT,22,,1.5,,0,,0.0,22,,1.5
71,MUMBAI,232,,1.3,,0,,0.0,232,,1.3
72,NAGPUR,57,,2.3,,0,,0.0,57,,2.3
73,NASIK,20,,1.3,,0,,0.0,20,,1.3
74,PATNA,35,,1.7,,0,,0.0,35,,1.7
75,PUNE,85,,1.7,,0,,0.0,85,,1.7
76,RAIPUR,64,,5.7,,0,,0.0,64,,5.7
77,RAJKOT,11,,0.8,,0,,0.0,11,,0.8
78,RANCHI,34,,3.0,,0,,0.0,34,,3.0
79,SRINAGAR,19,,1.5,,0,,0.0,19,,1.5
80,SURAT,40,,0.9,,0,,0.0,40,,0.9
81,THIRUVANANTHAPURAM,41,,2.4,,0,,0.0,41,,2.4
82,THRISSUR,35,,1.9,,0,,0.0,35,,1.9
83,TIRUCHIRAPALLI,7,,0.7,,0,,0.0,7,,0.7
84,VADODARA,11,,0.6,,0,,0.0,11,,0.6
85,VARANASI,11,,0.8,,0,,0.0,11,,0.8
86,VASAI VIRAR,20,,1.6,,0,,0.0,20,,1.6
87,VIJAYAWADA,47,,3.2,,0,,0.0,47,,3.2
88,VISHAKHAPATNAM,50,,2.9,,0,,0.0,50,,2.9
,TOTAL (CITIES),3025,,1.9,,0,,0.0,3025,,1.9
,,,,,,,,,,,
207,,,,,,,,,,,
