TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. No.,State/UT,,"Kidnapping & Abduction (Sec. 363-369,371-373 IPQ",,,,,Dacoity (Sec. 395-398 IPC),
,,Total,,of Women & Girls,,of Others,,,
,,I,R,I,R,I R,,I,R
(1),_(?)_,_05)_,(16)_,(12)_,(18)_,(19)_(20),,(2D_(22),
STATES:,,,,,,,,,
1,ANDHRA PRADESH,1870,2.2,1403,1.6,467,0.5,131,0.2
2,ARUNACHALPRADESH,82,6.5,58,4.6,24,1.9,20,1.6
3,ASSAM,3812,12.3,3360,10.8,452,1.5,266,0.9
4,BIHAR,4807,4.8,3789,3.8,1018,1.0,540,0.5
5,CHHATTISGARH,450,1.8,350,1.4,100,0.4,64,0.3
6,GOA,24,1.3,16,0.9,8,0.4,6,0.3
7,GUJARAT,1720,2.9,1527,2.5,193,0.3,287,0.5
8,HARYANA,1349,5.2,900,3.5,449,1.7,204,0.8
9,HIMACHAL PRADESH,172,2.5,152,2.2,20,0.3,1,0.0
10,JAMMU & KASHMIR,1093,9.2,1041,8.7,52,0.4,6,0.1
11,JHARKHAND,1056,3.3,786,2.5,270,0.8,284,0.9
12,KARNATAKA,1451,2.4,1070,1.8,381,0.6,211,0.4
13,KERALA,281,0.8,214,0.6,67,0.2,72,0.2
14,MADHYA PRADESH,1302,1.8,1127,1.5,175,0.2,107,0.1
15,MAHARASHTRA,1583,1.4,1140,1.0,443,0.4,793,0.7
16,MANIPUR,223,9.0,133,5.3,90,3.6,8,0.3
17,MEGHALAYA,92,3.5,24,0.9,68,2.6,52,2.0
18,MIZORAM,8,0.8,3,0.3,5,0.5,2,0.2
19,NAGALAND,27,1.2,10,0.4,17,0.7,1,0.0
20,ODISHA,1542,3.7,1364,3.3,178,0.4,402,1.0
21,PUNJAB,919,3.3,689,2.5,230,0.8,48,0.2
22,RAJASTHAN,3243,4.7,2697,3.9,546,0.8,31,0.0
23,SIKKIM,10,1.6,10,1.6,0,0.0,0,0.0
24,TAMIL NADU,1945,2.9,1693,2.5,252,0.4,97,0.1
25,TRIPURA,139,3.8,114,3.1,25,0.7,7,0.2
26,UTTAR PRADESH,8878,4.3,7910,3.9,968,0.5,322,0.2
27,UTTARAKHAND,297,2.9,256,2.5,41,0.4,29,0.3
28,WEST BENGAL,5117,5.6,4168,4.6,949,1.0,279,0.3
,TOTAL (STATES),43492,3.7,36004,3.0,7488,0.6,4270,0.4
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,8,1.6,7,1.4,1,0.2,5,1.0
30,CHANDIGARH,87,5.7,66,4.3,21,1.4,3,0.2
31,D & N HAVELI,13,3.5,9,2.4,4,1.1,2,0.5
32,DAMAN & DILI,3,1.1,0,0.0,3,1.1,1,0.4
33,DELHI,3970,20.7,2160,11.3,1810,9.4,28,0.1
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,19,1.3,16,1.1,3,0.2,5,0.3
,TOTAL (UTs),4100,17.5,2258,9.6,1842,7.9,44,0.2
,TOTAL (ALL-INDIA),47592,3.9,38262,3.2,9330,0.8,4314,0.4
,,,,,,,,,
208,,,,,,,,,
