TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. City    Kidnapping & Abduction    Dacoity,,,,,,,,,
,,,,,,,,,
"No.    _(Sec. 363-369,371-373 IPC)_ (Sec.    395-398    IPC)",,,,,,,,,
,,,,,,,,,
,,I,Total R,of Women & Girls I R,,of Others I R,,I,R
(1),_(?)_,_(15),_(16)_,(12)_,(18)_,(19)_(20),,(21)_,(22)
CITIES:,,,,,,,,,
36,AGRA,208,11.9,166,9.5,42,2.4,8,0.5
37,AHMEDABAD,229,3.6,183,2.9,46,0.7,24,0.4
38,ALLAHABAD,60,4.9,52,4.3,8,0.7,2,0.2
39,AMRITSAR,52,4.4,45,3.8,7,0.6,2,0.2
40,ASANSOL,77,6.2,49,3.9,28,2.3,15,1.2
41,AURANGABAD,25,2.1,18,1.5,7,0.6,25,2.1
42,BENGALURU,532,6.3,433,5.1,99,1.2,37,0.4
43,BHOPAL,47,2.5,33,1.8,14,0.7,1,0.1
44,CHANDIGARH (CITY),76,7.4,57,5.6,19,1.9,3,0.3
45,CHENNAI,87,1.0,65,0.7,22,0.3,2,0.0
46,COIMBATORE,20,0.9,12,0.6,8,0.4,2,0.1
47,DELHI (CITY),3274,20.1,1787,11.0,1487,9.1,23,0.1
48,DHANBAD,49,4.1,40,3.3,9,0.8,7,0.6
49,DURG-BHILAINAGAR,43,4.0,35,3.3,8,0.8,1,0.1
50,FARIDABAD,103,7.3,87,6.2,16,1.1,10,0.7
51,GHAZIABAD,151,6.4,130,5.5,21,0.9,2,0.1
52,GWALIOR,63,5.7,56,5.1,7,0.6,3,0.3
53,HYDERABAD,88,1.1,31,0.4,57,0.7,12,0.2
54,INDORE,48,2.2,38,1.8,10,0.5,4,0.2
55,JABALPUR,27,2.1,25,2.0,2,0.2,0,0.0
56,JAIPUR,225,7.3,191,6.2,34,1.1,5,0.2
57,JAMSHEDPUR,74,5.5,69,5.2,5,0.4,4,0.3
58,JODHPUR,44,3.9,36,3.2,8,0.7,0,0.0
59,KANNUR,6,0.4,5,0.3,1,0.1,4,0.2
60,KANPUR,182,6.2,159,5.4,23,0.8,2,0.1
61,KOCHI,6,0.3,5,0.2,1,0.0,5,0.2
62,KOLKATA,271,1.9,210,1.5,61,0.4,8,0.1
63,KOLLAM,21,1.9,18,1.6,3,0.3,3,0.3
64,KOTA,82,8.2,62,6.2,20,2.0,0,0.0
65,KOZHIKODE,5,0.2,3,0.1,2,0.1,2,0.1
66,LUCKNOW,214,7.4,203,7.0,11,0.4,6,0.2
67,LUDHIANA,123,7.6,99,6.1,24,1.5,2,0.1
68,MADURAI,65,4.4,51,3.5,14,1.0,2,0.1
69,MALAPPURAM,3,0.2,0,0.0,3,0.2,0,0.0
70,MEERUT,113,7.9,85,6.0,28,2.0,8,0.6
71,MUMBAI,212,1.2,141,0.8,71,0.4,29,0.2
72,NAGPUR,53,2.1,39,1.6,14,0.6,13,0.5
73,NASIK,18,1.2,13,0.8,5,0.3,14,0.9
74,PATNA,290,14.2,244,11.9,46,2.2,29,1.4
75,PUNE,109,2.2,77,1.5,32,0.6,35,0.7
76,RAIPUR,17,1.5,11,1.0,6,0.5,1,0.1
77,RAJKOT,66,4.7,50,3.6,16,1.2,14,1.0
78,RANCHI,86,7.6,80,7.1,6,0.5,16,1.4
79,SRINAGAR,100,7.9,89,7.0,11,0.9,0,0.0
80,SURAT,91,2.0,66,1.4,25,0.5,6,0.1
81,THIRUVANANTHAPURAM,23,1.4,16,0.9,7,0.4,4,0.2
82,THRISSUR,13,0.7,9,0.5,4,0.2,1,0.1
83,TIRUCHIRAPALLI,22,2.2,13,1.3,9,0.9,0,0.0
84,VADODARA,67,3.7,57,3.1,10,0.6,9,0.5
85,VARANASI,54,3.8,45,3.1,9,0.6,0,0.0
86,VASAI VIRAR,26,2.1,17,1.4,9,0.7,11,0.9
87,VIJAYAWADA,66,4.4,39,2.6,27,1.8,1,0.1
88,VISHAKHAPATNAM,27,1.6,20,1.2,7,0.4,14,0.8
,TOTAL (CITIES),8033,5.0,5564,3.5,2469,1.5,431,0.3
,,,,,,,,,
209,,,,,,,,,
