TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI.,State/UT,Preparation & Assembly for,,,Robbeiy,,Burglary,
No.,,Dacoity,,,"(Sec. 392-394,397,398 IPC)",,"(Sec. 449-452,454,455,",
,,(Sec. 399-402 IPC),,,,,457-460 IPC),
,,I,R,,I,R,I R,
(1),_(2)_,_(23)_,(24),,_(25)_,(26)_,(27)_(281,
STATES:,,,,,,,,
1,ANDHRA PRADESH,1,,0.0,668,0.8,8442,9.8
2,ARUNACHALPRADESH,0,,0.0,65,5.2,215,17.1
3,ASSAM,7,,0.0,907,2.9,3825,12.3
4,BIHAR,54,,0.1,1266,1.3,3758,3.8
5,CHHATTISGARH,4,,0.0,412,1.7,3334,13.5
6,GOA,0,,0.0,25,1.4,356,19.4
7,GUJARAT,19,,0.0,1366,2.3,4695,7.8
8,HARYANA,176,,0.7,711,2.7,5129,19.7
9,HIMACHAL PRADESH,0,,0.0,10,0.1,928,13.5
10,JAMMU & KASHMIR,0,,0.0,81,0.7,1395,11.7
11,JHARKHAND,33,,0.1,494,1.5,1216,3.8
12,KARNATAKA,536,,0.9,2207,3.7,5792,9.6
13,KERALA,289,,0.8,725,2.1,2710,7.8
14,MADHYA PRADESH,127,,0.2,1940,2.6,10019,13.6
15,MAHARASHTRA,322,,0.3,6949,6.1,15648,13.6
16,MANIPUR,171,,6.9,3,0.1,53,2.1
17,MEGHALAYA,1,,0.0,46,1.7,145,5.4
18,MIZORAM,0,,0.0,4,0.4,347,34.0
19,NAGALAND,0,,0.0,54,2.4,65,2.8
20,ODISHA,99,,0.2,1613,3.9,3430,8.3
21,PUNJAB,184,,0.7,213,0.8,2828,10.1
22,RAJASTHAN,74,,0.1,807,1.2,4610,6.7
23,SIKKIM,0,,0.0,6,1.0,65,10.5
24,TAMIL NADU,19,,0.0,1898,2.8,4457,6.6
25,TRIPURA,0,,0.0,60,1.6,239,6.5
26,UTTAR PRADESH,68,,0.0,3159,1.5,6187,3.0
27,UTTARAKHAND,3,,0.0,144,1.4,391,3.9
28,WEST BENGAL,875,,1.0,816,0.9,464,0.5
,"TOTAL (STATES) """,3062,,0.3,26649,2.2,90743,7.6
UNION TERRITORIES,,,,,,,,
29,A & N ISLANDS,0,,0.0,2,0.4,71,13.9
30,CHANDIGARH,9,,0.6,63,4.1,235,15.3
31,D & N HAVELI,0,,0.0,2,0.5,22,5.9
32,DAMAN & DILI,0,,0.0,3,1.1,26,9.1
33,DELHI,13,,0.1,608,3.2,1715,8.9
34,LAKSHADWEEP,0,,0.0,0,0.0,3,3.9
35,PUDUCHERRY,15,,1.0,16,1.1,77,5.2
,TOTAL (UTs),37,,0.2,694,3.0,2149,9.2
,TOTAL (ALL-INDIA),3099,,0.3,27343,2.3,92892,7.7
,,,,,,,,
210,,,,,,,,
