TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI.,City,Preparation & Assembly for,,,Robbery,,Burglary,
No.,,Dacoity,,,"(Sec. 392-394,397,398 IPC)",,"(Sec. 449-452,454,455,",
,,(Sec. 399-402 IPC),,,,,457-460 IPC),
,,I,R,,I,R,I R,
(1),_(?)_,_03)_,(24),,_(25)_,(26)_,_(22)_(28),
CITIES:,,,,,,,,
36,AGRA,5,,0.3,136,7.8,296,17.0
37,AHMEDABAD,0,,0.0,603,9.5,701,11.0
38,ALLAHABAD,5,,0.4,22,1.8,135,11.1
39,AMRITSAR,14,,1.2,25,2.1,158,13.3
40,ASANSOL,44,,3.5,75,6.0,21,1.7
41,AURANGABAD,8,,0.7,178,15.0,292,24.6
42,BENGALURU,470,,5.5,670,7.9,1240,14.6
43,BHOPAL,2,,0.1,187,9.9,870,46.2
44,CHANDIGARH (CITY),7,,0.7,55,5.4,226,22.0
45,CHENNAI,0,,0.0,85,1.0,546,6.3
46,COIMBATORE,0,,0.0,101,4.7,125,5.8
47,DELHI (CITY),13,,0.1,522,3.2,1483,9.1
48,DHANBAD,1,,0.1,8,0.7,67,5.6
49,DURG-BHILAINAGAR,0,,0.0,26,2.4,333,31.3
50,FARIDABAD,16,,1.1,34,2.4,347,24.7
51,GHAZIABAD,11,,0.5,63,2.7,160,6.8
52,GWALIOR,14,,1.3,155,14.1,610,55.4
53,HYDERABAD,0,,0.0,57,0.7,647,8.3
54,INDORE,2,,0.1,254,11.7,1043,48.1
55,JABALPUR,5,,0.4,72,5.7,400,31.5
56,JAIPUR,3,,0.1,257,8.4,975,31.7
57,JAMSHEDPUR,3,,0.2,30,2.2,131,9.8
58,JODHPUR,0,,0.0,39,3.4,174,15.3
59,KANNUR,4,,0.2,31,1.9,59,3.6
60,KANPUR,1,,0.0,89,3.0,165,5.7
61,KOCHI,37,,1.7,25,1.2,90,4.2
62,KOLKATA,20,,0.1,44,0.3,96,0.7
63,KOLLAM,27,,2.4,62,5.6,132,11.9
64,KOTA,7,,0.7,27,2.7,86,8.6
65,KOZHIKODE,18,,0.9,65,3.2,92,4.5
66,LUCKNOW,0,,0.0,43,1.5,399,13.8
67,LUDHIANA,21,,1.3,19,1.2,196,12.1
68,MADURAI,0,,0.0,79,5.4,68,4.7
69,MALAPPURAM,0,,0.0,8,0.5,38,2.2
70,MEERUT,2,,0.1,133,9.3,173,12.1
71,MUMBAI,29,,0.2,1131,6.1,2500,13.6
72,NAGPUR,29,,1.2,491,19.7,883,35.3
73,NASIK,13,,0.8,163,10.4,356,22.8
74,PATNA,0,,0.0,88,4.3,469,22.9
75,PUNE,50,,1.0,731,14.5,1019,20.2
76,RAIPUR,1,,0.1,33,2.9,391,34.8
77,RAJKOT,0,,0.0,43,3.1,198,14.2
78,RANCHI,1,,0.1,71,6.3,162,14.4
79,SRINAGAR,0,,0.0,18,1.4,251,19.7
80,SURAT,4,,0.1,68,1.5,333,7.3
81,THIRUVANANTHAPURAM,106,,6.3,101,6.0,154,9.1
82,THRISSUR,4,,0.2,28,1.5,55,3.0
83,TIRUCHIRAPALLI,0,,0.0,56,5.5,42,4.1
84,VADODARA,0,,0.0,112,6.2,333,18.3
85,VARANASI,0,,0.0,11,0.8,73,5.1
86,VASAI VIRAR,5,,0.4,144,11.8,461,37.8
87,VIJAYAWADA,0,,0.0,60,4.0,221,14.8
88,VISHAKHAPATNAM,0,,0.0,27,1.6,366,21.2
,TOTAL (CITIES),1002,,0.6,7655,4.8,20841,13.0
,,,,,,,,
211,,,,,,,,
