BLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.    Qty    Criminal    Breach of Trust    Cheating    Counterfeiting    Arson,,,,,,,,,
,,,,,,,,,
"No.    (Sec.    406-409IPC)    (Sec.    419,420    IPC)    (Sec.    231-254,489A-    (Sec. 435,436,438",,,,,,,,,
,,,,,,,,,
489D IPC)    IPC),,,,,,,,,
,,,,,,,,,
I    R    I    R    I    R    I    R,,,,,,,,,
,,,,,,,,,
(1),_(?)_,_(37)_,(38)_,(39)_,(40)_,(41)_,(42)_,(43)_,_(44)_
CITIES:,,,,,,,,,
36,AGRA,130,7.4,272,15.6,10,0.6,0,0.0
37,AHMEDABAD,298,4.7,246,3.9,21,0.3,16,0.3
38,ALLAHABAD,48,3.9,190,15.6,7,0.6,5,0.4
39,AMRITSAR,13,1.1,266,22.5,1,0.1,6,0.5
40,ASANSOL,20,1.6,15,1.2,3,0.2,1,0.1
41,AURANGABAD,19,1.6,245,20.6,2,0.2,24,2.0
42,BENGALURU,145,1.7,3092,36.4,41,0.5,0,0.0
43,BHOPAL,24,1.3,174,9.2,6,0.3,10,0.5
44,CHANDIGARH (CITY),32,3.1,230,22.4,2,0.2,9,0.9
45,CHENNAI,50,0.6,769,8.8,137,1.6,10,0.1
46,COIMBATORE,9,0.4,132,6.1,59,2.7,21,1.0
47,DELHI (CITY),302,1.9,2271,13.9,59,0.4,72,0.4
48,DHANBAD,31,2.6,52,4.4,1,0.1,1,0.1
49,DURG-BHILAINAGAR,13,1.2,110,10.3,1,0.1,17,1.6
50,FARID AB AD,118,8.4,46,3.3,2,0.1,9,0.6
51,GHAZIABAD,85,3.6,227,9.6,4,0.2,0,0.0
52,GWALIOR,32,2.9,125,11.3,1,0.1,11,1.0
53,HYDERABAD,71,0.9,2131,27.5,25,0.3,101,1.3
54,INDORE,29,1.3,186,8.6,6,0.3,51,2.4
55,JABALPUR,6,0.5,125,9.9,0,0.0,14,1.1
56,JAIPUR,231,7.5,2725,88.7,7,0.2,20,0.7
57,JAMSHEDPUR,61,4.6,219,16.4,4,0.3,2,0.1
58,JODHPUR,7,0.6,722,63.4,3,0.3,13,1.1
59,KANNUR,2,0.1,44,2.7,10,0.6,29,1.8
60,KANPUR,130,4.5,379,13.0,1,0.0,0,0.0
61,KOCHI,8,0.4,630,29.7,2,0.1,3,0.1
62,KOLKATA,428,3.0,2100,14.9,26,0.2,0,0.0
63,KOLLAM,6,0.5,90,8.1,1,0.1,14,1.3
64,KOTA,21,2.1,756,75.5,0,0.0,3,0.3
65,KOZHIKODE,19,0.9,164,8.1,0,0.0,12,0.6
66,LUCKNOW,377,13.0,839,28.9,6,0.2,0,0.0
67,LUDHIANA,45,2.8,281,17.4,2,0.1,5,0.3
68,MADURAI,7,0.5,294,20.1,21,1.4,8,0.5
69,MALAPPURAM,3,0.2,79,4.6,1,0.1,10,0.6
70,MEERUT,71,5.0,285,20.0,7,0.5,1,0.1
71,MUMBAI,564,3.1,1827,9.9,48,0.3,86,0.5
72,NAGPUR,50,2.0,264,10.6,7,0.3,32,1.3
73,NAS IK,28,1.8,139,8.9,17,1.1,16,1.0
74,PATNA,6,0.3,599,29.3,3,0.1,0,0.0
75,PUNE,92,1.8,756,15.0,18,0.4,48,1.0
76,RAIPUR,23,2.0,189,16.8,8,0.7,36,3.2
77,RAJKOT,84,6.0,43,3.1,11,0.8,8,0.6
78,RANCHI,31,2.8,249,22.1,0,0.0,4,0.4
79,SRINAGAR,15,1.2,101,7.9,2,0.2,21,1.6
80,SURAT,24,0.5,177,3.9,14,0.3,3,0.1
81,THIRUVANANTHAPURAM,11,0.7,304,18.0,0,0.0,10,0.6
82,THRISSUR,13,0.7,366,19.7,0,0.0,7,0.4
83,TIRUCHIRAPALLI,0,0.0,103,10.1,5,0.5,3,0.3
84,VADODARA,24,1.3,175,9.6,5,0.3,5,0.3
85,VARANASI,109,7.6,273,19.0,24,1.7,0,0.0
86,VASAI VIRAR,17,1.4,191,15.6,1,0.1,6,0.5
87,VIJAYAWADA,123,8.2,416,27.9,6,0.4,33,2.2
88,VISHAKHAPATNAM,68,3.9,252,14.6,6,0.3,10,0.6
,TOTAL (CITIES),4173,2.6,26935,16.8,654,0.4,826,0.5
,,,,,,,,,
215,,,,,,,,,
