TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,Hurt,,Dowry Deaths,,Assault on Women,,Insult to the modesty,
No.,,"(Sec.323-333,335-338 IPC)",,(Sec.304B IPC),,with Intent to outrage,,of Women,
,,,,,,her modesty,,(Sec.509 IPC),
,,,,,,(Sec.354 IPC),,,
,,I,R,I,R,I,R,I,R
(1),_(?)_,_(45)_,_(46)_,_(47)_,_(48)_,_(4?)_,(50)_,_(51)_,(52)_
STATES:,,,,,,,,,
1,ANDHRA PRADESH,56768,66.2,504,0.6,4816,5.6,3714,4.3
2,ARUNACHALPRADESH,438,34.8,1,0.1,67,5.3,2,0.2
3,ASSAM,6676,21.5,140,0.5,1840,5.9,5,0.0
4,BIHAR,45827,46.1,1275,1.3,118,0.1,37,0.0
5,CHHATTISGARH,10855,44.0,81,0.3,1601,6.5,162,0.7
6,GOA,266,14.5,0,0.0,49,2.7,16,0.9
7,GUJARAT,10234,17.0,21,0.0,745,1.2,93,0.2
8,HARYANA,3277,12.6,258,1.0,525,2.0,434,1.7
9,HIMACHAL PRADESH,1173,17.1,2,0.0,250,3.6,68,1.0
10,JAMMU & KASHMIR,322,2.7,8,0.1,1322,11.1,347,2.9
11,JHARKHAND,4785,14.9,302,0.9,284,0.9,10,0.0
12,KARNATAKA,20350,33.8,218,0.4,2978,4.9,100,0.2
13,KERALA,21170,60.7,32,0.1,3735,10.7,498,1.4
14,MADHYA PRADESH,35549,48.2,743,1.0,6655,9.0,774,1.0
15,MAHARASHTRA,28392,24.8,329,0.3,3935,3.4,1294,1.1
16,MANIPUR,285,11.5,0,0.0,49,2.0,1,0.0
17,MEGHALAYA,157,5.9,1,0.0,43,1.6,0,0.0
18,MIZORAM,103,10.1,0,0.0,85,8.3,0,0.0
19,NAGALAND,30,1.3,0,0.0,16,0.7,0,0.0
20,ODISHA,8223,19.9,525,1.3,4187,10.2,304,0.7
21,PUNJAB,4186,14.9,118,0.4,340,1.2,31,0.1
22,RAJASTHAN,17614,25.4,478,0.7,2352,3.4,18,0.0
23,SIKKIM,91,14.6,1,0.2,19,3.1,0,0.0
24,TAMIL NADU,22100,32.5,110,0.2,1494,2.2,382,0.6
25,TRIPURA,1504,41.0,37,1.0,314,8.6,7,0.2
26,UTTAR PRADESH,12290,6.0,2244,1.1,3247,1.6,8,0.0
27,UTTARAKHAND,1022,10.1,71,0.7,139,1.4,73,0.7
28,WEST BENGAL,15923,17.6,593,0.7,3345,3.7,556,0.6
,TOTAL (STATES),329610,27.7,8092,0.7,44550,3.7,8934,0.8
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,62,12.1,2,0.4,17,3.3,4,0.8
30,CHANDIGARH,42,2.7,5,0.3,45,2.9,25,1.6
31,D & N HAVELI,25,6.6,0,0.0,2,0.5,0,0.0
32,DAMAN & DILI,17,6.0,0,0.0,0,0.0,0,0.0
33,DELHI,1747,9.1,134,0.7,727,3.8,208,1.1
34,LAKSHADWEEP,3,3.9,0,0.0,1,1.3,0,0.0
35,PUDUCHERRY,818,55.6,0,0.0,9,0.6,2,0.1
,TOTAL (UTs),2714,11.6,141,0.6,801,3.4,239,1.0
,TOTAL (ALL-INDIA),332324,27.4,8233,0.7,45351,3.7,9173,0.8
,,,,,,,,,
216,,,,,,,,,
