TABLE-1.8 (Concluded),,,,,,,,,,,
,,,,,,,,,,,
SI. No.,State/UT,Cruelty by Husband or his Relatives (Sec. 498A IPQ,,Importation of Girls from Foreign Country (Sec. 366B IPQ,,Causing Death by Negligence (Sec. 304A IPQ,,Other IPC Climes,,Total Cognizable Climes Under IPC,
,,I,R,I,R,I,R,I,R,I,R
(1),(2),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62)
STATES:,,,,,,,,,,,
1,ANDHRA PRADESH,13389,15.6,0,0.0,13929,16.2,39025,45.5,192522,224.5
2,ARUNACHALPRADESH,26,2.1,0,0.0,94,7.5,657,52.1,2420,192.1
3,ASSAM,6407,20.6,2,0.0,2565,8.3,27077,87.1,77682,250.0
4,BIHAR,3686,3.7,4,0.0,4631,4.7,35421,35.6,146614,147.4
5,CHHATTISGARH,980,4.0,0,0.0,2888,11.7,23387,94.7,54598,221.1
6,GOA,24,1.3,0,0.0,233,12.7,1115,60.8,3608,196.7
7,GUJARAT,6658,11.1,0,0.0,5573,9.3,75702,126.0,130121,216.6
8,HARYANA,3137,12.1,0,0.0,1484,5.7,21396,82.3,62480,240.4
9,HIMACHAL PRADESH,251,3.6,0,0.0,562,8.2,6877,100.0,12557,182.6
10,JAMMU & KASHMIR,301,2.5,0,0.0,371,3.1,14004,117.5,24608,206.5
11,JHARKHAND,1261,3.9,3,0.0,1594,5.0,14818,46.2,40946,127.8
12,KARNATAKA,3684,6.1,32,0.1,876,1.5,58468,97.1,134021,222.5
13,KERALA,5216,15.0,0,0.0,48,0.1,101582,291.2,158989,455.8
14,MADHYA PRADESH,3988,5.4,6,0.0,7721,10.5,114585,155.4,220335,298.8
15,MAHARASHTRA,7415,6.5,0,0.0,13311,11.6,46668,40.7,202700,176.7
16,MANIPUR,43,1.7,0,0.0,2,0.1,1086,43.7,3737,150.3
17,MEGHALAYA,16,0.6,0,0.0,102,3.8,761,28.6,2557,96.1
18,MIZORAM,8,0.8,0,0.0,34,3.3,336,32.9,1766,173.1
19,NAGALAND,0,0.0,0,0.0,31,1.4,266,11.6,1090,47.7
20,ODISHA,2638,6.4,0,0.0,3605,8.7,22203,53.9,67957,164.8
21,PUNJAB,1293,4.6,0,0.0,3405,12.1,10405,37.1,35790,127.4
22,RAJASTHAN,13312,19.2,0,0.0,8284,12.0,70240,101.4,170948,246.9
23,SIKKIM,4,0.6,0,0.0,32,5.1,58,9.3,528,84.9
24,TAMIL NADU,1965,2.9,0,0.0,15499,22.8,124176,182.6,200474,294.8
25,TRIPURA,858,23.4,0,0.0,10,0.3,1742,47.4,6264,170.6
26,UTTAR PRADESH,7661,3.7,0,0.0,14406,7.0,68538,33.4,198093,96.4
27,UTTARAKHAND,368,3.6,0,0.0,670,6.6,2118,20.9,8882,87.7
28,WEST BENGAL,19865,21.9,12,0.0,4385,4.8,64482,71.2,161427,178.2
,TOTAL (STATES),104454,8.8,59,0.0,106345,8.9,947193,79.6,2323714,195.3
UNION TERRITORIES,,,,,,,,,,,
29,A & N ISLANDS,5,1.0,0,0.0,6,1.2,351,68.6,683,133.4
30,CHANDIGARH,73,4.8,0,0.0,3,0.2,1042,68.0,3606,235.4
31,D & N HAVELI,0,0.0,0,0.0,23,6.1,112,29.8,318,84.6
32,DAMAN & DILI,3,1.1,0,0.0,38,13.3,46,16.1,239,83.9
33,DELHI,1985,10.4,0,0.0,913,4.8,15408,80.4,54287,283.3
34,LAKSHADWEEP,1,1.3,0,0.0,0,0.0,32,41.6,60,77.9
35,PUDUCHERRY,6,0.4,0,0.0,263,17.9,2060,140.0,4281,291.0
,TOTAL (UTs),2073,8.9,0,0.0,1246,5.3,19051,81.4,63474,271.1
,TOTAL (ALL-INDIA),106527,8.8,59,0.0,107591,8.9,966244,79.6,2387188,196.7
,,,,,,,,,,,
218,,,,,,,,,,,
