TABLE-1.8,,,,,,,
,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,
Different Crime Heads In States & UTs During 2013,,,,,,,
,,,,,,,
SI.,State/UT,Murder,,Attempt To Commit,,C.H. Not Amounting,
No.,,(Sec. 302 IPC),,Murder,,To Murder,
,,,,(Sec. 307 IPC),,"(Sec. 304, 308 IPC)",
,,I,R,I,R,I,R
(1),_(2)_,_(3),_(4)_,_(5)_,_(6)_,_m_,_(8)_
STATES:,,,,,,,
1,ANDHRA PRADESH,2484,2.9,2249,2.6,170,0.2
2,ARUNACHAL PRADESH,69,5.4,36,2.8,3,0.2
3,ASSAM,1354,4.3,579,1.8,54,0.2
4,BIHAR,3441,3.4,3889,3.9,259,0.3
5,CHHATTISGARH,945,3.8,647,2.6,24,0.1
6,GOA,36,1.9,48,2.5,2,0.1
7,GUJARAT,1118,1.8,603,1.0,49,0.1
8,HARYANA,982,3.7,781,3.0,55,0.2
9,HIMACHAL PRADESH,104,1.5,70,1.0,6,0.1
10,JAMMU & KASHMIR,150,1.2,510,4.2,28,0.2
11,JHARKHAND,1630,5.0,774,2.4,107,0.3
12,KARNATAKA,1601,2.6,1984,3.3,92,0.2
13,KERALA,372,1.1,603,1.7,104,0.3
14,MADHYA PRADESH,2112,2.8,2360,3.2,117,0.2
15,MAHARASHTRA,2512,2.2,2428,2.1,203,0.2
16,MANIPUR,93,3.7,211,8.4,4,0.2
17,MEGHALAYA,166,6.2,111,4.1,19,0.7
18,MIZORAM,27,2.6,19,1.8,2,0.2
19,NAGALAND,78,3.4,63,2.7,18,0.8
20,ODISHA,1454,3.5,2173,5.2,39,0.1
21,PUNJAB,711,2.5,923,3.3,104,0.4
22,RAJASTHAN,1573,2.2,1662,2.4,86,0.1
23,SIKKIM,15,2.4,12,1.9,0,0.0
24,TAMIL NADU,1936,2.8,3007,4.4,33,0.0
25,TRIPURA,142,3.8,59,1.6,1,0.0
26,UTTAR PRADESH,5047,2.4,5259,2.5,1268,0.6
27,UTTARAKHAND,197,1.9,181,1.8,42,0.4
28,WEST BENGAL,2264,2.5,3523,3.9,415,0.5
,TOTAL (STATES),32613,2.7,34764,2.9,3304,0.3
UNION TERRITORIES,,,,,,,
29,A & N ISLANDS,6,1.1,4,0.8,1,0.2
30,CHANDIGARH,22,1.4,50,3.1,3,0.2
31,D & N HAVELI,3,0.8,2,0.5,1,0.3
32,DAMAN & DILI,9,3.0,1,0.3,4,1.3
33,DELHI,517,2.6,585,3.0,65,0.3
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,31,2.0,11,0.7,2,0.1
,TOTAL (UTs),588,2.4,653,2.7,76,0.3
,TOTAL (ALL-INDIA),33201,2.7,35417,2.9,3380,0.3
,,,,,,,
204,,,,,,,
