TABLE-1.8 (Continued),,,,,,,
,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,
Different Crime Heads In Cities During 2013,,,,,,,
,,,,,,,
SI. No.,City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304,308 IPC)",
,,i,R,i,R,I,R
(1),_(?)_,_(3)_,_(4)_,_(5)_,_(6)_,_(ZL,_(8)_
CITIES:,,,,,,,
36,AGRA,61,3.5,90,5.2,13,0.7
37,AHMEDABAD,96,1.5,68,1.1,2,0.0
38,ALLAHABAD,44,3.6,50,4.1,12,1.0
39,AMRITSAR,18,1.5,55,4.6,4,0.3
40,ASANSOL,56,4.5,49,3.9,7,0.6
41,AURANGABAD,32,2.7,50,4.2,0,0.0
42,BENGALURU,217,2.6,442,5.2,26,0.3
43,BHOPAL,38,2.0,94,5.0,0,0.0
44,CHANDIGARH (CITY),18,1.8,49,4.8,3,0.3
45,CHENNAI,201,2.3,202,2.3,1,0.0
46,COIMBATORE,26,1.2,53,2.5,0,0.0
47,DELHI (CITY),430,2.6,502,3.1,56,0.3
48,DHANBAD,19,1.6,11,0.9,3,0.3
49,DURG-BHILAINAGAR,27,2.5,39,3.7,1,0.1
50,FARID AB AD,60,4.3,59,4.2,3,0.2
51,GHAZIABAD,43,1.8,62,2.6,28,1.2
52,GWALIOR,58,5.3,96,8.7,8,0.7
53,HYDERABAD,120,1.5,145,1.9,5,0.1
54,INDORE,76,3.5,182,8.4,7,0.3
55,JABALPUR,47,3.7,90,7.1,5,0.4
56,JAIPUR,105,3.4,94,3.1,10,0.3
57,JAMSHEDPUR,35,2.6,24,1.8,3,0.2
58,JODHPUR,45,4.0,110,9.7,3,0.3
59,KANNUR,4,0.2,10,0.6,0,0.0
60,KANPUR,56,1.9,50,1.7,15,0.5
61,KOCHI,5,0.2,22,1.0,2,0.1
62,KOLKATA,77,0.5,115,0.8,37,0.3
63,KOLLAM,16,1.4,36,3.2,8,0.7
64,KOTA,19,1.9,75,7.5,1,0.1
65,KOZHIKODE,11,0.5,14,0.7,1,0.0
66,LUCKNOW,92,3.2,98,3.4,12,0.4
67,LUDHIANA,71,4.4,72,4.5,6,0.4
68,MADURAI,39,2.7,49,3.4,2,0.1
69,MALAPPURAM,1,0.1,7,0.4,1,0.1
70,MEERUT,101,7.1,138,9.7,6,0.4
71,MUMBAI,170,0.9,190,1.0,8,0.0
72,NAGPUR,103,4.1,85,3.4,7,0.3
73,NASIK,35,2.2,20,1.3,2,0.1
74,PATNA,198,9.7,91,4.4,2,0.1
75,PUNE,129,2.6,137,2.7,10,0.2
76,RAIPUR,39,3.5,72,6.4,2,0.2
77,RAJKOT,36,2.6,26,1.9,3,0.2
78,RANCHI,65,5.8,14,1.2,0,0.0
79,SRINAGAR,16,1.3,38,3.0,4,0.3
80,SURAT,99,2.2,30,0.7,9,0.2
81,THIRUVANANTHAPURAM,10,0.6,19,1.1,6,0.4
82,THRISSUR,17,0.9,8,0.4,6,0.3
83,TIRUCHIRAPALLI,21,2.1,27,2.6,0,0.0
84,VADODARA,20,1.1,34,1.9,2,0.1
85,VARANASI,34,2.4,37,2.6,2,0.1
86,VASAI VIRAR,42,3.4,27,2.2,2,0.2
87,VIJAYAWADA,29,1.9,55,3.7,8,0.5
88,VISHAKHAPATNAM,30,1.7,50,2.9,1,0.1
,TOTAL (CITIES),3457,2.2,4262,2.7,365,0.2
,,,,,,,
205,,,,,,,
