TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,State/UT,,,Rape@ (Sec. 376 IPC),,,
,,Total,,Custodial,,Others,
,,i,R,i,R,I,R
(1),_(2)_,_(?)_,(10)_,_(id_,_(12)_,_(13)_,d-t)_
STATES:,,,,,,,
1,ANDHRA PRADESH,1635,3.8,0,0.0,1635,3.8
2,ARUNACHAL PRADESH,75,12.4,0,0.0,75,12.4
3,ASSAM,1937,12.7,0,0.0,1937,12.7
4,BIHAR,1128,2.3,0,0.0,1128,2.3
5,CHHATTISGARH,1380,11.1,0,0.0,1380,11.1
6,GOA,86,9.7,0,0.0,86,9.7
7,GUJARAT,732,2.5,0,0.0,732,2.5
8,HARYANA,971,8.0,0,0.0,971,8.0
9,HIMACHAL PRADESH,250,7.4,0,0.0,250,7.4
10,JAMMU & KASHMIR,378,6.6,0,0.0,378,6.6
11,JHARKHAND,1204,7.6,0,0.0,1204,7.6
12,KARNATAKA,1030,3.4,1,0.0,1029,3.4
13,KERALA,1221,6.8,0,0.0,1221,6.8
14,MADHYA PRADESH,4335,12.1,0,0.0,4335,12.1
15,MAHARASHTRA,3063,5.5,0,0.0,3063,5.5
16,MANIPUR,72,5.8,0,0.0,72,5.8
17,MEGHALAYA,183,13.7,0,0.0,183,13.7
18,MIZORAM,89,17.8,0,0.0,89,17.8
19,NAGALAND,31,2.8,0,0.0,31,2.8
20,ODISHA,1832,8.9,0,0.0,1832,8.9
21,PUNJAB,888,6.8,0,0.0,888,6.8
22,RAJASTHAN,3285,9.8,0,0.0,3285,9.8
23,SIKKIM,43,14.6,0,0.0,43,14.6
24,TAMIL NADU,923,2.7,0,0.0,923,2.7
25,TRIPURA,233,12.8,0,0.0,233,12.8
26,UTTAR PRADESH,3050,3.1,0,0.0,3050,3.1
27,UTTARAKHAND,228,4.5,0,0.0,228,4.5
28,WEST BENGAL,1685,3.8,0,0.0,1685,3.8
,TOTAL (STATES),31967,5.5,1,0.0,31966,5.5
UNION TERRITORIES:,,,,,,,
29,A & N ISLANDS,27,10.7,0,0.0,27,10.7
30,CHANDIGARH,45,6.7,0,0.0,45,6.7
31,D & N HAVELI,5,2.8,0,0.0,5,2.8
32,DAMAN & DILI,8,8.0,0,0.0,8,8.0
33,DELHI,1636,18.6,0,0.0,1636,18.6
34,LAKSHADWEEP,2,5.1,0,0.0,2,5.1
35,PUDUCHERRY,17,2.4,0,0.0,17,2.4
,TOTAL (UTs),1740,16.2,0,0.0,1740,16.2
,TOTAL (ALL-INDIA),33707,5.7,1,0.0,33706,5.7
,,,,,,,
@ The rate of crime has been worked out using female population (mid year projected).,,,,,,,
,,,,,,,
206,,,,,,,
