TABLE-1.8 (Continued),,,,,,,
,,,,,,,
SI. No.,City,,,Rape@ (Sec. 376 IPC),,,
,,Total I,R,Custodial I R,,Others I,R
(1),_O)_,_(?)_,_O0)_,_(ID_,_02)_,_(13)_,04)_
CITIES:,,,,,,,
36,AGRA,39,4.9,0,0.0,39,4.9
37,AHMEDABAD,116,3.9,0,0.0,116,3.9
38,ALLAHABAD,26,4.6,0,0.0,26,4.6
39,AMRITSAR,29,5.2,0,0.0,29,5.2
40,ASANSOL,31,5.2,0,0.0,31,5.2
41,AURANGABAD,22,3.9,0,0.0,22,3.9
42,BENGALURU,80,2.0,0,0.0,80,2.0
43,BHOPAL,131,14.6,0,0.0,131,14.6
44,CHANDIGARH (CITY),39,8.4,0,0.0,39,8.4
45,CHENNAI,83,1.9,0,0.0,83,1.9
46,COIMBATORE,17,1.6,0,0.0,17,1.6
47,DELHI (CITY),1441,19.0,0,0.0,1441,19.0
48,DHANBAD,14,2.5,0,0.0,14,2.5
49,DURG-BHILAINAGAR,81,15.6,0,0.0,81,15.6
50,FARID AB AD,65,9.9,0,0.0,65,9.9
51,GHAZIABAD,51,4.6,0,0.0,51,4.6
52,GWALIOR,117,22.8,0,0.0,117,22.8
53,HYDERABAD,101,2.7,0,0.0,101,2.7
54,INDORE,133,12.8,0,0.0,133,12.8
55,JABALPUR,115,19.0,0,0.0,115,19.0
56,JAIPUR,192,13.2,0,0.0,192,13.2
57,JAMSHEDPUR,49,7.7,0,0.0,49,7.7
58,JODHPUR,70,13.0,0,0.0,70,13.0
59,KANNUR,7,0.8,0,0.0,7,0.8
60,KANPUR,16,1.2,0,0.0,16,1.2
61,KOCHI,40,3.7,0,0.0,40,3.7
62,KOLKATA,75,1.1,0,0.0,75,1.1
63,KOLLAM,64,11.0,0,0.0,64,11.0
64,KOTA,86,18.2,0,0.0,86,18.2
65,KOZHIKODE,30,2.8,0,0.0,30,2.8
66,LUCKNOW,55,4.0,0,0.0,55,4.0
67,LUDHIANA,109,14.8,0,0.0,109,14.8
68,MADURAI,16,2.2,0,0.0,16,2.2
69,MALAPPURAM,16,1.8,0,0.0,16,1.8
70,MEERUT,62,9.3,0,0.0,62,9.3
71,MUMBAI,391,4.6,0,0.0,391,4.6
72,NAGPUR,91,7.5,0,0.0,91,7.5
73,NASIK,20,2.7,0,0.0,20,2.7
74,PATNA,57,6.0,0,0.0,57,6.0
75,PUNE,171,7.2,0,0.0,171,7.2
76,RAIPUR,85,15.6,0,0.0,85,15.6
77,RAJKOT,14,2.1,0,0.0,14,2.1
78,RANCHI,45,8.3,0,0.0,45,8.3
79,SRINAGAR,22,3.7,0,0.0,22,3.7
80,SURAT,76,3.9,0,0.0,76,3.9
81,THIRUVANANTHAPURAM,54,6.2,0,0.0,54,6.2
82,THRISSUR,28,2.9,0,0.0,28,2.9
83,TIRUCHIRAPALLI,10,1.9,0,0.0,10,1.9
84,VADODARA,19,2.2,0,0.0,19,2.2
85,VARANASI,29,4.3,0,0.0,29,4.3
86,VASAI VIRAR,55,9.6,0,0.0,55,9.6
87,VIJAYAWADA,48,6.5,0,0.0,48,6.5
88,VISHAKHAPATNAM,67,7.8,0,0.0,67,7.8
,TOTAL (CITIES),4900,6.4,0,0.0,4900,6.4
,,,,,,,
@ The rate of crime has been worked out using female population (Actual population 2011 provisional).,,,,,,,
,,,,,,,
207,,,,,,,
