TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. No.,State/UT,,,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",,,,Dacoity (Sec. 395-398 IPC),
,,Total I,R,of Women & Girls® I R,,of Others I,R,i,R
(1),_0)_,_05)_,(16),_02)_,_0?)_,09)_,QO),_(21)_,(22)
STATES:,,,,,,,,,
1,ANDHRA PRADESH,2119,2.5,1595,3.7,524,0.6,125,0.1
2,ARUNACHAL PRADESH,142,11.1,86,14.2,56,4.4,24,1.9
3,ASSAM,4801,15.3,4222,27.6,579,1.8,246,0.8
4,BIHAR,5570,5.5,4419,9.1,1151,1.1,579,0.6
5,CHHATTISGARH,2235,8.9,1881,15.1,354,1.4,47,0.2
6,GOA,108,5.7,70,7.9,38,2.0,11,0.6
7,GUJARAT,2666,4.4,2230,7.7,436,0.7,288,0.5
8,HARYANA,2772,10.5,1957,16.2,815,3.1,154,0.6
9,HIMACHAL PRADESH,352,5.1,290,8.6,62,0.9,14,0.2
10,JAMMU & KASHMIR,983,8.2,949,16.5,34,0.3,6,0.0
11,JHARKHAND,1271,3.9,926,5.9,345,1.1,232,0.7
12,KARNATAKA,1836,3.0,1359,4.5,477,0.8,280,0.5
13,KERALA,252,0.7,185,1.0,67,0.2,67,0.2
14,MADHYA PRADESH,3354,4.5,2873,8.0,481,0.6,98,0.1
15,MAHARASHTRA,2640,2.3,1874,3.4,766,0.7,833,0.7
16,MANIPUR,181,7.2,125,10.0,56,2.2,0,0.0
17,MEGHALAYA,139,5.2,33,2.5,106,3.9,51,1.9
18,MIZORAM,7,0.7,2,0.4,5,0.5,4,0.4
19,NAGALAND,40,1.7,11,1.0,29,1.3,3,0.1
20,ODISHA,2370,5.7,2067,10.1,303,0.7,436,1.0
21,PUNJAB,1274,4.5,987,7.5,287,1.0,18,0.1
22,RAJASTHAN,4986,7.1,4047,12.0,939,1.3,59,0.1
23,SIKKIM,16,2.5,16,5.4,0,0.0,0,0.0
24,TAMIL NADU,1779,2.6,1516,4.5,263,0.4,83,0.1
25,TRIPURA,144,3.9,124,6.8,20,0.5,9,0.2
26,UTTAR PRADESH,11183,5.4,9737,9.9,1446,0.7,596,0.3
27,UTTARAKHAND,1032,10.0,633,12.6,399,3.9,17,0.2
28,WEST BENGAL,4573,5.0,3830,8.6,743,0.8,206,0.2
,TOTAL (STATES),58825,4.9,48044,8.3,10781,0.9,4486,0.4
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,14,2.7,12,4.7,2,0.4,1,0.2
30,CHANDIGARH,261,16.3,174,26.1,87,5.4,11,0.7
31,D & N HAVELI,13,3.3,11,6.0,2,0.5,1,0.3
32,DAMAN & DILI,13,4.4,6,6.0,7,2.4,6,2.0
33,DELHI,6294,31.9,3609,41.1,2685,13.6,33,0.2
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0,0,0.0
35,PUDUCHERRY,41,2.7,25,3.5,16,1.0,1,0.1
,TOTAL (UTs),6636,27.5,3837,35.8,2799,11.6,53,0.2
,TOTAL (ALL-INDIA),65461,5.3,51881,8.8,13580,1.1,4539,0.4
,,,,,,,,,
@ The rate of crime has been worked out using female population (mid-year projected).,,,,,,,,,
,,,,,,,,,
208,,,,,,,,,
