TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,City,,,Kidnapping & Abduction,,,,Dacoity,
No.,,,,"(Sec. 363-369, 371-373 IPC)",,,,(Sec. 395-398 IPC),
,,Total,,of Women & Girls®,,of Others,,,
,,i,R,I,R,I,R,I,R
(1),_O)_,_05)_,(16),_02)_,_0?)_,09)_,_(20)_,_(21)_,_(22)_
CITIES:,,,,,,,,,
36,AGRA,295,16.9,240,29.9,55,3.2,3,0.2
37,AHMEDABAD,458,7.2,353,11.8,105,1.7,16,0.3
38,ALLAHABAD,115,9.4,72,12.8,43,3.5,1,0.1
39,AMRITSAR,62,5.2,53,9.6,9,0.8,2,0.2
40,ASANSOL,125,10.1,87,14.6,38,3.1,13,1.0
41,AURANGABAD,49,4.1,35,6.2,14,1.2,21,1.8
42,BENGALURU,642,7.6,538,13.3,104,1.2,40,0.5
43,BHOPAL,76,4.0,72,8.0,4,0.2,0,0.0
44,CHANDIGARH (CITY),235,22.9,161,34.8,74,7.2,11,1.1
45,CHENNAI,60,0.7,42,1.0,18,0.2,5,0.1
46,COIMBATORE,9,0.4,3,0.3,6,0.3,3,0.1
47,DELHI (CITY),5406,33.1,3093,40.8,2313,14.2,26,0.2
48,DHANBAD,46,3.8,38,6.8,8,0.7,9,0.8
49,DURG-BHILAINAGAR,93,8.7,68,13.1,25,2.3,1,0.1
50,FARID AB AD,155,11.0,115,17.6,40,2.8,6,0.4
51,GHAZIABAD,194,8.2,153,13.9,41,1.7,4,0.2
52,GWALIOR,55,5.0,44,8.6,11,1.0,3,0.3
53,HYDERABAD,131,1.7,52,1.4,79,1.0,6,0.1
54,INDORE,319,14.7,231,22.3,88,4.1,3,0.1
55,JABALPUR,112,00 00,93,15.4,19,1.5,1,0.1
56,JAIPUR,522,17.0,379,26.1,143,4.7,9,0.3
57,JAMSHEDPUR,68,5.1,67,10.5,1,0.1,3,0.2
58,JODHPUR,130,11.4,104,19.3,26,2.3,2,0.2
59,KANNUR,5,0.3,2,0.2,3,0.2,3,0.2
60,KANPUR,114,3.9,112,8.4,2,0.1,0,0.0
61,KOCHI,10,0.5,9,0.8,1,0.0,5,0.2
62,KOLKATA,210,1.5,145,2.1,65,0.5,4,0.0
63,KOLLAM,18,1.6,16,2.8,2,0.2,3,0.3
64,KOTA,204,20.4,154,32.7,50,5.0,1,0.1
65,KOZHIKODE,11,0.5,9,0.9,2,0.1,4,0.2
66,LUCKNOW,275,9.5,270,19.5,5,0.2,10,0.3
67,LUDHIANA,145,9.0,110,14.9,35,2.2,3,0.2
68,MADURAI,32,2.2,20,2.7,12,0.8,4,0.3
69,MALAPPURAM,1,0.1,1,0.1,0,0.0,0,0.0
70,MEERUT,197,13.8,161,24.0,36,2.5,6,0.4
71,MUMBAI,381,2.1,251,3.0,130,0.7,41,0.2
72,NAGPUR,118,4.7,80,6.6,38,1.5,15,0.6
73,NASIK,31,2.0,16,2.2,15,1.0,13,0.8
74,PATNA,443,21.6,342,35.7,101,4.9,26,1.3
75,PUNE,177,3.5,125,5.2,52,1.0,20,0.4
76,RAIPUR,266,23.7,206,37.9,60,5.3,2,0.2
77,RAJKOT,63,4.5,47,7.1,16,1.2,4,0.3
78,RANCHI,60,5.3,53,9.8,7,0.6,9,0.8
79,SRINAGAR,90,7.1,86,14.4,4,0.3,2,0.2
80,SURAT,309,6.7,195,9.9,114,2.5,11,0.2
81,THIRUVANANTHAPURAM,7,0.4,4,0.5,3,0.2,3,0.2
82,THRISSUR,2,0.1,2,0.2,0,0.0,1,0.1
83,TIRUCHIRAPALLI,8,0.8,5,1.0,3,0.3,1,0.1
84,VADODARA,82,4.5,68,7.8,14,0.8,10,0.6
85,VARANASI,135,9.4,121,18.0,14,1.0,1,0.1
86,VASAI VIRAR,25,2.0,11,1.9,14,1.1,4,0.3
87,VIJAYAWADA,72,4.8,45,6.1,27,1.8,2,0.1
88,VISHAKHAPATNAM,58,3.4,50,5.9,8,0.5,5,0.3
,TOTAL (CITIES),12906,8.0,8809,11.5,4097,2.5,401,0.2
,,,,,,,,,
@ The rate of crime has been worked out using female population (Actual population 2011 provisional).,,,,,,,,,
,,,,,,,,,
209,,,,,,,,,
