TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI.,State/UT,,,Theft,,,,Riots
No.,,,,(Sec.379-382 IPC),,,,"(Sec. 143-145,147-"
,,Total,,Auto Theft,,Other Theft,,"151,153,153A,153B,157,"
,,,,,,,,"158,160 IPC)"
,,i,R,i,R,i,R,I R
(1),_O)_,_(29)_,(30),_(31)_,(32)_,_(33),_(34)_,_(35)_(36)_
STATES:,,,,,,,,
1,ANDHRA PRADESH,31032,35.9,9040,10.5,21992,25.4,1944 2.2
2,ARUNACHAL PRADESH,514,40.3,153,12.0,361,28.3,36 2.8
3,ASSAM,10515,33.4,3729,11.9,6786,21.6,2429 7.7
4,BIHAR,21423,21.3,7165,7.1,14258,14.2,11931 11.8
5,CHHATTISGARH,5189,20.7,2407,9.6,2782,11.1,786 3.1
6,GOA,1138,60.4,354,18.8,784,41.6,127 6.7
7,GUJARAT,15313,25.2,8398,13.8,6915,11.4,1715 2.8
8,HARYANA,18620,70.5,13363,50.6,5257,19.9,1560 5.9
9,HIMACHAL PRADESH,818,11.8,281,4.0,537,7.7,487 7.0
10,JAMMU & KASHMIR,1862,15.4,583,4.8,1279,10.6,1714 14.2
11,JHARKHAND,6839,21.1,2195,6.8,4644,14.3,2465 7.6
12,KARNATAKA,19756,32.5,9559,15.7,10197,16.8,7237 11.9
13,KERALA,4079,11.6,1250,3.6,2829,8.1,10042 28.6
14,MADHYA PRADESH,25045,33.5,13283,17.7,11762,15.7,1779 2.4
15,MAHARASHTRA,52670,45.3,18394,15.8,34276,29.5,9610 8.3
16,MANIPUR,854,33.9,687,27.3,167,6.6,67 2.7
17,MEGHALAYA,617,22.9,123,4.6,494,18.4,13 0.5
18,MIZORAM,643,62.3,63,6.1,580,56.2,1 0.1
19,NAGALAND,406,17.6,231,10.0,175,7.6,11 0.5
20,ODISHA,10044,24.2,3538,8.5,6506,15.7,1937 4.7
21,PUNJAB,4885,17.2,1921,6.8,2964,10.4,0 0.0
22,RAJASTHAN,28928,41.2,18286,26.0,10642,15.1,542 0.8
23,SIKKIM,122,19.4,17,2.7,105,16.7,32 5.1
24,TAMIL NADU,11950,17.5,3848,5.6,8102,11.8,2701 3.9
25,TRIPURA,533,14.4,136,3.7,397,10.7,123 3.3
26,UTTAR PRADESH,41949,20.1,24948,11.9,17001,8.1,6089 2.9
27,UTTARAKHAND,1596,15.5,749,7.3,847,8.2,334 3.3
28,WEST BENGAL,22904,25.1,4760,5.2,18144,19.9,6142 6.7
,TOTAL (STATES),340244,28.2,149461,12.4,190783,15.8,71854 6.0
UNION TERRITORIES,,,,,,,,
29,A & N ISLANDS,37,7.0,2,0.4,35,6.7,0 0.0
30,CHANDIGARH,1519,94.6,874,54.5,645,40.2,54 3.4
31,D & N HAVELI,58,14.8,26,6.6,32,8.2,7 1.8
32,DAMAN & DILI,38,12.8,25,8.4,13,4.4,11 3.7
33,DELHI,30124,152.8,14916,75.7,15208,77.1,113 0.6
34,LAKSHADWEEP,8,10.3,0,0.0,8,10.3,2 2.6
35,PUDUCHERRY,594,38.7,386,25.2,208,13.6,85 5.5
,TOTAL (UTs),32378,134.1,16229,67.2,16149,66.9,272 1.1
,TOTAL (ALL-INDIA),372622,30.3,165690,13.5,206932,16.8,72126 5.9
,,,,,,,,
212,,,,,,,,
