TABLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI.,State/UT,Criminal Breach of,,Cheating,,Counterfeitin g,,Arson
No.,,Trust,,"(Sec. 419,420 IPC)",,"(Sec. 231-254,489A-",,"(Sec. 435,436,438"
,,(Sec. 406-409 IPC),,,,489D IPC),,IPC)
,,I,R,I,R,I,R,I R
(1),_(2)_,_(37)_,(38),_m_,140)_,(41)_,_(42)_,(43)_(44)_
STATES:,,,,,,,,
1,ANDHRA PRADESH,1555,1.8,13015,15.1,240,0.3,932 1.1
2,ARUNACHAL PRADESH,25,2.0,72,5.7,0,0.0,23 1.8
3,ASSAM,1472,4.7,2558,8.1,84,0.3,793 2.5
4,BIHAR,1684,1.7,4482,4.5,282,0.3,660 0.7
5,CHHATTISGARH,137,0.5,975,3.9,40,0.2,328 1.3
6,GOA,92,4.9,199,10.6,19,1.0,39 2.1
7,GUJARAT,1172,1.9,1324,2.2,144,0.2,304 0.5
8,HARYANA,710,2.7,2030,7.7,20,0.1,189 0.7
9,HIMACHAL PRADESH,135,1.9,472,6.8,12,0.2,138 2.0
10,JAMMU & KASHMIR,155,1.3,590,4.9,26,0.2,221 1.8
11,JHARKHAND,884,2.7,2577,7.9,7,0.0,185 0.6
12,KARNATAKA,477,0.8,6598,10.8,66,0.1,332 0.5
13,KERALA,339,1.0,4841,13.8,79,0.2,479 1.4
14,MADHYA PRADESH,473,0.6,1652,2.2,34,0.0,671 0.9
15,MAHARASHTRA,2206,1.9,10215,8.8,242,0.2,1197 1.0
16,MANIPUR,70,2.8,127,5.0,1,0.0,38 1.5
17,MEGHALAYA,98,3.6,122,4.5,18,0.7,127 4.7
18,MIZORAM,17,1.6,55,5.3,6,0.6,27 2.6
19,NAGALAND,11,0.5,61,2.6,5,0.2,9 0.4
20,ODISHA,417,1.0,2169,5.2,24,0.1,416 1.0
21,PUNJAB,290,1.0,3805,13.4,39,0.1,65 0.2
22,RAJASTHAN,650,0.9,22796,32.4,22,0.0,484 0.7
23,SIKKIM,6,1.0,25,4.0,1,0.2,19 3.0
24,TAMIL NADU,238,0.3,4647,6.8,320,0.5,645 0.9
25,TRIPURA,51,1.4,202,5.4,19,0.5,83 2.2
26,UTTAR PRADESH,4114,2.0,11665,5.6,158,0.1,291 0.1
27,UTTARAKHAND,150,1.5,548,5.3,29,0.3,17 0.2
28,WEST BENGAL,1564,1.7,6195,6.8,338,0.4,495 0.5
,TOTAL (STATES),19192,1.6,104017,8.6,2275,0.2,9207 0.8
UNION TERRITORIES:,,,,,,,,
29,A & N ISLANDS,5,1.0,25,4.8,0,0.0,2 0.4
30,CHANDIGARH,25,1.6,284,17.7,1,0.1,8 0.5
31,D & N HAVELI,1,0.3,10,2.6,1,0.3,18 4.6
32,DAMAN & DILI,3,1.0,19,6.4,1,0.3,8 2.7
33,DELHI,387,2.0,2899,14.7,66,0.3,97 0.5
34,LAKSHADWEEP,0,0.0,1,1.3,0,0.0,1 1.3
35,PUDUCHERRY,14,0.9,75,4.9,5,0.3,16 1.0
,TOTAL (UTs),435,1.8,3313,13.7,74,0.3,150 0.6
,TOTAL (ALL-INDIA),19627,1.6,107330,8.7,2349,0.2,9357 0.8
,,,,,,,,
214,,,,,,,,
