BLE-1.8 (Continued),,,,,,,,
,,,,,,,,
SI.,City,Criminal Breach of Trust,,Cheating,,Counterfeiting,,Arson
No.,,(Sec. 406-409 IPC),,"(Sec. 419,420 IPC)",,"(Sec. 231-254,489A-",,"(Sec. 435,436,438"
,,,,,,489D IPC),,IPC)
,,I,R,I,R,I,R,I R
(1),_(2)_,_(37)_,(38)_,(39)_,(30)_,(41)_,_(42)_,_(43)_(44)_
CITIES:,,,,,,,,
36,AGRA,131,7.5,330,18.9,12,0.7,2 0.1
37,AHMEDABAD,227,3.6,255,4.0,24,0.4,24 0.4
38,ALLAHABAD,51,4.2,264,21.7,9,0.7,4 0.3
39,AMRITSAR,17,1.4,255,21.5,2,0.2,3 0.3
40,ASANSOL,98,7.9,138,11.1,4,0.3,3 0.2
41,AURANGABAD,19,1.6,238,20.0,3,0.3,29 2.4
42,BENGALURU,133,1.6,2987,35.1,33,0.4,16 0.2
43,BHOPAL,22,1.2,153,8.1,6,0.3,16 0.8
44,CHANDIGARH (CITY),24,2.3,274,26.7,1,0.1,8 0.8
45,CHENNAI,13,0.1,492,5.7,148,1.7,22 0.3
46,COIMBATORE,14,0.7,165,7.7,31,1.4,16 0.7
47,DELHI (CITY),356,2.2,2611,16.0,66,0.4,85 0.5
48,DHANBAD,33,2.8,56,4.7,0,0.0,1 0.1
49,DURG-BHILAINAGAR,10,0.9,128,12.0,2,0.2,26 2.4
50,FARID AB AD,170,12.1,53,3.8,2,0.1,4 0.3
51,GHAZIABAD,65,2.8,290,12.3,9,0.4,0 0.0
52,GWALIOR,34,3.1,94,8.5,1,0.1,12 1.1
53,HYDERABAD,75,1.0,2382,30.7,47,0.6,62 0.8
54,INDORE,25,1.2,135,6.2,8,0.4,46 2.1
55,JABALPUR,13,1.0,111,8.8,0,0.0,11 0.9
56,JAIPUR,297,9.7,3900,126.9,6,0.2,30 1.0
57,JAMSHEDPUR,135,10.1,478,35.8,1,0.1,2 0.1
58,JODHPUR,12,1.1,858,75.4,0,0.0,27 2.4
59,KANNUR,3,0.2,66,4.0,12,0.7,33 2.0
60,KANPUR,116,4.0,283,9.7,5,0.2,2 0.1
61,KOCHI,25,1.2,521,24.6,1,0.0,5 0.2
62,KOLKATA,337,2.4,2052,14.5,28,0.2,0 0.0
63,KOLLAM,8,0.7,154,13.9,4,0.4,17 1.5
64,KOTA,9,0.9,905,90.4,1,0.1,4 0.4
65,KOZHIKODE,17,0.8,149,7.3,2,0.1,13 0.6
66,LUCKNOW,513,17.7,976,33.6,8,0.3,4 0.1
67,LUDHIANA,46,2.9,305,18.9,1,0.1,2 0.1
68,MADURAI,5,0.3,263,18.0,24,1.6,11 0.8
69,MALAPPURAM,2,0.1,107,6.3,0,0.0,6 0.4
70,MEERUT,57,4.0,277,19.4,6,0.4,9 0.6
71,MUMBAI,697,3.8,2134,11.6,48,0.3,47 0.3
72,NAGPUR,69,2.8,268,10.7,3,0.1,26 1.0
73,NASIK,32,2.0,154,9.9,24,1.5,7 0.4
74,PATNA,9,0.4,795,38.8,16,0.8,1 0.0
75,PUNE,67,1.3,943,18.7,26,0.5,34 0.7
76,RAIPUR,22,2.0,202,18.0,10,0.9,44 3.9
77,RAJKOT,93,6.7,24,1.7,7,0.5,21 1.5
78,RANCHI,36,3.2,262,23.2,0,0.0,7 0.6
79,SRINAGAR,19,1.5,97,7.6,2,0.2,25 2.0
80,SURAT,25,0.5,187,4.1,10,0.2,6 0.1
81,THIRUVANANTHAPURAM,21,1.2,240,14.2,0,0.0,6 0.4
82,THRISSUR,14,0.8,352,19.0,0,0.0,8 0.4
83,TIRUCHIRAPALLI,0,0.0,90,8.8,5,0.5,2 0.2
84,VADODARA,20,1.1,194,10.7,3,0.2,8 0.4
85,VARANASI,175,12.2,419,29.2,21,1.5,0 0.0
86,VASAI VIRAR,16,1.3,224,18.3,2,0.2,5 0.4
87,VIJAYAWADA,124,8.3,459,30.8,6,0.4,24 1.6
88,VISHAKHAPATNAM,64,3.7,336,19.4,1,0.1,21 1.2
,TOTAL (CITIES),4615,2.9,30085,18.7,691,0.4,847 0.5
,,,,,,,,
215,,,,,,,,
