TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,Hurt,,Dowry Deaths@,,Assault on Women,,Insult to the modesty,
No.,,"(Sec.323-333,335-338 IPC)",,(Sec.304B IPC),,w ith Intent to outrage,,of Women,
,,,,,,her modesty,,(Sec.509 IPC) ll,
,,,,,,(Sec.354 IPC) ll,,,
,,I,R,I,R,I,R,I,R
(1),_O)_,_m_,_m_,_(TD_,_(48),_(49),_(50),_(51)_,(52)
STATES:,,,,,,,,,
1,ANDHRA PRADESH,60488,69.9,492,1.1,6930,16.1,4702,10.9
2,ARUNACHAL PRADESH,498,39.1,0,0.0,93,15.4,3,0.5
3,ASSAM,8171,26.0,170,1.1,2409,15.7,14,0.1
4,BIHAR,35675,35.4,1182,2.4,331,0.7,52,0.1
5,CHHATTISGARH,10546,42.2,109,0.9,2261,18.2,180,1.4
6,GOA,349,18.5,0,0.0,162,18.2,54,6.1
7,GUJARAT,9917,16.3,29,0.1,1243,4.3,77,0.3
8,HARYANA,3171,12.0,263,2.2,1560,12.9,643,5.3
9,HIMACHAL PRADESH,1157,16.7,0,0.0,493,14.6,111,3.3
10,JAMMU & KASHMIR,324,2.7,7,0.1,1389,24.1,354,6.2
11,JHARKHAND,5972,18.4,307,2.0,524,3.3,18,0.1
12,KARNATAKA,21118,34.7,277,0.9,3913,13.1,137,0.5
13,KERALA,20399,58.1,21,0.1,4362,24.3,404,2.3
14,MADHYA PRADESH,35256,47.1,776,2.2,8252,23.1,736,2.1
15,MAHARASHTRA,30796,26.5,320,0.6,8132,14.7,2632,4.8
16,MANIPUR,223,8.9,0,0.0,59,4.7,0,0.0
17,MEGHALAYA,276,10.3,2,0.2,98,7.4,0,0.0
18,MIZORAM,70,6.8,0,0.0,81,16.2,0,0.0
19,NAGALAND,59,2.6,1,0.1,18,1.6,1,0.1
20,ODISHA,10743,25.8,395,1.9,4618,22.5,426,2.1
21,PUNJAB,3916,13.8,126,1.0,1045,8.0,67,0.5
22,RAJASTHAN,18755,26.7,453,1.4,4829,14.4,25,0.1
23,SIKKIM,122,19.4,0,0.0,29,9.8,0,0.0
24,TAMIL NADU,20984,30.7,118,0.4,1271,3.7,313,0.9
25,TRIPURA,1485,40.0,29,1.6,407,22.4,7,0.4
26,UTTAR PRADESH,12398,5.9,2335,2.4,7303,7.4,25,0.0
27,UTTARAKHAND,1011,9.8,43,0.9,295,5.9,72,1.4
28,WEST BENGAL,18159,19.9,481,1.1,4913,11.1,577,1.3
,TOTAL (STATES),332038,27.6,7936,1.4,67020,11.5,11630,2.0
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,55,10.5,1,0.4,45,17.8,8,3.2
30,CHANDIGARH,59,3.7,1,0.2,143,21.4,26,3.9
31,D & N HAVELI,15,3.8,0,0.0,1,0.6,1,0.6
32,DAMAN & DILI,14,4.7,0,0.0,2,2.0,0,0.0
33,DELHI,1768,9.0,144,1.6,3515,40.0,916,10.4
34,LAKSHADWEEP,5,6.4,0,0.0,1,2.6,0,0.0
35,PUDUCHERRY,715,46.6,1,0.1,12,1.7,8,1.1
,TOTAL (UTs),2631,10.9,147,1.4,3719,34.7,959,8.9
,TOTAL (ALL-INDIA),334669,27.2,8083,1.4,70739,11.9,12589,2.1
,,,,,,,,,
@ The rate of crime has been worked out using female population (mid year projected).,,,,,,,,,
,,,,,,,,,
216,,,,,,,,,
