TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,City,Hurt,,Dowry Deaths@,,Assault on Women,,Insult to the modesty,
No.,,"(Sec.323-333,335-338 IPC)",,(Sec.304B IPC),,w ith intent to outrage,,of Women,
,,,,,,her modesty,,(Sec.509 IPC) ll,
,,,,,,(Sec.354 IPC) ll,,,
,,I,R,I,R,I,R,I,R
,_O)_,_m_,_ye_,_yzr,_(48),_(491,_(50),_(51)_,(52)
CITIES:,,,,,,,,,
36,AGRA,105,6.0,48,6.0,167,20.8,0,0.0
37,AHMEDABAD,1342,21.1,20,0.7,180,6.0,8,0.3
38,ALLAHABAD,27,2.2,15,2.7,92,16.4,0,0.0
39,AMRITSAR,157,13.3,4,0.7,53,9.6,4,0.7
40,ASANSOL,168,13.5,15,2.5,73,12.3,1,0.2
41,AURANGABAD,500,42.1,5,0.9,173,30.4,38,6.7
42,BENGALURU,3132,36.9,52,1.3,378,9.3,73,1.8
43,BHOPAL,29,1.5,14,1.6,307,34.2,42,4.7
44,CHANDIGARH (CITY),51,5.0,1,0.2,136,29.4,25,5.4
45,CHENNAI,1213,13.9,12,0.3,55,1.3,155,3.6
46,COIMBATORE,230,10.7,1,0.1,15,1.4,4,0.4
47,DELHI (CITY),1607,9.8,125,1.7,3069,40.5,807,10.7
48,DHANBAD,58,4.9,8,1.4,9,1.6,0,0.0
49,DURG-BHILAINAGAR,114,10.7,7,1.4,180,34.7,17,3.3
50,FARID AB AD,135,9.6,22,3.4,90,13.8,56,8.6
51,GHAZIABAD,34,1.4,25,2.3,124,11.3,0,0.0
52,GWALIOR,422,38.3,23,4.5,262,51.1,45,00 00
53,HYDERABAD,3092,39.9,39,1.0,225,6.0,90,2.4
54,INDORE,1042,48.1,20,1.9,251,24.2,54,5.2
55,JABALPUR,2314,182.5,18,3.0,194,32.1,21,3.5
56,JAIPUR,784,25.5,21,1.4,283,19.5,0,0.0
57,JAMSHEDPUR,771,57.7,10,1.6,52,8.1,2,0.3
58,JODHPUR,858,75.4,7,1.3,141,26.2,0,0.0
59,KANNUR,283,17.2,0,0.0,58,6.6,5,0.6
60,KANPUR,78,2.7,27,2.0,59,4.4,0,0.0
61,KOCHI,462,21.8,0,0.0,168,15.6,23,2.1
62,KOLKATA,3496,24.8,15,0.2,707,10.4,412,6.1
63,KOLLAM,962,86.7,1,0.2,198,34.1,17,2.9
64,KOTA,84,8.4,6,1.3,101,21.4,5,1.1
65,KOZHIKODE,592,29.1,0,0.0,110,10.3,44,4.1
66,LUCKNOW,34,1.2,39,2.8,261,18.9,1,0.1
67,LUDHIANA,193,12.0,13,1.8,81,11.0,21,2.8
68,MADURAI,198,13.5,3,0.4,23,3.2,2,0.3
69,MALAPPURAM,166,9.8,0,0.0,49,5.5,3,0.3
70,MEERUT,13,0.9,16,2.4,151,22.5,0,0.0
71,MUMBAI,3922,21.3,21,0.3,1163,13.7,444,5.2
72,NAGPUR,1012,40.5,4,0.3,209,17.1,52,4.3
73,NASIK,248,15.9,7,1.0,96,13.0,9,1.2
74,PATNA,1215,59.4,61,6.4,15,1.6,2,0.2
75,PUNE,1018,20.2,9,0.4,304,12.7,128,5.4
76,RAIPUR,1696,151.0,8,1.5,171,31.4,19,3.5
77,RAJKOT,386,27.7,1,0.2,18,2.7,4,0.6
78,RANCHI,402,35.7,6,1.1,11,2.0,6,1.1
79,SRINAGAR,16,1.3,0,0.0,266,44.6,90,15.1
80,SURAT,386,8.4,2,0.1,91,4.6,0,0.0
81,THIRUVANANTHAPURAM,989,58.6,1,0.1,299,34.3,33,3.8
82,THRISSUR,310,16.7,1,0.1,85,8.7,17,1.7
83,TIRUCHIRAPALLI,162,15.9,0,0.0,18,3.5,6,1.2
84,VADODARA,367,20.2,0,0.0,107,12.3,7,0.8
85,VARANASI,95,6.6,17,2.5,121,18.0,3,0.5
86,VASAI VIRAR,260,21.3,3,0.5,66,11.5,24,4.2
87,VIJAYAWADA,1955,131.1,12,1.6,249,33.6,456,61.6
88,VISHAKHAPATNAM,1356,78.4,8,0.9,149,17.4,100,11.7
,TOTAL (CITIES),40541,25.2,793,1.0,11913,15.5,3375,4.4
,,,,,,,,,
@ The rate of crime has been worked out using female population (Actual population 2011 provisional).,,,,,,,,,
,,,,,,,,,
217,,,,,,,,,
