TABLE-1.8 (Concluded),,,,,,,,,,,
,,,,,,,,,,,
SI. No.,State/UT,Cruelty by Husband or his Relatives (Sec. 498A IPC) (&,,Importation of Girls from Foreign Country (Sec. 366B IPC) (&,,Causing Death by Negligence (Sec. 304A IPC),,Other IPC Crimes,,Total Cognizable Crimes Under IPC,
,,i,R,i,R,I,R,i,R,i,R
,_O)_,_(53)_,(54),(55)_,(56)_,(57)_,(58),_(59),(60),_(61)_,(62)
STATES:,,,,,,,,,,,
1,ANDHRA PRADESH,15084,35.1,0,0.0,13641,15.8,48644,56.3,218015,252.1
2,ARUNACHAL PRADESH,29,4.8,0,0.0,129,10.1,734,57.6,2776,217.9
3,ASSAM,8636,56.4,2,0.0,3064,9.7,32675,103.9,87186,277.3
4,BIHAR,4533,9.3,7,0.0,4232,4.2,60356,59.9,167455,166.3
5,CHHATTISGARH,1181,9.5,1,0.0,3204,12.8,22772,91.0,56870,227.3
6,GOA,40,4.5,0,0.0,205,10.9,1175,62.3,4312,228.8
7,GUJARAT,7812,27.1,0,0.0,5864,9.6,100638,165.4,157435,258.8
8,HARYANA,3617,29.9,2,0.0,4242,16.1,22767,86.2,72098,273.0
9,HIMACHAL PRADESH,328,9.7,0,0.0,599,8.6,7258,104.6,13750,198.2
10,JAMMU & KASHMIR,428,7.4,0,0.0,370,3.1,14421,119.6,25390,210.5
11,JHARKHAND,2084,13.2,2,0.0,1788,5.5,17408,53.6,48208,148.4
12,KARNATAKA,3276,10.9,0,0.0,897,1.5,57117,93.9,136689,224.7
13,KERALA,4820,26.8,0,0.0,249,0.7,119628,340.7,176334,502.2
14,MADHYA PRADESH,4988,13.9,7,0.0,8203,11.0,114168,152.5,227453,303.8
15,MAHARASHTRA,8542,15.4,0,0.0,12575,10.8,55232,47.5,234385,201.7
16,MANIPUR,29,2.3,0,0.0,2,0.1,923,36.7,3178,126.3
17,MEGHALAYA,23,1.7,0,0.0,129,4.8,811,30.1,3259,121.1
18,MIZORAM,5,1.0,0,0.0,49,4.7,230,22.3,1709,165.6
19,NAGALAND,4,0.4,0,0.0,26,1.1,286,12.4,1216,52.6
20,ODISHA,2792,13.6,0,0.0,4039,9.7,19843,47.7,71718,172.5
21,PUNJAB,1741,13.3,0,0.0,3383,11.9,10400,36.6,36667,129.2
22,RAJASTHAN,15094,44.9,1,0.0,8572,12.2,76513,108.8,196224,279.2
23,SIKKIM,5,1.7,0,0.0,56,8.9,257,40.9,851,135.3
24,TAMIL NADU,2471,7.3,0,0.0,14944,21.8,127850,186.9,203579,297.6
25,TRIPURA,827,45.6,0,0.0,10,0.3,1578,42.5,6210,167.2
26,UTTAR PRADESH,8781,8.9,0,0.0,14345,6.9,80245,38.4,226445,108.4
27,UTTARAKHAND,435,8.7,0,0.0,569,5.5,2357,22.9,9546,92.9
28,WEST BENGAL,18116,40.8,9,0.0,4052,4.4,70738,77.4,169535,185.5
,TOTAL (STATES),115721,19.9,31,0.0,109438,9.1,1067024,88.6,2558493,212.4
UNION TERRITORIES,,,,,,,,,,,
29,A & N ISLANDS,9,3.6,0,0.0,6,1.1,323,61.5,612,116.6
30,CHANDIGARH,92,13.8,0,0.0,6,0.4,1146,71.4,4077,254.0
31,D & N HAVELI,1,0.6,0,0.0,16,4.1,139,35.5,314,80.1
32,DAMAN & DILI,2,2.0,0,0.0,35,11.8,52,17.5,246,82.8
33,DELHI,3033,34.5,0,0.0,1778,9.0,22130,112.3,80184,406.7
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0,18,23.1,40,51.3
35,PUDUCHERRY,8,1.1,0,0.0,238,15.5,1793,116.9,3756,244.9
,TOTAL (UTs),3145,29.3,0,0.0,2079,8.6,25601,106.0,89229,369.6
,TOTAL (ALL-INDIA),118866,20.1,31,0.0,111517,9.1,1092625,88.9,2647722,215.5
,,,,,,,,,,,
@ The rate of crime has been worked out using female population (mid-year projected).,,,,,,,,,,,
,,,,,,,,,,,
218,,,,,,,,,,,
