TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Rape*,,,,,,,,,,,
S.No.,,Total Rape (Custodial+ Other,,,Custodial Rape,,,,,,,,
,,,,,,,,,,,,,
,,than Custodial),,,Total Custodial,,,,Gang Rape,,,Other Rape,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27)
CITIES:,,,,,,,,,,,,,
1,Agra,38,38,4.7,0,0,0.0,0,0,0.0,0,0,0.0
2,Ahmedabad,100,100,3.3,0,0,0.0,0,0,0.0,0,0,0.0
3,Allahabad,20,20,3.6,0,0,0.0,0,0,0.0,0,0,0.0
4,Amritsar,34,34,6.1,0,0,0.0,0,0,0.0,0,0,0.0
5,Asansol,16,16,2.7,0,0,0.0,0,0,0.0,0,0,0.0
6,Aurangabad,27,29,4.7,0,0,0.0,0,0,0.0,0,0,0.0
7,Bengaluru,104,104,2.6,0,0,0.0,0,0,0.0,0,0,0.0
8,Bhopal,178,178,19.8,0,0,0.0,0,0,0.0,0,0,0.0
9,Chandigarh City,51,51,11.0,0,0,0.0,0,0,0.0,0,0,0.0
10,Chennai,65,65,1.5,0,0,0.0,0,0,0.0,0,0,0.0
11,Coimbatore,5,5,0.5,0,0,0.0,0,0,0.0,0,0,0.0
12,Delhi (City),1813,1815,23.9,0,0,0.0,0,0,0.0,0,0,0.0
13,Dhanbad,13,13,2.3,0,0,0.0,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,53,53,10.2,0,0,0.0,0,0,0.0,0,0,0.0
15,Faridabad,101,101,15.4,0,0,0.0,0,0,0.0,0,0,0.0
16,Ghaziabad,75,75,6.8,0,0,0.0,0,0,0.0,0,0,0.0
17,Gwalior,106,107,20.7,0,0,0.0,0,0,0.0,0,0,0.0
18,Flyderabad,126,126,3.3,0,0,0.0,0,0,0.0,0,0,0.0
19,Indore,185,185,17.8,0,0,0.0,0,0,0.0,0,0,0.0
20,Jabalpur,113,113,18.7,0,0,0.0,0,0,0.0,0,0,0.0
21,Jaipur,263,263,18.1,0,0,0.0,0,0,0.0,0,0,0.0
22,Jamshedpur,36,36,5.6,0,0,0.0,0,0,0.0,0,0,0.0
23,Jodhpur,68,68,12.6,0,0,0.0,0,0,0.0,0,0,0.0
24,Kannur,17,17,1.9,0,0,0.0,0,0,0.0,0,0,0.0
25,Kanpur,19,19,1.4,0,0,0.0,0,0,0.0,0,0,0.0
26,Kochi,64,64,6.0,0,0,0.0,0,0,0.0,0,0,0.0
27,Kolkata,36,36,0.5,0,0,0.0,0,0,0.0,0,0,0.0
28,Kollam,78,78,13.4,0,0,0.0,0,0,0.0,0,0,0.0
29,Kota,100,100,21.2,0,0,0.0,0,0,0.0,0,0,0.0
30,Kozhikode,35,35,3.3,0,0,0.0,0,0,0.0,0,0,0.0
31,Lucknow,52,52,3.8,0,0,0.0,0,0,0.0,0,0,0.0
32,Ludhiana,111,111,15.0,0,0,0.0,0,0,0.0,0,0,0.0
33,Madurai,6,6,0.8,0,0,0.0,0,0,0.0,0,0,0.0
34,Malappuram,10,10,1.1,0,0,0.0,0,0,0.0,0,0,0.0
35,Meerut,40,40,6.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Mumbai,607,616,7.1,0,0,0.0,0,0,0.0,0,0,0.0
37,Nagpur,113,114,9.2,0,0,0.0,0,0,0.0,0,0,0.0
38,Nasik,28,28,3.8,0,0,0.0,0,0,0.0,0,0,0.0
39,Patna,54,54,5.6,0,0,0.0,0,0,0.0,0,0,0.0
40,Pune,189,189,7.9,0,0,0.0,0,0,0.0,0,0,0.0
41,Raipur,88,88,16.2,0,0,0.0,0,0,0.0,0,0,0.0
42,Rajkot,17,17,2.6,0,0,0.0,0,0,0.0,0,0,0.0
43,Ranchi,46,46,8.5,0,0,0.0,0,0,0.0,0,0,0.0
44,Srinagar,12,12,2.0,0,0,0.0,0,0,0.0,0,0,0.0
45,Surat,94,94,4.8,0,0,0.0,0,0,0.0,0,0,0.0
46,Thiruvananthapuram,56,56,6.4,0,0,0.0,0,0,0.0,0,0,0.0
47,Thrissur,38,38,3.9,0,0,0.0,0,0,0.0,0,0,0.0
48,Tiruch irapalli,3,3,0.6,0,0,0.0,0,0,0.0,0,0,0.0
49,Vadodara,23,24,2.6,0,0,0.0,0,0,0.0,0,0,0.0
50,Varanasi,27,27,4.0,0,0,0.0,0,0,0.0,0,0,0.0
51,Vasai Virar,60,60,10.5,0,0,0.0,0,0,0.0,0,0,0.0
52,Vijayawada,64,64,8.6,0,0,0.0,0,0,0.0,0,0,0.0
53,Vishakhapatnam,84,84,9.8,0,0,0.0,0,0,0.0,0,0,0.0
,TOTAL CITIES,5761,5777,7.5,0,0,0.0,0,0,0.0,0,0,0.0
,,,,,,,,,,,,,
"'*' For women related crimes, the crime rate has been calculated using Female Population    TABLE    2.2-    Page:    2    of    22",,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 16 = Col. 19+ Col. 28; Col. 19 = Col. 22+ Col. 25,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 17 = Col. 20+ Col. 29; Col. 20 = Col. 23+ Col. 26,,,,,,,,,,,,,
