TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Kidnapping & Abduction,,,,,,,,,,,,,,
,,Kidnapping & Abduction (Total),,,Kidnapping & Abduction (Sec. 3631 PC),,,Kidnapping & Abduction in order to Murder (Section 364 IPC),,,Kidnapping for Ransom (Section 364-A IPC),,,K & A of Women To Compel Her For Marriage*,,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,333,333,19.1,197,197,11.3,83,83,4.8,7,7,0.4,46,46,5.7
2,Ahmedabad,367,367,5.8,102,102,1.6,0,0,0.0,8,8,0.1,201,201,6.7
3,Allahabad,103,103,8.5,9,9,0.7,0,0,0.0,0,0,0.0,52,52,9.3
4,Amritsar,78,81,6.6,3,3,0.3,3,3,0.3,0,0,0.0,47,47,8.5
5,Asansol,104,114,8.4,24,28,1.9,3,3,0.2,3,3,0.2,23,23,3.9
6,Aurangabad,63,64,5.3,32,33,2.7,0,0,0.0,0,0,0.0,16,16,2.8
7,Bengaluru,708,709,8.3,607,608,7.1,1,1,0.0,29,29,0.3,11,11,0.3
8,Bhopal,290,290,15.4,0,0,0.0,0,0,0.0,0,0,0.0,224,224,24.9
9,Chandigarh City,167,173,16.3,101,107,9.8,0,0,0.0,1,1,0.1,39,39,8.4
10,Chennai,36,36,0.4,12,12,0.1,1,1,0.0,2,2,0.0,16,16,0.4
11,Coimbatore,14,14,0.7,4,4,0.2,0,0,0.0,0,0,0.0,3,3,0.3
12,Delhi (City),6016,6323,36.9,5596,5872,34.3,0,0,0.0,35,35,0.2,1,1,0.0
13,Dhanbad,39,39,3.3,0,0,0.0,0,0,0.0,0,0,0.0,33,33,5.9
14,Durg-Bhilainagar,222,222,20.9,115,115,10.8,0,0,0.0,0,0,0.0,24,24,4.6
15,Faridabad,384,384,27.3,3,3,0.2,0,0,0.0,0,0,0.0,190,190,29.1
16,Ghaziabad,276,276,11.7,80,80,3.4,54,54,2.3,1,1,0.0,141,141,12.8
17,Gwalior,189,201,17.2,68,73,6.2,1,1,0.1,2,2,0.2,30,30,5.8
18,Flyderabad,374,374,4.8,235,235,3.0,0,0,0.0,1,1,0.0,6,6,0.2
19,Indore,439,439,20.3,370,370,17.1,1,1,0.0,3,3,0.1,46,46,4.4
20,Jabalpur,359,359,28.3,107,107,8.4,0,0,0.0,2,2,0.2,93,93,15.4
21,Jaipur,653,664,21.2,238,241,7.7,0,0,0.0,1,1,0.0,97,99,6.7
22,Jamshedpur,64,64,4.8,8,8,0.6,2,2,0.1,2,2,0.1,49,49,7.7
23,Jodhpur,108,109,9.5,14,15,1.2,0,0,0.0,0,0,0.0,34,34,6.3
24,Kannur,5,5,0.3,0,0,0.0,0,0,0.0,0,0,0.0,3,3,0.3
25,Kanpur,233,233,8.0,0,0,0.0,0,0,0.0,3,3,0.1,59,59,4.4
26,Kochi,4,4,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
27,Kolkata,341,350,2.4,110,114,0.8,2,2,0.0,19,19,0.1,109,109,1.6
28,Kollam,13,13,1.2,0,0,0.0,0,0,0.0,0,0,0.0,8,8,1.4
29,Kota,187,187,18.7,35,35,3.5,0,0,0.0,1,1,0.1,102,102,21.6
30,Kozhikode,2,2,0.1,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0
31,Lucknow,348,348,12.0,279,279,9.6,0,0,0.0,1,1,0.0,67,67,4.8
32,Ludhiana,246,328,15.2,0,0,0.0,0,0,0.0,0,0,0.0,113,113,15.3
33,Madurai,27,27,1.8,4,4,0.3,0,0,0.0,0,0,0.0,13,13,1.8
34,Malappuram,3,3,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
35,Meerut,233,233,16.4,0,0,0.0,0,0,0.0,0,0,0.0,151,151,22.5
36,Mumbai,541,557,2.9,451,459,2.4,1,1,0.0,3,3,0.0,15,15,0.2
37,Nagpur,145,164,5.8,97,107,3.9,0,0,0.0,0,0,0.0,46,55,3.8
38,Nasik,59,64,3.8,50,52,3.2,3,3,0.2,1,1,0.1,3,3,0.4
39,Patna,599,599,29.3,0,0,0.0,13,13,0.6,11,11,0.5,359,359,37.4
40,Pune,228,244,4.5,106,108,2.1,0,0,0.0,0,0,0.0,47,61,2.0
41,Raipur,171,177,15.2,145,151,12.9,1,1,0.1,0,0,0.0,21,21,3.9
42,Rajkot,99,100,7.1,27,28,1.9,0,0,0.0,4,4,0.3,52,52,7.9
43,Ranchi,107,107,9.5,0,0,0.0,0,0,0.0,6,6,0.5,88,88,16.3
44,Srinagar,71,71,5.6,37,37,2.9,3,3,0.2,0,0,0.0,0,0,0.0
45,Surat,263,276,5.7,123,133,2.7,0,0,0.0,5,5,0.1,101,104,5.1
46,Thiruvananthapuram,14,14,0.8,10,10,0.6,0,0,0.0,0,0,0.0,3,3,0.3
47,Thrissur,8,8,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
48,Tiruch irapalli,7,7,0.7,3,3,0.3,0,0,0.0,0,0,0.0,0,0,0.0
49,Vadodara,93,100,5.1,22,26,1.2,0,0,0.0,1,1,0.1,56,56,6.4
50,Varanasi,97,97,6.8,0,0,0.0,0,0,0.0,0,0,0.0,87,87,12.9
51,Vasai Virar,85,94,7.0,27,31,2.2,0,0,0.0,1,1,0.1,1,1,0.2
52,Vijayawada,42,42,2.8,13,13,0.9,1,1,0.1,1,1,0.1,11,11,1.5
53,Vishakhapatnam,130,130,7.5,130,130,7.5,0,0,0.0,0,0,0.0,0,0,0.0
