TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No,Cities,Other Kidnapping & Abduction,,,Dacoity,,,,,,,,,Making Preparation and Assembly for Committing Dacoity,,
,,,,,Total Dacoity,,,Dacoity with Murder (Section 396 IPC),,,Others,,,,,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,0,0,0.0,7,7,0.4,1,1,0.1,6,6,0.3,6,6,0.3
2,Ahmedabad,56,56,0.9,18,20,0.3,0,0,0.0,18,20,0.3,2,2,0.0
3,Allahabad,42,42,3.5,2,2,0.2,0,0,0.0,2,2,0.2,0,0,0.0
4,Amritsar,25,28,2.1,1,1,0.1,0,0,0.0,1,1,0.1,12,12,1.0
5,Asansol,51,57,4.1,5,5,0.4,0,0,0.0,5,5,0.4,30,30,2.4
6,Aurangabad,15,15,1.3,25,25,2.1,0,0,0.0,25,25,2.1,15,0,1.3
7,Bengaluru,60,60,0.7,51,51,0.6,0,0,0.0,51,51,0.6,347,347,4.1
8,Bhopal,66,66,3.5,8,8,0.4,0,0,0.0,8,8,0.4,0,0,0.0
9,Chandigarh City,26,26,2.5,4,4,0.4,0,0,0.0,4,4,0.4,2,2,0.2
10,Chennai,5,5,0.1,8,8,0.1,0,0,0.0,8,8,0.1,0,0,0.0
11,Coimbatore,7,7,0.3,5,5,0.2,0,0,0.0,5,5,0.2,0,0,0.0
12,Delhi (City),384,415,2.4,65,66,0.4,1,1,0.0,64,65,0.4,5,0,0.0
13,Dhanbad,6,6,0.5,7,7,0.6,0,0,0.0,7,7,0.6,1,1,0.1
14,Durg-Bhilainagar,83,83,7.8,2,2,0.2,0,0,0.0,2,2,0.2,0,0,0.0
15,Faridabad,191,191,13.6,7,7,0.5,0,0,0.0,7,7,0.5,4,4,0.3
16,Ghaziabad,0,0,0.0,6,6,0.3,0,0,0.0,6,6,0.3,5,5,0.2
17,Gwalior,88,95,8.0,5,5,0.5,0,0,0.0,5,5,0.5,34,34,3.1
18,Flyderabad,132,132,1.7,9,9,0.1,0,0,0.0,9,9,0.1,0,0,0.0
19,Indore,19,19,0.9,1,1,0.0,0,0,0.0,1,1,0.0,2,2,0.1
20,Jabalpur,157,157,12.4,0,0,0.0,0,0,0.0,0,0,0.0,4,4,0.3
21,Jaipur,317,323,10.3,3,3,0.1,0,0,0.0,3,3,0.1,14,14,0.5
22,Jamshedpur,3,3,0.2,5,8,0.4,0,0,0.0,5,8,0.4,2,2,0.1
23,Jodhpur,60,60,5.3,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.1
24,Kannur,2,2,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
25,Kanpur,171,171,5.9,3,3,0.1,0,0,0.0,3,3,0.1,2,2,0.1
26,Kochi,3,3,0.1,2,2,0.1,0,0,0.0,2,2,0.1,9,9,0.4
27,Kolkata,101,106,0.7,3,4,0.0,0,0,0.0,3,4,0.0,19,19,0.1
28,Kollam,5,5,0.5,2,2,0.2,0,0,0.0,2,2,0.2,0,0,0.0
29,Kota,49,49,4.9,1,7,0.1,1,7,0.1,0,0,0.0,4,0,0.4
30,Kozhikode,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0
31,Lucknow,1,1,0.0,1,1,0.0,0,0,0.0,1,1,0.0,0,0,0.0
32,Ludhiana,133,215,8.2,2,2,0.1,0,0,0.0,2,2,0.1,24,0,1.5
33,Madurai,10,10,0.7,4,4,0.3,0,0,0.0,4,4,0.3,0,0,0.0
34,Malappuram,2,2,0.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Meerut,82,82,5.8,8,8,0.6,0,0,0.0,8,8,0.6,1,1,0.1
36,Mumbai,71,79,0.4,34,35,0.2,0,0,0.0,34,35,0.2,14,14,0.1
37,Nagpur,2,2,0.1,16,16,0.6,1,1,0.0,15,15,0.6,16,16,0.6
38,Nasik,2,5,0.1,13,13,0.8,0,0,0.0,13,13,0.8,29,29,1.9
39,Patna,216,216,10.6,28,28,1.4,0,0,0.0,28,28,1.4,0,0,0.0
40,Pune,75,75,1.5,92,97,1.8,2,2,0.0,90,95,1.8,33,40,0.7
41,Raipur,4,4,0.4,2,2,0.2,0,0,0.0,2,2,0.2,0,0,0.0
