TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Robbery,,,Criminal Trespass/Burglary,,,,,,,,
,,,,,Criminal Trespass/Burglary Total,,,Criminal Trespass/Burglary (Section 457 & 458 IPC),,,House Trespass & House Breaking (Section 459 & 460 IPC),,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81)
CITIES:,,,,,,,,,,,,,
1,Agra,149,149,8.5,236,236,13.5,42,42,2.4,194,194,11.1
2,Ahmedabad,261,262,4.1,BOO,507,7.9,235,238,3.7,265,269,4.2
3,Allahabad,83,83,6.8,190,190,15.6,190,190,15.6,0,0,0.0
4,Amritsar,13,13,1.1,127,127,10.7,122,122,10.3,5,5,0.4
5,Asansol,12,12,1.0,10,10,0.8,10,10,0.8,0,0,0.0
6,Aurangabad,204,204,17.2,267,267,22.5,210,210,17.7,57,57,4.8
7,Bengaluru,1067,1073,12.6,1542,1542,18.1,1115,1115,13.1,427,427,5.0
8,Bhopal,99,99,5.3,841,841,44.7,0,0,0.0,841,841,44.7
9,Chandigarh City,61,65,5.9,127,127,12.4,81,81,7.9,46,46,4.5
10,Chennai,72,72,0.8,368,368,4.2,275,275,3.2,93,93,1.1
11,Coimbatore,123,123,5.7,166,166,7.7,134,134,6.2,32,32,1.5
12,Delhi (City),5847,5847,35.8,8839,9087,54.2,5663,5746,34.7,3176,3341,19.5
13,Dhanbad,8,8,0.7,68,68,5.7,0,0,0.0,68,68,5.7
14,Durg-Bhilainagar,52,52,4.9,318,318,29.9,0,0,0.0,318,318,29.9
IB,Faridabad,40,40,2.8,412,412,29.3,319,319,22.7,93,93,6.6
16,Ghaziabad,72,72,3.1,122,122,5.2,122,122,5.2,0,0,0.0
17,Gwalior,74,76,6.7,536,536,48.6,480,480,43.6,56,56,5.1
18,Flyderabad,58,58,0.7,754,754,9.7,613,613,7.9,141,141,1.8
19,Indore,283,283,13.1,1388,1388,64.1,1388,1388,64.1,0,0,0.0
20,Jabalpur,107,107,8.4,374,374,29.5,313,313,24.7,61,61,4.8
21,Jaipur,356,357,11.6,1229,1231,40.0,1037,1038,33.7,192,193,6.2
22,Jamshedpur,30,42,2.2,IBB,184,11.6,142,169,10.6,13,IB,1.0
23,Jodhpur,120,120,10.5,297,297,26.1,131,131,11.5,166,166,14.6
24,Kannur,42,42,2.6,67,67,4.1,44,44,2.7,23,23,1.4
25,Kanpur,96,96,3.3,162,162,5.5,162,162,5.5,0,0,0.0
26,Kochi,17,18,0.8,157,165,7.4,124,132,5.9,33,33,1.6
27,Kolkata,33,35,0.2,62,63,0.4,44,44,0.3,18,19,0.1
28,Kollam,63,63,5.7,95,95,8.6,9,9,0.8,86,86,7.7
29,Kota,27,27,2.7,135,135,13.5,31,31,3.1,104,104,10.4
30,Kozhikode,52,52,2.6,183,183,9.0,136,136,6.7,47,47,2.3
31,Lucknow,72,72,2.5,568,568,19.6,345,345,11.9,223,223,7.7
32,Ludhiana,23,23,1.4,259,259,16.0,7,7,0.4,252,252,15.6
33,Madurai,118,118,8.1,123,123,8.4,114,114,7.8,9,9,0.6
34,Malappuram,13,13,0.8,46,46,2.7,43,43,2.5,3,3,0.2
35,Meerut,166,166,11.6,192,192,13.5,4,4,0.3,188,188,13.2
36,Mumbai,2094,2102,11.4,3055,3062,16.6,2531,2538,13.7,524,524,2.8
37,Nagpur,BOB,BOB,20.2,1074,1074,43.0,828,828,33.1,246,246,9.8
38,Nasik,124,124,7.9,299,299,19.1,254,254,16.3,45,45,2.9
39,Patna,149,149,7.3,568,568,27.7,568,568,27.7,0,0,0.0
40,Pune,873,877,17.3,1362,1412,27.0,953,953,18.9,409,459,8.1
41,Raipur,61,61,5.4,367,367,32.7,336,336,29.9,31,31,2.8
42,Rajkot,91,91,6.5,176,176,12.7,38,38,2.7,138,138,9.9
43,Ranchi,61,61,5.4,204,204,18.1,12,12,1.1,192,192,17.0
44,Srinagar,36,36,2.8,238,238,18.7,0,0,0.0,238,238,18.7
45,Surat,30,30,0.7,257,257,5.6,182,182,4.0,75,75,1.6
46,Thiruvananthapuram,59,59,3.5,147,147,8.7,115,115,6.8,32,32,1.9
47,Thrissur,34,34,1.8,83,83,4.5,62,62,3.3,21,21,1.1
48,Tiruch irapalli,24,24,2.3,41,41,4.0,0,0,0.0,41,41,4.0
49,Vadodara,117,117,6.4,502,BOB,27.6,0,0,0.0,502,BOB,27.6
50,Varanasi,32,32,2.2,81,81,5.6,0,0,0.0,81,81,5.6
51,Vasai Virar,178,178,14.6,468,468,38.3,351,351,28.7,117,117,9.6
52,Vijayawada,48,48,3.2,345,345,23.1,106,106,7.1,239,239,16.0
53,Vishakhapatnam,46,46,2.7,392,392,22.7,334,334,19.3,58,58,3.4
,TOTAL CITIES,14475,14516,9.0,30574,30929,19.0,20355,20484,12.7,10219,10445,6.4
,,,,,,,,,,,,,
TABLE 2.2- Page: 6 of 22,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 73 = Col. 76+ Col. 79,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 74 = Col. 77+ Col. 80,,,,,,,,,,,,,
