TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Theft,,,,,,,,,Unlawful Assembly,,
,,Total Theft,,,Auto Theft,,,Other Theft,,,,,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93)
CITIES:,,,,,,,,,,,,,
1,Agra,3047,3047,174.5,2466,2466,141.2,581,581,33.3,0,0,0.0
2,Ahmedabad,2589,2620,40.8,1693,1717,26.7,896,903,14.1,18,22,0.3
3,Allahabad,1647,1647,135.3,1325,1325,108.9,322,322,26.5,0,0,0.0
4,Amritsar,324,324,27.4,93,93,7.9,231,231,19.5,0,0,0.0
5,Asansol,607,642,48.8,278,290,22.4,329,352,26.5,0,0,0.0
6,Aurangabad,1419,1419,119.3,706,706,59.4,713,713,60.0,36,36,3.0
7,Bengaluru,11455,11459,134.8,5075,5075,59.7,6380,6384,75.1,0,0,0.0
8,Bhopal,2706,2706,143.7,1765,1765,93.7,941,941,50.0,0,0,0.0
9,Chandigarh City,1217,1223,118.6,791,793,77.1,426,430,41.5,0,0,0.0
10,Chennai,1520,1520,17.5,252,252,2.9,1268,1268,14.6,124,124,1.4
11,Coimbatore,353,353,16.4,113,113,5.3,240,240,11.2,56,56,2.6
12,Delhi (City),71937,72266,440.9,21321,21350,130.7,50616,50916,310.2,0,0,0.0
13,Dhanbad,341,341,28.5,188,188,15.7,153,153,12.8,0,0,0.0
14,Durg-Bhilainagar,751,751,70.6,365,365,34.3,386,386,36.3,0,0,0.0
15,Faridabad,2079,2079,148.0,1736,1736,123.6,343,343,24.4,0,0,0.0
16,Ghaziabad,2539,2539,107.6,1998,1998,84.7,541,541,22.9,1,1,0.0
17,Gwalior,1622,1622,147.2,1226,1226,111.3,396,396,35.9,0,0,0.0
18,Flyderabad,4266,4266,55.1,1396,1396,18.0,2870,2870,37.0,4,4,0.1
19,Indore,5914,5914,272.9,4410,4410,203.5,1504,1504,69.4,6,6,0.3
20,Jabalpur,713,713,56.2,496,496,39.1,217,217,17.1,0,0,0.0
21,Jaipur,7071,7079,230.1,5113,5115,166.4,1958,1964,63.7,347,365,11.3
22,Jamshedpur,808,836,60.4,412,412,30.8,396,424,29.6,2,2,0.1
23,Jodhpur,993,993,87.3,653,653,57.4,340,340,29.9,0,0,0.0
24,Kannur,47,47,2.9,23,23,1.4,24,24,1.5,0,0,0.0
25,Kanpur,1101,1101,37.7,854,854,29.2,247,247,8.5,0,0,0.0
26,Kochi,331,335,15.6,108,108,5.1,223,227,10.5,140,224,6.6
27,Kolkata,4579,4579,32.4,740,740,5.2,3839,3839,27.2,113,113,0.8
28,Kollam,143,143,12.9,65,65,5.9,78,78,7.0,0,0,0.0
29,Kota,890,890,88.9,615,615,61.4,275,275,27.5,48,48,4.8
30,Kozhikode,282,282,13.9,165,165,8.1,117,117,5.8,0,0,0.0
31,Lucknow,2937,2952,101.2,2037,2040,70.2,900,912,31.0,16,34,0.6
32,Ludhiana,603,603,37.4,209,209,12.9,394,394,24.4,0,0,0.0
33,Madurai,576,576,39.4,389,389,26.6,187,187,12.8,0,0,0.0
34,Malappuram,72,72,4.2,31,31,1.8,41,41,2.4,0,0,0.0
35,Meerut,2715,2715,190.5,2150,2150,150.9,565,565,39.6,0,0,0.0
36,Mumbai,10101,10110,54.9,3598,3599,19.5,6503,6511,35.3,6,6,0.0
37,Nagpur,2962,2962,118.6,1604,1604,64.2,1358,1358,54.4,36,36,1.4
38,Nasik,1053,1053,67.4,685,685,43.8,368,368,23.5,2,2,0.1
39,Patna,3653,3653,178.5,2058,2058,100.5,1595,1595,77.9,0,0,0.0
40,Pune,4867,4871,96.4,2782,2784,55.1,2085,2087,41.3,10,17,0.2
41,Raipur,1340,1340,119.3,761,761,67.8,579,579,51.6,0,0,0.0
42,Rajkot,835,835,60.0,671,671,48.2,164,164,11.8,14,14,1.0
43,Ranchi,1834,1834,162.7,1149,1149,102.0,685,685,60.8,0,0,0.0
44,Srinagar,375,375,29.5,240,240,18.9,135,135,10.6,0,0,0.0
45,Surat,1315,1315,28.7,886,886,19.3,429,429,9.4,5,5,0.1
46,Thiruvananthapuram,325,325,19.3,88,88,5.2,237,237,14.0,2,2,0.1
47,Thrissur,165,165,8.9,57,57,3.1,108,108,5.8,84,84,4.5
48,Tiruch irapalli,307,307,30.0,66,66,6.5,241,241,23.6,0,0,0.0
49,Vadodara,1242,1242,68.4,820,820,45.1,422,422,23.2,17,17,0.9
50,Varanasi,596,596,41.5,420,420,29.3,176,176,12.3,2,2,0.1
51,Vasai Virar,790,790,64.7,375,375,30.7,415,415,34.0,2,2,0.2
52,Vijayawada,2016,2016,135.2,685,685,45.9,1331,1331,89.3,25,25,1.7
53,Vishakhapatnam,1358,1358,78.5,401,401,23.2,957,957,55.3,0,0,0.0
,TOTAL CITIES,175328,175801,109.1,78603,78678,48.9,96725,97123,60.2,1116,1247,0.7
,,,,,,,,,,,,,
TABLE 2.2- Page: 7 of 22,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 82 = Col 85+ Col. 88,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 83 = Col 86+ Col. 89,,,,,,,,,,,,,
