TABLE 2.2(Continued),,,,,,,,,,
,,,,,,,,,,
S.No.,Cities,Riots,,,Criminal Breach of Trust,,,Cheating,,
,,Riots Others (excluding previous columns),,,,,,,,
,,1,V,R,1,V,R,1,V,R
(i),(2),(124),(125),(126),(127),(128),(129),(130),(131),(132)
CITIES:,,,,,,,,,,
1,Agra,242,242,13.9,73,73,4.2,299,299,17.1
2,Ahmedabad,59,159,0.9,169,169,2.7,214,214,3.4
3,Allahabad,21,36,1.7,59,59,4.8,299,299,24.6
4,Amritsar,0,0,0.0,24,24,2.0,307,307,25.9
5,Asansol,181,284,14.6,98,118,7.9,136,161,10.9
6,Aurangabad,134,134,11.3,IB,IB,1.3,197,197,16.6
7,Bengaluru,373,450,4.4,107,110,1.3,3045,3098,35.8
8,Bhopal,41,41,2.2,20,20,1.1,197,197,10.5
9,Chandigarh City,25,39,2.4,22,22,2.1,242,249,23.6
10,Chennai,118,118,1.4,6,6,0.1,553,553,6.4
11,Coimbatore,25,25,1.2,8,8,0.4,177,177,8.2
12,Delhi (City),119,271,0.7,593,593,3.6,4119,4178,25.2
13,Dhanbad,57,57,4.8,68,68,5.7,21,21,1.8
14,Durg-Bhilainagar,34,34,3.2,13,13,1.2,92,92,8.6
IB,Faridabad,0,0,0.0,200,200,14.2,50,50,3.6
16,Ghaziabad,37,37,1.6,125,125,5.3,329,329,13.9
17,Gwalior,68,148,6.2,51,51,4.6,121,121,11.0
18,Flyderabad,29,29,0.4,97,97,1.3,2557,2557,33.0
19,Indore,47,47,2.2,30,30,1.4,156,156,7.2
20,Jabalpur,37,50,2.9,7,7,0.6,89,89,7.0
21,Jaipur,66,72,2.1,320,320,10.4,4634,4674,150.8
22,Jamshedpur,82,236,6.1,101,190,7.6,381,935,28.5
23,Jodhpur,3,4,0.3,14,14,1.2,537,537,47.2
24,Kannur,163,178,9.9,2,2,0.1,47,48,2.9
25,Kanpur,97,97,3.3,125,125,4.3,337,337,11.5
26,Kochi,57,127,2.7,IB,18,0.7,749,838,35.4
27,Kolkata,315,315,2.2,338,338,2.4,1914,1914,13.6
28,Kollam,276,279,24.9,9,9,0.8,187,189,16.8
29,Kota,0,0,0.0,9,9,0.9,917,917,91.6
30,Kozhikode,189,189,9.3,34,34,1.7,259,259,12.8
31,Lucknow,65,86,2.2,459,459,15.8,841,841,29.0
32,Ludhiana,0,0,0.0,29,29,1.8,349,353,21.6
33,Madurai,23,23,1.6,8,8,0.5,247,247,16.9
34,Malappuram,154,174,9.1,4,4,0.2,98,98,5.8
35,Meerut,153,153,10.7,67,67,4.7,259,259,18.2
36,Mumbai,400,476,2.2,672,695,3.6,2594,2617,14.1
37,Nagpur,147,147,5.9,52,52,2.1,394,396,15.8
38,Nasik,63,69,4.0,26,26,1.7,130,131,8.3
39,Patna,470,558,23.0,60,60,2.9,1102,1102,53.8
40,Pune,238,238,4.7,70,72,1.4,770,796,15.2
41,Raipur,43,43,3.8,29,29,2.6,252,252,22.4
42,Rajkot,61,63,4.4,70,70,5.0,18,18,1.3
43,Ranchi,47,47,4.2,32,32,2.8,206,206,18.3
44,Srinagar,130,130,10.2,9,9,0.7,77,77,6.0
45,Surat,30,56,0.7,26,26,0.6,329,329,7.2
46,Thiruvananthapuram,226,226,13.4,19,19,1.1,294,294,17.4
47,Thrissur,73,75,3.9,14,14,0.8,362,366,19.5
48,Tiruch irapalli,10,10,1.0,0,0,0.0,102,102,10.0
49,Vadodara,41,49,2.3,18,18,1.0,195,201,10.7
50,Varanasi,34,34,2.4,124,124,8.6,313,313,21.8
51,Vasai Virar,95,129,7.8,28,28,2.3,213,213,17.4
52,Vijayawada,2,2,0.1,68,68,4.6,391,391,26.2
53,Vishakhapatnam,0,0,0.0,71,71,4.1,413,413,23.9
,TOTAL CITIES,5400,6486,3.4,4707,4847,2.9,33111,34007,20.6
,,,,,,,,,,
TABLE 2.2- Page: 11 of 22,,,,,,,,,,
