TABLE 2.2(Continued),,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,Cities,Forgery,,,Counterfeiting,,,,,,,,
,,,,,Counterfeiting Total,,,"Offences Related to Counterfeit Coin (Section 231-235,237, 238-240 & 242-243 IPC)",,,Counterfeiting Government Stamp (Section 255 IPC),,
,,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(133),(134),(135),(136),(137),(138),(139),(140),(141),(142),(143),(144)
CITIES:,,,,,,,,,,,,,
1,Agra,0,0,0.0,6,6,0.3,0,0,0.0,0,0,0.0
2,Ahmedabad,5,5,0.1,11,11,0.2,0,0,0.0,0,0,0.0
3,Allahabad,0,0,0.0,6,6,0.5,0,0,0.0,0,0,0.0
4,Amritsar,2,2,0.2,2,2,0.2,0,0,0.0,0,0,0.0
5,Asansol,68,76,5.5,2,2,0.2,0,0,0.0,0,0,0.0
6,Aurangabad,4,4,0.3,2,2,0.2,0,0,0.0,0,0,0.0
7,Bengaluru,43,43,0.5,29,29,0.3,0,0,0.0,0,0,0.0
8,Bhopal,3,3,0.2,5,5,0.3,0,0,0.0,0,0,0.0
9,Chandigarh City,3,3,0.3,0,0,0.0,0,0,0.0,0,0,0.0
10,Chennai,67,67,0.8,74,74,0.9,0,0,0.0,0,0,0.0
11,Coimbatore,1,1,0.0,2,2,0.1,0,0,0.0,0,0,0.0
12,Delhi (City),354,591,2.2,72,72,0.4,1,1,0.0,0,0,0.0
13,Dhanbad,24,24,2.0,1,1,0.1,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,1,1,0.1,6,6,0.6,0,0,0.0,0,0,0.0
15,Faridabad,107,107,7.6,4,4,0.3,0,0,0.0,0,0,0.0
16,Ghaziabad,0,0,0.0,1,1,0.0,0,0,0.0,0,0,0.0
17,Gwalior,3,3,0.3,0,0,0.0,0,0,0.0,0,0,0.0
18,Flyderabad,43,43,0.6,37,37,0.5,0,0,0.0,0,0,0.0
19,Indore,47,47,2.2,5,5,0.2,0,0,0.0,0,0,0.0
20,Jabalpur,9,9,0.7,2,2,0.2,0,0,0.0,0,0,0.0
21,Jaipur,1,1,0.0,6,6,0.2,0,0,0.0,0,0,0.0
22,Jamshedpur,41,61,3.1,0,0,0.0,0,0,0.0,0,0,0.0
23,Jodhpur,532,534,46.7,2,2,0.2,0,0,0.0,0,0,0.0
24,Kannur,0,0,0.0,1,1,0.1,0,0,0.0,0,0,0.0
25,Kanpur,0,0,0.0,6,6,0.2,0,0,0.0,0,0,0.0
26,Kochi,1,1,0.0,3,3,0.1,0,0,0.0,0,0,0.0
27,Kolkata,0,0,0.0,24,24,0.2,0,0,0.0,0,0,0.0
28,Kollam,14,14,1.3,2,2,0.2,0,0,0.0,0,0,0.0
29,Kota,0,0,0.0,2,2,0.2,0,0,0.0,0,0,0.0
30,Kozhikode,3,3,0.1,9,9,0.4,0,0,0.0,0,0,0.0
31,Lucknow,44,45,1.5,7,7,0.2,0,0,0.0,0,0,0.0
32,Ludhiana,0,0,0.0,1,1,0.1,0,0,0.0,0,0,0.0
33,Madurai,0,0,0.0,27,27,1.8,0,0,0.0,0,0,0.0
34,Malappuram,0,0,0.0,1,1,0.1,0,0,0.0,0,0,0.0
35,Meerut,0,0,0.0,6,6,0.4,0,0,0.0,0,0,0.0
36,Mumbai,980,986,5.3,39,39,0.2,0,0,0.0,0,0,0.0
37,Nagpur,2,2,0.1,3,3,0.1,0,0,0.0,0,0,0.0
38,Nasik,1,1,0.1,12,12,0.8,0,0,0.0,0,0,0.0
39,Patna,0,0,0.0,1,1,0.0,1,1,0.0,0,0,0.0
40,Pune,8,8,0.2,14,14,0.3,0,0,0.0,0,0,0.0
41,Raipur,0,0,0.0,3,3,0.3,0,0,0.0,0,0,0.0
42,Rajkot,3,3,0.2,3,3,0.2,0,0,0.0,0,0,0.0
43,Ranchi,55,55,4.9,2,2,0.2,0,0,0.0,0,0,0.0
44,Srinagar,0,0,0.0,5,5,0.4,0,0,0.0,0,0,0.0
45,Surat,18,18,0.4,7,7,0.2,0,0,0.0,0,0,0.0
46,Thiruvananthapuram,23,23,1.4,14,14,0.8,0,0,0.0,0,0,0.0
47,Thrissur,4,0,0.2,3,3,0.2,0,0,0.0,0,0,0.0
48,Tiruch irapalli,0,0,0.0,2,2,0.2,0,0,0.0,0,0,0.0
49,Vadodara,9,9,0.5,4,4,0.2,0,0,0.0,0,0,0.0
50,Varanasi,0,0,0.0,5,5,0.3,0,0,0.0,0,0,0.0
51,Vasai Virar,11,11,0.9,10,1,0.8,0,0,0.0,0,0,0.0
52,Vijayawada,46,46,3.1,12,12,0.8,0,0,0.0,0,0,0.0
53,Vishakhapatnam,3,3,0.2,7,7,0.4,0,0,0.0,0,0,0.0
,TOTAL CITIES,2583,2853,1.6,510,501,0.3,2,2,0.0,0,0,0.0
,,,,,,,,,,,,,
TABLE 2.2- Page: 12 of 22,,,,,,,,,,,,,
,,,,,,,,,,,,,
Col. 136 = Col. 139+ Col. 142+ Col. 145,,,,,,,,,,,,,
Col. 137 = Col. 140+ Col. 143+ Col. 146,,,,,,,,,,,,,
