TABLE 2.2(Continued),,,,,,,,,,
,,,,,,,,,,
S.No.,Cities,Counterfeiting,,,,,,,,
,,Counterfeit Currency & Bank Notes (Section 489-A To 489-E IPC),,,,,,,,
,,Counterfeit Currency & Bank Notes Total,,,Counterfeiting Currency- Notes or Bank Notes (Section 489A IPC),,,"Using As Genuine, Forged or Counterfeiting Currency / Bank Notes (Section 489B IPC)",,
,,1,V,R,1,V,R,1,V,R
(i),(2),(145),(146),(147),(148),(149),(150),(151),(152),(153)
CITIES:,,,,,,,,,,
1,Agra,6,6,0.3,6,6,0.3,0,0,0.0
2,Ahmedabad,11,11,0.2,2,2,0.0,1,1,0.0
3,Allahabad,6,6,0.5,6,6,0.5,0,0,0.0
4,Amritsar,2,2,0.2,2,2,0.2,0,0,0.0
5,Asansol,2,2,0.2,2,2,0.2,0,0,0.0
6,Aurangabad,2,2,0.2,2,2,0.2,0,0,0.0
7,Bengaluru,29,29,0.3,13,13,0.2,13,13,0.2
8,Bhopal,5,5,0.3,0,0,0.0,0,0,0.0
9,Chandigarh City,0,0,0.0,0,0,0.0,0,0,0.0
10,Chennai,74,74,0.9,0,0,0.0,74,74,0.9
11,Coimbatore,2,2,0.1,0,0,0.0,0,0,0.0
12,Delhi (City),71,71,0.4,5,5,0.0,5,5,0.0
13,Dhanbad,1,1,0.1,1,1,0.1,0,0,0.0
14,Durg-Bhilainagar,6,6,0.6,0,0,0.0,6,6,0.6
15,Faridabad,4,4,0.3,0,0,0.0,4,4,0.3
16,Ghaziabad,1,1,0.0,1,1,0.0,0,0,0.0
17,Gwalior,0,0,0.0,0,0,0.0,0,0,0.0
18,Flyderabad,37,37,0.5,6,6,0.1,26,26,0.3
19,Indore,5,5,0.2,4,4,0.2,0,0,0.0
20,Jabalpur,2,2,0.2,2,2,0.2,0,0,0.0
21,Jaipur,6,6,0.2,1,1,0.0,4,4,0.1
22,Jamshedpur,0,0,0.0,0,0,0.0,0,0,0.0
23,Jodhpur,2,2,0.2,0,0,0.0,2,2,0.2
24,Kannur,1,1,0.1,0,0,0.0,1,1,0.1
25,Kanpur,6,6,0.2,6,6,0.2,0,0,0.0
26,Kochi,3,3,0.1,3,3,0.1,0,0,0.0
27,Kolkata,24,24,0.2,19,19,0.1,3,3,0.0
28,Kollam,2,2,0.2,2,2,0.2,0,0,0.0
29,Kota,2,2,0.2,2,2,0.2,0,0,0.0
30,Kozhikode,9,9,0.4,7,7,0.3,1,1,0.0
31,Lucknow,7,7,0.2,3,3,0.1,4,4,0.1
32,Ludhiana,1,1,0.1,1,1,0.1,0,0,0.0
33,Madurai,27,27,1.8,27,27,1.8,0,0,0.0
34,Malappuram,1,1,0.1,1,1,0.1,0,0,0.0
35,Meerut,6,6,0.4,6,6,0.4,0,0,0.0
36,Mumbai,39,39,0.2,26,26,0.1,8,8,0.0
37,Nagpur,3,3,0.1,3,3,0.1,0,0,0.0
38,Nasik,12,12,0.8,11,11,0.7,1,1,0.1
39,Patna,0,0,0.0,0,0,0.0,0,0,0.0
40,Pune,14,14,0.3,14,14,0.3,0,0,0.0
41,Raipur,3,3,0.3,3,3,0.3,0,0,0.0
42,Rajkot,3,3,0.2,0,0,0.0,3,3,0.2
43,Ranchi,2,2,0.2,0,0,0.0,0,0,0.0
44,Srinagar,5,5,0.4,5,5,0.4,0,0,0.0
45,Surat,7,7,0.2,4,4,0.1,3,3,0.1
46,Thiruvananthapuram,14,14,0.8,0,0,0.0,0,0,0.0
47,Thrissur,3,3,0.2,3,3,0.2,0,0,0.0
48,Tiruch irapalli,2,2,0.2,2,2,0.2,0,0,0.0
49,Vadodara,4,4,0.2,4,4,0.2,0,0,0.0
50,Varanasi,5,5,0.3,5,5,0.3,0,0,0.0
51,Vasai Virar,10,1,0.8,0,0,0.0,10,1,0.8
52,Vijayawada,12,12,0.8,0,0,0.0,12,12,0.8
53,Vishakhapatnam,7,7,0.4,7,7,0.4,0,0,0.0
,TOTAL CITIES,508,499,0.3,217,217,0.1,181,172,0.1
,,,,,,,,,,
TABLE 2.2- Page: 13 of 22,,,,,,,,,,
,,,,,,,,,,
Col. 145 = Col. 148+ Col. 151+ Col. 154 + Col. 157+ Col. 160,,,,,,,,,,
,,,,,,,,,,
Col. 146 = Col. 149+ Col. 152+ Col. 155 + Col. 158+ Col. 161,,,,,,,,,,
