TABLE 2.2(Continued),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Cruelty By Husband or His Relatives *,,,Importation of Girls From Foreign Country *,,,Causing Death By Negligence,,,,,,,,
,,,,,,,,Causing Death By Negligence (Total),,,Deaths due to Rash/Negligent Driving,,,Deaths due to Other Causes,,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(214),(215),(216),(217),(218),(219),(220),(221),(222),(223),(224),(225),(226),(227),(228)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,367,367,45.6,0,0,0.0,189,189,10.8,168,168,9.6,21,21,1.2
2,Ahmedabad,802,805,26.7,0,0,0.0,330,339,5.2,324,331,5.1,6,8,0.1
3,Allahabad,176,176,31.4,0,0,0.0,78,78,6.4,78,78,6.4,0,0,0.0
4,Amritsar,150,150,27.1,0,0,0.0,62,62,5.2,60,60,5.1,2,2,0.2
5,Asansol,490,496,82.4,0,0,0.0,211,223,17.0,211,223,17.0,0,0,0.0
6,Aurangabad,164,164,28.8,0,0,0.0,183,192,15.4,178,187,15.0,5,5,0.4
7,Bengaluru,490,490,12.1,0,0,0.0,885,935,10.4,684,729,8.0,201,206,2.4
8,Bhopal,295,295,32.9,0,0,0.0,216,216,11.5,187,187,9.9,29,29,1.5
9,Chandigarh City,137,137,29.6,0,0,0.0,90,94,8.8,82,82,8.0,8,12,0.8
10,Chennai,302,302,7.0,0,0,0.0,1083,1083,12.5,1083,1083,12.5,0,0,0.0
11,Coimbatore,63,63,5.9,0,0,0.0,297,307,13.8,279,289,13.0,18,18,0.8
12,Delhi (City),2840,2840,37.5,0,0,0.0,1608,1634,9.9,1338,1364,8.2,270,270,1.7
13,Dhanbad,31,31,5.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
14,Durg-Bhilainagar,144,144,27.8,0,0,0.0,178,178,16.7,178,178,16.7,0,0,0.0
IB,Faridabad,302,302,46.2,0,0,0.0,13,13,0.9,0,0,0.0,13,13,0.9
16,Ghaziabad,561,561,50.9,0,0,0.0,229,229,9.7,212,212,9.0,17,17,0.7
17,Gwalior,352,352,68.6,0,0,0.0,126,134,11.4,126,134,11.4,0,0,0.0
18,Flyderabad,1289,1289,34.2,0,0,0.0,441,441,5.7,421,421,5.4,20,20,0.3
