TABLE 2.2(Concluded),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
S.No.,Cities,Causing Injuries under Rash Driving/ Road Rage,,,Human Trafficking (under Sections 370 &370AIPC),,,Unnatural Offences,,,Other IPC Crimes,,,Total Cognizable IPC Crimes (Column 3 To 264 Excluding Sub Heads),,
,,1,V,R,1,V,R,1,V,R,1,V,R,1,V,R
(i),(2),(253),(254),(255),(256),(257),(258),(259),(260),(261),(262),(263),(264),(265),(266),(267)
CITIES:,,,,,,,,,,,,,,,,
1,Agra,300,300,17.2,0,0,0.0,2,2,0.1,778,778,44.6,6792,6792,389.0
2,Ahmedabad,1756,1819,27.6,2,9,0.0,3,3,0.0,7450,7627,117.3,15286,15713,240.6
3,Allahabad,231,234,19.0,0,0,0.0,0,0,0.0,1545,1545,127.0,4694,4716,385.7
4,Amritsar,76,76,6.4,0,0,0.0,4,4,0.3,467,516,39.4,1998,2057,168.8
5,Asansol,223,302,17.9,0,0,0.0,0,0,0.0,1905,2094,153.3,4540,5040,365.2
6,Aurangabad,771,937,64.8,0,0,0.0,2,2,0.2,851,866,71.6,4821,5006,405.5
7,Bengaluru,4315,5090,50.8,12,173,0.1,4,4,0.0,5279,5479,62.1,31892,33253,375.2
8,Bhopal,2987,2987,158.6,0,0,0.0,9,9,0.5,4286,4286,227.6,12962,12962,688.4
9,Chandigarh City,266,266,25.9,0,0,0.0,4,4,0.4,456,456,44.4,3064,3112,298.6
10,Chennai,8527,8527,98.1,0,0,0.0,0,0,0.0,3201,3201,36.8,16861,16862,193.9
11,Coimbatore,1315,1465,61.1,0,0,0.0,0,0,0.0,1536,1536,71.4,4281,4442,199.0
12,Delhi (City),7871,8306,48.2,12,12,0.1,170,170,1.0,19216,19767,117.8,139707 142276,,856.3
13,Dhanbad,98,98,8.2,0,0,0.0,0,0,0.0,867,867,72.6,1730,1730,144.8
14,Durg-Bhilainagar,912,912,85.7,3,3,0.3,5,5,0.5,2442,2442,229.5,5598,5598,526.1
15,Faridabad,0,0,0.0,0,0,0.0,5,5,0.4,1709,1712,121.6,6000,6004,427.0
16,Ghaziabad,311,311,13.2,1,1,0.0,2,2,0.1,1679,1679,71.2,6755,6755,286.4
17,Gwalior,1389,1419,126.0,1,1,0.1,6,6,0.5,4157,4457,377.2,9369,9815,850.2
18,Hyderabad,2254,2254,29.1,5,5,0.1,7,7,0.1,5584,5584,72.1,18940,18940,244.4
19,Indore,4118,4118,190.0,1,1,0.0,6,6,0.3,5322,5503,245.6,19197,19378,885.9
20,Jabalpur,1893,1893,149.3,3,3,0.2,4,4,0.3,3817,3817,301.0,8377,8390,660.6
21,Jaipur,2245,2426,73.1,0,0,0.0,5,5,0.2,6131,6322,199.5,26070,26659,848.4
22,Jamshedpur,147,163,11.0,0,0,0.0,3,3,0.2,1081,1573,80.9,3340,4762,249.8
23,Jodhpur,317,338,27.9,0,0,0.0,1,1,0.1,1582,1619,139.0,5645,5763,496.0
24,Kannur,471,791,28.7,0,0,0.0,0,0,0.0,672,709,40.9,1869,2270,113.8
25,Kanpur,585,585,20.0,0,0,0.0,0,0,0.0,1426,1426,48.8,5211,5211,178.5
26,Kochi,13431,13471,634.1,3,5,0.1,13,13,0.6,1530,1559,72.2,17088,17450,806.8
27,Kolkata,4316,4339,30.6,13,16,0.1,0,0,0.0,10296,10313,73.0,26161,26237,185.4
28,Kollam,1418,1420,127.7,0,0,0.0,4,4,0.4,5954,5954,536.4,9314,9327,839.1
29,Kota,649,649,64.8,2,3,0.2,1,1,0.1,1326,1326,132.5,5248,5251,524.3
30,Kozhikode,1982,1998,97.6,0,0,0.0,7,7,0.3,1054,1073,51.9,4665,4710,229.7
31,Lucknow,314,317,10.8,0,0,0.0,1,1,0.0,5627,5645,194.0,12742,12836,439.2
32,Ludhiana,0,0,0.0,0,0,0.0,10,10,0.6,983,1064,60.9,3546,3702,219.7
33,Madurai,585,585,40.0,0,0,0.0,0,0,0.0,1155,1155,79.0,3226,3228,220.7
34,Malappuram,1298,1388,76.4,0,0,0.0,0,0,0.0,384,391,22.6,2373,2495,139.7
35,Meerut,411,474,28.8,0,0,0.0,0,0,0.0,810,810,56.8,6141,6232,430.9
36,Mumbai,4129,4212,22.4,84,220,0.5,24,24,0.1,9140,9196,49.6,40361,40917,219.2
37,Nagpur,1096,1096,43.9,1,1,0.0,5,5,0.2,2339,2339,93.6,10359,10384,414.7
38,Nasik,489,493,31.3,0,0,0.0,1,1,0.1,930,931,59.5,3883,3926,248.4
39,Patna,0,0,0.0,0,0,0.0,0,0,0.0,5050,5050,246.7,15396,15485,752.1
40,Pune,1299,1341,25.7,0,0,0.0,10,10,0.2,2065,2065,40.9,14468,14770,286.5
41,Raipur,1173,1173,104.5,0,0,0.0,5,5,0.4,1848,1848,164.6,5975,5988,532.1
42,Rajkot,626,691,45.0,0,0,0.0,1,1,0.1,807,807,58.0,3516,3593,252.8
43,Ranchi,214,214,19.0,16,16,1.4,0,0,0.0,687,687,61.0,4351,4351,386.1
44,Srinagar,323,323,25.4,0,0,0.0,3,3,0.2,794,794,62.4,2533,2533,199.0
45,Surat,656,729,14.3,0,0,0.0,2,2,0.0,116,140,2.5,4397,4610,95.9
46,Thiruvananthapuram,8816,8829,522.6,0,0,0.0,9,9,0.5,1692,1708,100.3,12504,12549,741.2
47,Thrissur,3233,3325,174.3,1,1,0.1,2,2,0.1,1918,1948,103.4,6548,6686,353.0
48,Tiruchirapalli,541,541,52.9,0,0,0.0,0,0,0.0,1772,1772,173.4,3074,3084,300.8
49,Vadodara,2946,2946,162.1,0,0,0.0,1,1,0.1,6592,6598,362.8,12651,12735,696.3
50,Varanasi,0,0,0.0,0,0,0.0,0,0,0.0,727,765,50.7,2589,2627,180.4
51,Vasai Virar,128,131,10.5,0,0,0.0,1,1,0.1,335,335,27.4,2927,2992,239.7
52,Vijayawada,1366,1366,91.6,1,1,0.1,0,0,0.0,1835,1835,123.1,7876,7878,528.2
53,Vishakhapatnam,1831,2154,105.8,0,0,0.0,0,0,0.0,2202,2202,127.3,7728,8067,446.7
,TOTAL CITIES,96648,99822,60.1,161,471,0.1,342,342,0.2 153407 156171,,,95.4 616639 628149,,,383.7
,,,,,,,,,,,,,,,,
TABLE 2.2- Page: 22 of 22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Col 265 = Col.4+7+10+13+16+37+40+58+67+70+73+82+91+94+127+130+133+136+163+166+178+181+199+214+217+220+229,,,,,,,,,,,,,,,,
+214+217+220+229+238+247+250+253+256+259+262;,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Col 266 = Col. 5+8+11+14+17+38+41+59+68+71+74+83+92+95+128+131+134+137+164+167+179+182+200+215+218+221+230,,,,,,,,,,,,,,,,
+215+218+221+230+239+248+251+254+257+260+263;,,,,,,,,,,,,,,,,
