City,Total Rape,,Custodial Rape,,Others,
AGRA,13,1,0,0,13,1
AHMEDABAD,49,1.1,0,0,49,1.1
ALLAHABAD,7,0.7,0,0,7,0.7
AMRITSAR,24,2.4,0,0,24,2.4
ASANSOL,18,1.6,0,0,18,1.6
BENGALURU,65,1.1,0,0,65,1.1
BHOPAL,73,5,0,0,73,5
CHENNAI,47,0.7,0,0,47,0.7
COIMBATORE,15,1,0,0,15,1
DELHI (CITY),414,3.2,0,0,414,3.2
DHANBAD,5,0.5,0,0,5,0.5
FARIDABAD,51,4.8,0,0,51,4.8
HYDERABAD,45,0.8,0,0,45,0.8
INDORE,69,4.2,0,0,69,4.2
JABALPUR,81,7.3,0,0,81,7.3
JAIPUR,71,3.1,0,0,71,3.1
JAMSHEDPUR,16,1.5,0,0,16,1.5
KANPUR,42,1.6,0,0,42,1.6
KOCHI,20,1.5,0,0,20,1.5
KOLKATA,32,0.2,0,0,32,0.2
LUCKNOW,52,2.3,0,0,52,2.3
LUDHIANA,52,3.7,0,0,52,3.7
MADURAI,3,0.3,0,0,3,0.3
MEERUT,19,1.6,0,0,19,1.6
MUMBAI,194,1.2,0,0,194,1.2
NAGPUR,58,2.7,0,0,58,2.7
NAS IK,30,2.6,0,0,30,2.6
PATNA,25,1.5,0,0,25,1.5
PUNE,91,2.4,0,0,91,2.4
RAJKOT,12,1.2,0,0,12,1.2
SURAT,23,0.8,0,0,23,0.8
VADODARA,7,0.5,0,0,7,0.5
VARANASI,2,0.2,0,0,2,0.2
VIJAYAWADA,25,2.5,0,0,25,2.5
VISHAKHAPATNAM,53,4,0,0,53,4
