City,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPQ",Total,Kidnapping & Abduction of women and girls,,Kidnapping & Abduction of others,,Dacoity (Sec. 395-398 IPC),
AGRA,171,12.9,145,11,26,2,2,0.2
AHMEDABAD,207,4.6,177,3.9,30,0.7,26,0.6
ALLAHABAD,40,3.8,30,2.9,10,1,2,0.2
AMRITSAR,51,5,43,4.3,8,0.8,3,0.3
ASANSOL,21,1.9,13,1.2,8,0.7,4,0.4
BENGALURU,513,9,29,0.5,484,8.5,66,1.2
BHOPAL,59,4.1,53,3.6,6,0.4,6,0.4
CHENNAI,47,0.7,30,0.5,17,0.3,2,0
COIMBATORE,22,1.5,10,0.7,12,0.8,1,0.1
DELHI (CITY),2629,20.6,1422,11.1,1207,9.4,30,0.2
DHANBAD,46,4.3,40,3.8,6,0.6,16,1.5
FARID AB AD,102,9.7,86,8.2,16,1.5,9,0.9
HYDERABAD,121,2.2,41,0.7,80,1.4,7,0.1
INDORE,30,1.8,23,1.4,7,0.4,5,0.3
JABALPUR,27,2.4,25,2.2,2,0.2,1,0.1
JAIPUR,207,8.9,193,8.3,14,0.6,4,0.2
JAMSHEDPUR,43,3.9,25,2.3,18,1.6,3,0.3
KANPUR,316,11.7,263,9.8,53,2,10,0.4
KOCHI,8,0.6,5,0.4,3,0.2,2,0.1
KOLKATA,125,0.9,91,0.7,34,0.3,0,0
LUCKNOW,251,11.1,246,10.9,5,0.2,11,0.5
LUDHIANA,143,10.3,102,7.3,41,2.9,5,0.4
MADURAI,15,1.3,9,0.8,6,0.5,0,0
MEERUT,93,8,75,6.4,18,1.5,4,0.3
MUMBAI,194,1.2,146,0.9,48,0.3,35,0.2
NAGPUR,57,2.7,34,1.6,23,1.1,13,0.6
NAS IK,27,2.3,19,1.6,8,0.7,24,2.1
PATNA,183,10.7,58,3.4,125,7.3,15,0.9
PUNE,129,3.4,94,2.5,35,0.9,30,0.8
RAJKOT,39,3.9,32,3.2,7,0.7,9,0.9
SURAT,82,2.9,63,2.2,19,0.7,12,0.4
VADODARA,36,2.4,30,2,6,0.4,9,0.6
VARANASI,48,4,34,2.8,14,1.2,0,0
VIJAYAWADA,87,8.6,65,6.4,22,2.2,3,0.3
VISHAKHAPATNAM,34,2.6,24,1.8,10,0.8,8,0.6
