City,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) I R,,"Robbery (Sec. 392-394,397,398 IPC) I R",,"Burglary (Sec. 449-452,454,455, 457-460 IPC) I R",
AGRA,0,0,37,2.8,132,10
AHMEDABAD,2,0,805,17.8,799,17.7
ALLAHABAD,0,0,22,2.1,129,12.3
AMRITSAR,18,1.8,9,0.9,83,8.2
ASANSOL,64,5.9,5,0.5,5,0.5
BENGALURU,246,4.3,641,11.3,1335,23.5
BHOPAL,1,0.1,191,13.1,844,58
CHENNAI,2,0,74,1.2,383,6
COIMBATORE,0,0,25,1.7,142,9.8
DELHI (CITY),27,0.2,554,4.3,1355,10.6
DHANBAD,1,0.1,11,1,101,9.5
FARIDABAD,70,6.6,20,1.9,277,26.3
HYDERABAD,0,0,54,1,906,16.4
INDORE,12,0.7,210,12.8,689,42
JABALPUR,7,0.6,52,4.7,260,23.3
JAIPUR,10,0.4,253,10.9,774,33.3
JAMSHEDPUR,1,0.1,25,2.3,150,13.6
KANPUR,1,0,81,3,267,9.9
KOCHI,15,1.1,34,2.5,79,5.8
KOLKATA,26,0.2,18,0.1,66,0.5
LUCKNOW,4,0.2,86,3.8,415,18.3
LUDHIANA,5,0.4,30,2.2,213,15.3
MADURAI,0,0,77,6.4,65,5.4
MEERUT,0,0,118,10.1,109,9.3
MUMBAI,42,0.3,410,2.5,3059,18.7
NAGPUR,13,0.6,259,12.2,599,28.2
NAS IK,13,1.1,117,10.2,528,45.8
PATNA,0,0,131,7.7,479,28.1
PUNE,31,0.8,452,12,1250,33.3
RAJKOT,0,0,34,3.4,243,24.3
SURAT,7,0.2,80,2.8,273,9.7
VADODARA,0,0,19,1.3,319,21.4
VARANASI,2,0.2,9,0.7,41,3.4
VIJAYAWADA,0,0,20,2,228,22.6
VISHAKHAPATNAM,0,0,40,3,335,25.2
