City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304,308 IPC)",
AGRA,112,6.4,126,7.2,28,1.6
AHMEDABAD,95,1.5,69,1.1,2,0
ALLAHABAD,59,4.8,60,4.9,7,0.6
AMRITSAR,32,2.7,75,6.3,0,0
ASANSOL,58,4.7,3,0.2,11,0.9
AURANGABAD,41,3.4,118,9.9,1,0.1
BENGALURU,232,2.7,460,5.4,3,0
BHOPAL,60,3.2,96,5.1,5,0.3
CHANDIGARH(C),21,2,38,3.7,6,0.6
CHENNAI,168,1.9,332,3.8,1,0
COIMBATORE,26,1.2,41,1.9,0,0
DELHI (CITY),438,2.7,323,2,53,0.3
DHANBAD,28,2.3,9,0.8,8,0.7
DURG-BHILAINAGAR,46,4.3,48,4.5,2,0.2
FARID AB AD,60,4.3,59,4.2,5,0.4
GHAZIABAD,82,3.5,70,3,20,0.8
GWALIOR,67,6.1,97,00 00,18,1.6
HYDERABAD,117,1.5,136,1.8,6,0.1
INDORE,107,4.9,110,5.1,3,0.1
JABALPUR,50,3.9,102,8,2,0.2
JAIPUR,83,2.7,82,2.7,6,0.2
JAMSHEDPUR,36,2.7,22,1.6,6,0.4
JODHPUR,29,2.5,54,4.7,6,0.5
KANNUR,2,0.1,12,0.7,1,0.1
KANPUR,159,5.4,140,4.8,41,1.4
KOCHI,15,0.7,14,0.7,0,0
KOLKATA,54,0.4,85,0.6,28,0.2
KOLLAM,13,1.2,39,3.5,3,0.3
KOTA,35,3.5,100,10,6,0.6
KOZHIKODE,5,0.2,15,0.7,0,0
LUCKNOW,86,3,64,2.2,26,0.9
LUDHIANA,59,3.7,68,4.2,7,0.4
MADURAI,35,2.4,56,3.8,0,0
MALAPPURAM,3,0.2,3,0.2,0,0
MEERUT,74,5.2,84,5.9,9,0.6
MUMBAI,203,1.1,180,1,4,0
NAGPUR,114,4.6,74,3,13,0.5
NASIK,37,2.4,32,2,4,0.3
PATNA,133,6.5,19,0.9,0,0
PUNE,110,2.2,118,2.3,5,0.1
RAIPUR,38,3.4,52,4.6,1,0.1
RAJKOT,44,3.2,22,1.6,0,0
RANCHI,71,6.3,27,2.4,5,0.4
SRINAGAR,12,0.9,64,5,0,0
SURAT,100,2.2,38,0.8,2,0
THIRUVANANTHAPURAM,8,0.5,29,1.7,3,0.2
THRISSUR,7,0.4,17,0.9,7,0.4
TIRUCHIRAPALLI,27,1.9,21,1.5,1,0.1
VADODARA,21,1.2,27,1.5,2,0.1
VARANASI,33,2.3,31,2.2,5,0.3
VASAI VIRAR,31,2.5,15,1.2,2,0.2
VIJAYAWADA,35,2.3,66,4.4,5,0.3
VISHAKHAPATNAM,39,2.3,34,2,5,0.3
